标题,出发时间,逗留时间,费用,游玩人数,游玩方式,观看量,途径,行程
福建攻略｜登武夷山，游九曲溪，品地道闽味,2022-12-19 出发,共1天, , ,漫游 美食,3.4万,途经：武夷山 ,行程：玉女峰 武夷山 天游峰 一线天 大王峰 虎啸岩 武夷山九曲溪 大红袍景区 武夷宫...
高松走透透,2018-08-19 出发,共4天,人均3000元,三五好友,深度游 购物 美食 暑假,5095,途经：日本(高松Takamatsu) ,行程：高松港
未命名标题,2022-12-11 出发,共1天, , , ,6580,, 
敬畏自然｜北极圈之旅的感悟（格陵兰岛篇）,2022-11-30 出发,共1天, , ,徒步,2702,途经：丹麦(哥本哈根Copenhagen) 格陵兰岛(伊卢利萨特Ilulissat) ,行程：小美人鱼像 阿美琳堡宫 新港 哥本哈根歌剧院 罗森堡宫 腓特列教堂 Citadel
【北京】二0二二之秋｜酒贱常愁客少，月明多被云妨,2022-11-07 出发,共4天, ,独自一人,深度游 赏秋,8576,, 
我是有大海的人呐（山东青烟威秋冬5日自驾）,2022-11-17 出发,共1天, , ,自驾 赏秋 冬季,8575,途经：青岛 烟台 威海 ,行程：广兴里 崂山 养马岛 火炬八街 栈桥 悦海公园 韩乐坊 青山渔村 八大关 五四广场...
敬畏自然｜北极圈之旅的感悟（冰岛篇）,2022-07-16 出发,共10天,人均20000元,亲子,深度游 环游 购物 温泉 自驾 暑假 夏季 徒步,9440,途经：冰岛(雷克雅未克Reykjavik 维克Vik 米湖Myvatn) ,行程：珍珠楼 哈尔格林姆斯大教堂 国会旧址 斯奈山半岛 太阳航海者 霍夫迪楼 辛格维利尔...
【北京】二0二二之秋，京城古迹知多少（上）,2022-09-06 出发,共5天, ,独自一人,深度游 短途周末,6757,途经：北京 ,行程：南锣鼓巷 景山公园 国家图书馆 明十三陵 银山塔林 颐和园 大雄宝殿 万寿寺 圆明...
💙印尼旅行💙站在活火山口是什么体验？火山深海全攻略❗,2017-05-01 出发,共8天,人均6000元,独自一人,深度游 五一,7994,途经：瑞典(布罗Bro) 冰岛(雷克雅未克Reykjavik), 
这样的大理你见过吗？五天四晚看不一样的大理,2022-11-06 出发,共1天,人均6000元,三五好友,自驾 赏秋,9834,途经：大理 ,行程：洱海 大理古城五彩云花苑酒店 苍山 喜洲 洱海生态廊道 崇圣寺三塔文化旅游区 大理...
