8-1  对外经济和旅游,,,,,,,
Foreign Economy and Tourism,,,,,,,
,,,,,,,
年 份,"进出口总额

(万美元)",,,"实际利用外商
直接投资金额
(万美元)","接待旅游
总 人 数
(万人次)","旅游业总收入 

(亿元)","星级饭店数

(个)"
,,出口,进口,,,,
,,,,,,,
,"Total Imports 
And Exports
(USD 10 000)","Exports


","Imports


","Total Amount of 
Foreign Capital
Actually Used  
(USD 10 000)","Number of
Tourists
(10 000 
person)","Income of 
Tourism (100 
million yuan)
","Total Number of 
Tourist Hotels
(unit)
"
Year,,,,,,,
,,,,,,,
,,,,,,,
1979,23363,22296,1067,,0.81,0.01,
1980,32635,31389,1246,,0.95,0.01,
1981,43531,35504,8027,,1.33,0.02,
1982,42662,38369,4293,,1.53,0.05,
1983,45667,40003,5664,,1.99,0.03,
1984,46171,41703,4468,,2.63,0.04,
1985,52549,39606,12943,,3.20,0.04,
1986,62377,50305,12072,,4.12,0.09,
1987,74642,61945,12697,235,5.72,0.10,
1988,83403,63860,19543,447,6.76,0.30,
1989,85201,66563,18638,1495,5.57,0.30,
1990,94161,80552,13609,1116,8.52,0.50,
1991,137525,101665,35860,2276,1210,3.68,
1992,207800,141145,66655,12853,1513,6.03,
1993,234800,161200,73600,43267,1615,11.62,
1994,201740,143321,58419,32512,2014,30.80,
1995,201664,145101,56563,48802,2518,43.41,
1996,176299,129074,47225,70344,3223,60.45,
1997,189445,144796,44649,91702,4040,79.59,
1998,178209,128290,49919,81816,4235,99.93,
1999,195604,128210,67394,65384,4339,120.35,
2000,251259,165308,85951,68182,4695,148.76,212
2001,275841,175400,100441,81011,5036,210.50,270
2002,287621,179542,108079,103089,5757,245.98,321
2003,373617,214626,158990,148907,5970,294.11,359
2004,543774,309778,233996,141806,6487,371.56,417
2005,600485,374667,225818,207235,7181,453.62,388
2006,735259,509401,225858,259335,9195,588.41,501
2007,968987,652342,316645,327051,10897,732.71,585
2008,1256584,840950,415634,400515,12830,851.75,569
2009,1015101,549189,465912,459787,16065,1099.47,567
2010,1468886,795487,673399,518441,20398,1425.80,549
2011,1900006,989747,910259,615031,25328,1785.78,568
2012,2194082,1259965,934117,728034,30506,2234.10,581
2013,2516439,1482083,1034356,870482,36058,2681.86,587
2014,3102729,2002348,1100380,1026585,41203,3050.70,555
2015,2936680,1917288,1019392,1156441,47331,3712.91,498
2016,2687970,1817002,870968,1285209,56548,4707.43,461
2017,3603951,2317175,1286776,1447489,66935,7172.62,407
2018,4652983,3057434,1595550,1619134,75301,8355.73,397
2019,6288194,4453465,1834729,1810127,83154,9762.32,315
,,,,,,,
注：进出口数据1994年前为外贸统计数，1994年及以后为海关统计数。,,,,,,,
        Figures on total imports and exports form foreign trade were obtained from foreign trade statistics before 1994 and the figures were obtained from ,,,,,,,
the Changsha Customs statistics after 1994.,,,,,,,
