内容,时间
 环球影城一直是我的最爱，适合大人玩。虽然新加坡比大阪的小了不少，但听说人也不多，一天可以把所有项目都玩到位。故特地早早的的订了5/2，以为工作日，人很少，实际上……说出来都是泪，可能碰到韩国印度日本节假日，都是人呀。不过在我合理安排及牺牲吃饭休息时间，5大项全部玩到位，变形金刚3D对决之终极战斗，未来水世界，侏罗纪河流探险，木乃伊复仇记，最后玩好双轨过山车，下来，7点15，正好闭园。到环球影城很方便，坐捷运4新币上圣淘沙，名胜世界下，回程及岛内所有交通免费。10点准时进园，好莱坞大街都是拍照摆造型的，直接逆时针去科幻城市区域，变形金刚应该是最火的项目，开园就排80分钟，实际花费差不多2小时，和大阪的哈利波特很像，只是没什么俯冲不怎么刺激，但对一般大众来说效果还算不错，我们一车人就我和我闺蜜，全程淡定没声音。出来正好12点，买了点零食，直接去了失落的世界，此区域11点才开放，未来水世界一天表演2场，个人认为比变形金刚有意思20分钟的声光效变形。一场1点一场4点15，我们提前排队，推迟了30分钟表演，排队区域超级炎热，如果站在电扇风口，建议你千万别挪位置。进场最好坐中间，蓝色座椅为全湿区，绿色是部分湿，正午绿色区域超爽。看完表演，出来左转直接是漂流，排队100分钟，直接选了单人通道，不过单人通道也排了近20人。单人通道环球影城迪斯尼都有，凡游玩设施空一位的单人通道的就可以上。新加坡5月是雨季，在我们排队30分钟后，所以户外项目暂停了，因为有雷电接近，等了30分钟终于恢复，原本炎热的想淋点水降降温，太阳不见后果断穿上雨衣，其实主要保护的是屁股，最容易湿了。我们一船有2男生下来时直接从头湿到位。我们全程翘脚，确保鞋不湿。简短的吃了当天第一顿饭其实算是早晚餐了，去了木乃伊复仇，必须寄包，有免费时间，但可以带手机。室内小型过山车，黑暗中转，没有离心机，很舒服，不过有幽闭恐惧症的人，不能去，太黑了。最后就剩双轨过山车，红色和灰色，当时已经6点了，红的要110分钟，灰的才60分钟，一个坐着的一个脚悬空。像我这种坐过山车不怎么怕的没声音的，当然哪个时间短坐哪个。火山车安检很严，全部东西要寄存，只能带眼镜，上车前眼镜也要放一边，灰色360度旋转很多，下来时都感觉有点晕了，哈哈。出了过山车，已经闭园，顺便去了一天没去过的遥远王国和马达加斯加。,2019-05-04 21:30:21
 环球影城分为“ 好莱坞 ”、“ 纽约 ”、“科幻城市”、“古 埃及 ”、“失落的世界”、“遥远王国”以及“ 马达加斯加 ”等7个主题区，共包含18个精心打造的项目· 网上有不少环球影城的游玩攻略，不过我们有快速通关券在手，只需沿逆时针方向按着顺序走就行了，唯一需要记住的只有各类节目的表演时间~,2019-04-20 20:53:42
 新加坡环球影城真的很小哦，适合家长带小朋友们前去游玩，最值得推荐的三个项目就是变形金刚、红灰双轨过山车和木乃伊过山车。表演节目的话倒是有很多可以看的，经常会有街头表演，可以拿一张时间表，就能很准确的看到演出啦还可以和大黄蜂以及小黄人们各种合影啦,2019-04-09 19:29:26
 没去过其它环球影城没去过迪士尼 只去过大连发现王国和北京的欢乐谷。所以对环球影城比较期待，以为会好玩很多漂亮很多 事实证明并没有。感觉都差不多吧！优点就是没有国内人多。再一个就是乐园比较小，不排那个红蓝过山车 下午三点多就玩遍所有项目了！我是淡季三月末去的新加坡 所以不要买快速通关 完全没必要首先早晨九点四十左右去门口排队 入门时会抽查看包包 不是每个人都看。我的包工作人员就简单看了一眼，也不会仔细翻 说no food就可以。一进门我就直奔热门项目变形金刚。前面排的人不算多。等不多久就坐上了，小车分三排 每排四个人。话说第一排体验比第二排好很多。因为我下午三点多又去了一趟变形金刚。这时排队人更少 晚上五点多再去时就没有人排队了 。几乎进去就玩。后两次都是坐第一排。我四岁半女宝很喜欢。她好像对芝麻街小火车和史瑞克4d电影都没那么大热爱 最爱变形金刚。变形金刚完事就接着逆时针走到热门项目过山车了！带孩子也没去排队 。晚上五点多再来事现实需要排队30分钟。也不算久。再往前就是木乃伊。上午也没玩 下午来时朋友玩了 排队十分钟都用不上 人很少。但是等她完事我准备去排队时遇上设备故障。最后没玩成。导致人流都跑到过山车那里。过山车马上就变成需要排队80分钟了！而且只开了一个过山车。并没有两个都开。不知道为什么。听不明白 英文不好。城堡🏰对面有一个小过山车。我四岁半宝宝玩起来无压力 她一点不害怕。还有一个侏罗纪世界里的需要穿雨衣的项目，建议提前买好雨衣。不穿应该也没啥大事。我个人觉得不好玩穿靴子的猫那个也适合小朋友 水世界的表演如果英文好看起来会觉得不错 演员有很多特技表演 不过我英文不好 听不懂剧情 观看体验大打折扣我倒是比较喜欢史瑞克4d电影 芝麻街那有街舞表演 看的人也不多 有时刻表 注意不要错过，小孩子看热闹很好 会邀请小朋友上去坐垃圾分类。我家宝贝举手晚了没上去总体来说这些娱乐项目我作为一个成年人玩起来就觉得还好而已！并没有太多惊喜。还是适合带孩子来玩。我宝宝玩的很是开心。因为乐园小 带孩子玩一天不累。淡季人还少。没看见花车 不知道是不是平日没有 还是我错过了！买了小黄人水壶 质量极差 刚买 一点摩擦就掉漆 不结实 一摔就会坏 漏水 买了一个姜饼人行李牌 质量不错。,2019-04-01 08:17:18
 11点才到环球影城门口，进去后按照逆时针先去变形金刚，排4D电影的时候排了好久，全是人，进去看电影倒是只看了一会，不过还是蛮有趣的，急速前进后退还能近距离看大黄蜂擎天柱 ，小孩子也能坐。变形金刚还有个项目是过山车，分为红线白线，白线以前叫蓝线。红线不怎么刺激，而且是坐着的，可以体验下。白线是吊着的，超级可怕，在过山车底下能明显听到尖叫声。因为小孩子不能玩，在排过山车的时候明显感到没多少人排。木乃伊馆，据说是一个室内过山车，黑漆漆的还会发出声音。室内有一个巨大的木乃伊保护神，居然上几层楼才到坐到。感觉不是很刺激还挺好玩。侏罗纪河流探险在门口可以买雨衣，在最后俯冲阶段会有水溅出来，看坐的位置。不是很刺激，所以很多人排队，看到特别多 印度 裔的人。在水晃悠几圈看看风景还不错。还去坐了天幕飞行，儿童也可以坐，但是因为旁边都是空的，坐过山车都不怕，坐这个确有些怕怕的。怪物史莱克有个微型摩天轮，不可怕。还有个儿童版的过山车，是一条龙的样子，坐在了龙头，俯冲下去还是有点可怕的，看到一个欧美的小女孩玩的很嗨，排了好几次。马达加斯加 木箱漂流记探险适合小朋友，就是看情景剧，有些无聊。,2019-03-27 10:15:19
 ✨新加坡·环球影城✨必打卡❗️进入了另一个奇幻又可爱的世界🎢真的是从早嗨到晚，真的值得！里面不是一般的大，玩儿惯了北京欢乐谷的我回来之后就不屑再去了哈哈哈~ 有些超赞的项目要早点儿去排队哦！玩儿了好多，但让我印象很深的是一个室内“过山车”，超爱坐过山车的我感觉一切都在意料之中，但没想到恐怖气氛杠杠的👍时间还不短，其中还有一段是车突然停下向后倒，简直不能再爽了！而且我坐了两遍！推荐你们可以找到它哈哈！里面的主题区域很多，表演也很多（注意时间别错过）。感觉里面的每一个人都有用不完的热情，玩儿累了就慢慢的在好莱坞大道上溜达溜达吃点东西，晚上的夜景也别错过哦~ 总之一天下来累到腿断是真的，但开心放松也是真的。最后附上一张返回酒店时拍下的狮身鱼尾夜间面孔￼🥳,2019-03-14 23:05:25
 进园以后直接逆时针冲到了变形金刚，排队排了二十分钟，儿子大呼过瘾，出来之后直接在变形金刚外面的礼品店买了无限次的快速票。最后变形金刚5次，木乃伊4次，红蓝过山车3次，侏罗纪漂流2次，中间穿插看了水世界的表演，以及园内各区定时的表演秀和见面会，个人觉得快速票还是很值得，毕竟时间是最贵的。期间有工作人员用单反相机帮忙拍照，花35新币可以得到一张打印并夹在纸质相框内的照片，花50新币可以额外获得所有在园区内拍摄照片的电子版。,2019-02-28 20:18:28
 九月的一个周二去的！居然没怎么排队！变形金刚坐了两次！真的是最好玩的项目。没有之一！！还有就是那个未来水世界的秀必看！我坐在全湿区鬼知道我经历了什么哈哈！反正在环球的一天我衣服就没干过！在那个好莱坞的特效屋里又是一顿淋哈哈！,2019-02-26 01:25:18
 环球影城在圣淘沙，这是我去过的第四个环球影城，和美国LA和奥兰多的环球影城以及日本大阪的环球影城比小了不少，但还是很值得玩一下的。值得玩的项目还有斯皮尔伯格的特效现场，未来水世界表演，还有侏罗纪公园的漂流，喜欢刺激的还有红灰双轨过山车以及木乃伊室内过山车，之前在美国奥兰多环球影城坐过木乃伊过山车，所以这次没有尝试，因为还是有点吓人的。环球影城到晚上还有巡游，都是各个区域的电影人物的花车，很有看点。,2019-02-19 22:08:17
" 主题公园可能是继酒之后我第二喜欢的东西。在 洛杉矶 我没去环影，只去了加州冒险和迪士尼，简直是心碎。
给几个TIPs
1 新加坡 环球影城很小，安排半天时间我觉得足够。除非你想看所有表演
2 买快速券。真的很省时间。我们买的一次的，我觉得够了，因为做完大过山车后我已经想吐，不能再都做一次了。如果你年轻，也可以买多次快速券的。
3 吃饱。即使你觉得不饿，你也一定要吃东西，即使里面东西贵。这是我对所有主题乐园的忠告，身体是最诚实的，很多人觉得主题公园吃饭浪费时间，但是转的多了，就会想吐了。所以一定要让胃里有东西。别吃撑，但是要有东西压着。",2019-02-13 13:00:57
" 新加坡环球影城总体很满意，我家宝宝身高107，大部分项目都是可以玩的。乐园不大，适合带孩子出行！先解答一个比较纠结的问题，是否要买快捷票？建议带孩子的不差钱的购买！我们快捷票是现场买的，周末人均300多，平时差不多260，还是得根据人流量！不过有了此票，真的快了很多……一个项目平均5分钟就可以轮到！入园后，可以拿一张中文地图，想玩刺激的项目就往逆时针方向。带孩子的盆友就往左，即顺时针方向逛起来，第一个区域就是马达加斯加，两个项目+1场表演（华丽丽的错过）。木箱漂流记——坐船的那种，里面都是此电影出现的人物，很有意思（跟香港迪士尼乐园里面的小小世界很像）。另外一个就是以朱立安国王为主题的旋转木马，小孩子看到了必去🤩继续往前行，第二个区域就是遥远王国，带孩子看了一个史莱克4D影院，很有意思，但我家宝宝全程坐我身上，还拒带3d眼镜👓，说害怕😓😓另外还玩了一个穿靴子的猫，排队人巨多,快捷通道也等了一小会儿！本以为不刺激，结果有那么点速度的，但是孩子能承受！好玩，必玩！失落的世界里面的项目还是有点刺激的，特别是那个侏罗纪河流探险，可以自行体验一下高空坠落加全身湿透😜 我带着孩子就玩了一个转圈圈的（见p8张）类似于香港迪士尼的小飞象，排队人还巨多，就是个大魔咒[奸笑]古埃及区域适合拍照，木乃伊复仇记，室内过山车🎢，可以体验一把！科幻世界，都是蛮刺激的项目，有个室外过山车，各种翻腾旋转，速度惊人，光在下面看都嗅到了刺激的味道！变形精刚3d对决，网上都说一定要去体验，我鼓起勇气，单枪匹马去玩了一次，视觉效果超棒，坐在一辆车上被被变形金刚甩来甩去😂 能够承受，不是很刺激，就是头晕😵。纽约区域，基本已快结束今天的行程，本以为没啥好玩，结果发现有一处人特多在排队, 原来是芝麻街之意大利面太空站，不去就悔了，是以芝麻街主题人物为背景的，老少皆宜，哈哈大笑（比较像香港迪士尼乐园里的小熊维尼历险之旅）。另外还有一个芝麻街的剧场表演，孩子看得津津有味，她外婆却看睡着了😪最后，刚巧赶上了好莱坞区域的玛丽莲·梦露一场表演。整个影城下来，用时5h，玩得项目不多，还买了快捷票，仅供参考！可以稍许带点水果小零食等，p9张是侏罗纪公园餐厅的食物，味道真心不咋地……园区的东西可以想象！我们进门未查包，纯属看人品了，祝好运🍀",2019-02-11 23:15:48
