,word,count
0,迪士尼,98
1,上海,52
2,乐园,24
3,入园,14
4,时间,13
5,值得,12
6,攻略,12
7,网上,12
8,沉浸,11
9,世界,11
10,九点,11
11,好玩儿,11
12,熟悉,11
13,童年,11
14,景象,11
15,不想,11
16,五星,11
17,欧洲,11
18,启程,11
19,飞机,11
20,第二天,11
21,早上,11
22,家庭式,11
23,洗手间,11
24,真的,11
25,大部分,11
26,情怀,11
27,二天,11
28,总体,11
29,评分,11
30,三颗,11
31,中国,11
32,内地,11
33,首座,11
34,主题乐园,11
35,体验,2
36,感谢,2
37,马蜂窝,2
38,全世界,2
39,长大,2
40,童话,2
41,公主,2
42,迪斯尼,2
43,门票,2
44,项目,2
45,下载,2
46,度假区,2
47,日去,1
48,五月,1
49,二号,1
50,幸运地,1
51,拿到,1
52,赠票,1
53,一回,1
54,感叹,1
55,运气,1
56,太好,1
57,一年,1
58,女孩,1
59,阿姨,1
60,第二次,1
61,一句,1
62,要选,1
63,好日子,1
64,孩子,1
65,梦想,1
66,原本,1
67,好运,1
68,玩具,1
69,总动员,1
70,酒店,1
71,一去,1
72,亚洲,1
73,二琪,1
74,童话世界,1
75,刺激,1
76,去过,1
77,最差,1
78,提供,1
79,无限,1
80,大年三十,1
81,造型,1
82,不错,1
83,轨交,1
84,小矮人,1
85,矿车,1
86,提前,1
87,无愧,1
88,领到,1
89,开园,1
90,扫描,1
91,购买,1
92,二维码,1
93,即可,1
94,取票,1
95,游玩,1
96,儿过,1
97,第四座,1
98,接车,1
99,小哥,1
100,告一段落,1
101,工作日,1
102,估计,1
103,几天,1
104,预测,1
105,天气,1
106,缘故,1
107,外带,1
108,食物,1
109,功课,1
110,大门,1
111,两边,1
112,多个,1
113,安检,1
114,注意事项,1
115,进园,1
116,当天,1
117,身份证,1
118,实体,1
119,分为,1
120,五大,1
121,区域,1
122,手机,1
123,官方,1
124,目的,1
125,女票,1
126,踏进,1
127,园区,1
128,推荐,1
129,指数,1
130,三星,1
131,是非,1
132,节假日,1
