名次,名称,场次,人次,票价,年份,国家,类型
1,战狼2,175.4万,1.05亿,36.6,['2017-07-27'],['中国大陆'],"['剧情', '动作', '战争']"
2,流浪地球,105.15万,3960.79万,46.7,['2019-02-05'],['中国大陆'],['科幻']
3,变形金刚5：最后的骑士,104.17万,4869.33万,37.1,['2017-06-23'],['美国'],"['动作', '惊悚', '冒险', '科幻']"
4,神偷奶爸3,97.37万,4765.91万,35.1,['2017-07-07'],['美国'],"['喜剧', '动作', '动画', '冒险']"
5,加勒比海盗5：死无对证,86.27万,4121.37万,36.2,['2017-05-30'],"['美国', '澳大利亚']","['动作', '冒险', '奇幻']"
6,哪吒之魔童降世,144.33万,3642.08万,38,['2019-07-26'],['中国大陆'],"['喜剧', '动画', '奇幻']"
7,红海行动,80.01万,3441.64万,40,[],[],[]
8,摔跤吧！爸爸,107.24万,4255.46万,31.1,['2017-05-05'],['印度'],"['动作', '传记', '运动']"
9,悟空传,72.72万,3621.39万,36.4,['2017-07-13'],['中国大陆'],"['剧情', '动作', '奇幻']"
10,复仇者联盟4：终局之战,105.28万,2478.42万,51.1,['2019-04-24'],"['动作', '冒险', '科幻']",[]
11,速度与激情7,49.17万,2646.71万,47.7,['2015-04-12'],['美国'],"['动作', '惊悚', '犯罪']"
12,捉妖记,50.6万,2570.33万,46.2,['2015-07-16'],['中国大陆'],"['剧情', '喜剧', '奇幻']"
13,唐人街探案2,62.72万,2974.91万,39.3,['2018-02-16'],['中国大陆'],"['喜剧', '动作', '悬疑']"
14,我不是药神,92.58万,3126.08万,35.8,['2018-07-06'],['中国大陆'],['剧情']
15,速度与激情8,92.39万,2861.19万,39,['2017-04-14'],"['美国', '日本', '法国', '加拿大']","['动作', '惊悚', '犯罪']"
16,寻龙诀,45.42万,2333.84万,47.3,['2015-12-18'],['中国大陆'],"['剧情', '动作', '冒险', '奇幻']"
17,疯狂动物城,63.34万,2412.84万,44.5,['2016-03-04'],['美国'],"['动作', '动画', '冒险']"
18,羞羞的铁拳,80.2万,2985.66万,34.4,['2017-09-30'],['中国大陆'],"['剧情', '喜剧']"
19,港囧,44.52万,2312.69万,40.6,['2015-09-25'],['中国大陆'],"['剧情', '喜剧']"
20,新木乃伊,60.53万,2531.38万,35.5,['2017-06-09'],['美国'],"['动作', '冒险', '奇幻']"
21,复仇者联盟3：无限战争,78.11万,2291.8万,38.2,['2018-05-11'],"['动作', '冒险', '奇幻', '科幻']",[]
22,夏洛特烦恼,50.79万,2214.67万,39.3,['2015-08-27'],['中国大陆'],"['剧情', '喜剧']"
23,西虹市首富,66.34万,2408.17万,35.9,['2018-07-27'],['中国大陆'],['喜剧']
24,神奇女侠,58.19万,2364.12万,36.2,['2017-06-02'],['美国'],"['动作', '冒险', '奇幻', '科幻']"
25,疯狂的外星人  2D,49.62万,1899.9万,44.6,['2019-02-05'],['中国大陆'],"['喜剧', '科幻']"
26,美人鱼,75.89万,1895.87万,44.5,['2016-02-08'],"['中国大陆', '中国香港']","['剧情', '喜剧', '爱情', '动作', '奇幻', '科幻']"
27,美国队长3：英雄内战,52.49万,1791.81万,45.9,['2016-05-06'],['美国'],"['动作', '惊悚', '科幻']"
28,侏罗纪世界,38.86万,1640.1万,47.5,['2015-06-10'],['美国'],"['动作', '惊悚', '冒险', '科幻']"
29,我和我的祖国,48.93万,1880.27万,40.3,['2019-09-30'],['中国大陆'],['剧情']
30,前任3：再见前任,56.44万,2093.09万,36,['2017-12-29'],['中国大陆'],"['喜剧', '爱情']"
31,复仇者联盟2：奥创纪元,40.69万,1521.58万,49.3,['2015-05-12'],['美国'],"['动作', '冒险', '奇幻', '科幻']"
32,海王,75.87万,1928.73万,38.6,['2018-12-07'],"['动作', '冒险', '科幻']",[]
33,侏罗纪世界2,66.67万,2010.95万,36.8,['2018-06-15'],"['动作', '冒险', '科幻']",[]
34,魔兽,51.53万,1510.59万,47,['2016-06-08'],['美国'],"['动作', '冒险', '奇幻', '战争']"
35,毒液：致命守护者,71.74万,1891.03万,37.3,['2018-11-09'],"['动作', '惊悚', '科幻']",[]
36,后来的我们,58.2万,2025.61万,34.6,['2018-04-28'],['中国大陆'],"['剧情', '爱情']"
37,飞驰人生,47.95万,1571.72万,43.9,['2019-02-05'],['中国大陆'],"['喜剧', '动作']"
38,中国机长,60.89万,1676.46万,40.2,['2019-09-30'],['中国大陆'],['剧情']
39,大黄蜂英文版,76.79万,1758.4万,37.5,['2019-01-04'],"['动作', '冒险', '科幻']",[]
40,碟中谍6：全面瓦解,60.44万,1698.43万,38.7,['2018-08-31'],"['动作', '惊悚', '冒险']",[]
41,西游伏妖篇,33万,1569.17万,41.3,['2017-01-28'],['中国大陆'],"['喜剧', '冒险', '奇幻']"
42,银河护卫队2,50.55万,1672.32万,38.3,['2017-05-05'],['美国'],"['喜剧', '动作', '冒险', '科幻']"
43,星球大战：原力觉醒,36.07万,1318.87万,48.3,['2016-01-09'],['美国'],"['动作', '冒险', '奇幻']"
44,老炮儿,31.03万,1577.88万,39.9,['2015-12-24'],['中国大陆'],"['剧情', '动作']"
45,头号玩家,54.54万,1688.45万,36.7,[],[],[]
46,狂暴巨兽,57.54万,1727.4万,35.7,['2018-04-13'],"['动作', '冒险', '科幻']",[]
47,芳华,47.47万,1661.72万,35.3,['2017-12-15'],['中国大陆'],['剧情']
48,建军大业,39.41万,1758.06万,33.3,['2017-07-28'],['中国大陆'],"['剧情', '历史']"
49,绣春刀：修罗战场,41.17万,1834.48万,31.3,['2017-07-19'],['中国大陆'],"['剧情', '动作', '古装']"
50,奇幻森林,42.19万,1261.79万,45.2,['2016-04-15'],['美国'],"['剧情', '冒险', '奇幻']"
名次,名称,场次,人次,票价,年份,国家,类型
51,惊奇队长,64.56万,1405.86万,39.9,['2019-03-08'],"['动作', '冒险', '科幻']",[]
52,蚁人,33.34万,1164.01万,47.6,['2015-10-16'],['美国'],"['动作', '科幻']"
53,湄公河行动,51.85万,1503.88万,36.8,['2016-09-30'],['中国大陆'],"['剧情', '动作', '犯罪']"
54,三生三世十里桃花,30.09万,1529.15万,36.1,['2017-08-03'],['中国大陆'],"['剧情', '爱情', '奇幻']"
55,无双,57.85万,1517.46万,36.4,['2018-09-30'],['中国大陆'],"['动作', '犯罪']"
56,寻梦环游记,49.94万,1557.44万,35.4,['2017-11-24'],"['动画', '冒险']",[]
57,碟中谍5：神秘国度,38.55万,1265.4万,42.3,['2015-09-08'],['美国'],"['动作', '惊悚', '冒险']"
58,功夫熊猫3,44.94万,1170.99万,45.6,['2016-01-29'],"['美国', '中国大陆']","['喜剧', '动作', '动画', '冒险', '家庭']"
59,煎饼侠,28.17万,1348.46万,39.5,['2015-07-17'],['中国大陆'],"['剧情', '喜剧']"
60,西游记之大圣归来,28.98万,1196.66万,44.4,['2015-02-19'],['中国大陆'],"['喜剧', '动作', '动画', '奇幻']"
61,唐人街探案,30.18万,1343.77万,38.7,['2015-12-31'],['中国大陆'],"['喜剧', '动作', '悬疑']"
62,变形金刚4：绝迹重生,13.69万,893.29万,56.9,['130分钟'],"['动作', '冒险', '科幻']",[]
