Importers,Imported value in 2001,Imported value in 2002,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in average
World,6295722210,6600730224,7700393696,9393145534,10609919771,12260236463,14098820430,16338556065,12621698099,15321512919,18354876328,18500760862,18886458934,18897789244,16561834148,16076368942,17795256703,19690567742,19112305885,17536493025,14632672361
United States of America,1140900159,1200095834,1302833508,1525304217,1734849142,1918997094,2017120776,2164834031,1601895800,1968259901,2263619100,2334677700,2326590200,2410855500,2315252992,2249113117,2406362556,2612379157,2568396449,2407543964,2023494060
China,243552881,295170104,412759796,561228748,659952762,791460868,956115448,1132562200,1005555200,1396001600,1743394900,1818199200,1949992300,1959234625,1681670816,1588695867,1840957060,2134987265,2068950255,2055590612,1314801625
Germany,486022068,490450056,601761022,718150018,779819058,922213393,1059307813,1192581759,928891172,1060672352,1261588484,1161247824,1187301533,1214915242,1053388444,1056664804,1164586085,1286008402,1236217435,1171622058,1001670451
Japan,349291914,337613133,383465330,455253886,515866388,579063945,622243336,762533921,551984751,694059160,855380474,886031094,833166061,812184752,648436326,608071912,672100069,749092205,720964445,634678167,633574063.5
United Kingdom,358702945,372059499,425369491,502886192,528460952,614811651,679917918,705344161,552042035,627617523,717606233,689137011,657222528,694344323,630251058,636367936,640907689,671694258,692494170,631221475,601422952.4
France,293865641,303831442,362517304,434241853,475856799,529902263,611364435,695004283,540502283,599171506,713675254,666675231,671253553,667601846,563204454,559283575,609088414,660155685,637949069,568329124,558173700.7
Italy,236126622,246609477,297402799,355266853,384835561,442565103,511822514,560960371,414783638,486984372,558831982,489104116,479336353,474082559,410933398,406670670,453583034,503581134,474957328,422648102,430554299.3
Canada,221623729,222440059,240376249,273873700,314444419,350257150,380646622,408762168,321227568,392108702,450579509,462366181,461785073,463088977,420159798,402638900,432857718,460109333,453157225,404275453,376838926.7
India,50671106,57453469,72430524,98981129,140861667,178212440,218645294,315712106,266401553,350029387,462402791,488976378,466045567,459369464,390799463,356686417,443852795,509273228,478883729,367980363,308683443.5
Spain,154992565,165919565,208548696,259264826,289610795,329942243,391236948,418707465,287501636,318163804,366058447,325835176,335251392,352758967,304708111,302931265,341421161,391056705,375485170,329738801,312456686.9
