Importers,Imported value in 2001,Imported value in 2002,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in average
World,447894,430758,537678,607753,661930,701592,712678,713831,716476,614308,503947,155800,82649,36548,15084,8191,10390,9929,7630,5367,349021.65
United States of America,166932,186353,276251,303094,357247,368794,347629,329876,342733,300154,231857,17332,2731,1985,805,1231,399,1342,944,1649,161966.9
China,1123,1225,986,2128,1691,15133,27079,25364,33169,27393,18095,4921,2587,2197,1699,1199,1607,1099,1115,859,8533.45
United Kingdom,8599,10954,9854,21339,22510,28351,23797,19402,17219,9661,8485,2892,768,672,76,94,92,81,109,417,9268.6
France,25628,30330,40125,37953,32916,39753,44964,36988,41146,25824,19730,4390,1278,867,619,503,362,147,188,196,19195.35
Canada,8057,8602,7279,6720,5073,5481,6277,7164,7563,5393,3232,4934,1512,245,289,76,181,297,96,194,3933.25
India,965,1639,2439,3325,4383,4063,5463,3522,2718,2793,5251,1012,659,444,268,47,55,103,96,31,1963.8
Spain,13122,18638,24608,20196,22324,19889,12642,8778,6261,4085,4221,2900,16019,9761,3427,288,213,112,124,27,9381.75
Italy,2758,2809,3461,4491,1822,4761,5651,4304,2197,1973,2893,958,1884,215,119,46,28,16,27,20,2021.65
Germany,2272,7477,1828,13493,14031,17972,11619,10879,8096,8018,7906,2710,755,64,36,36,39,36,37,18,5366.1
Japan,79964,13656,14229,13839,18852,15087,14847,9071,14242,22554,10204,3993,245,73,247,57,83,70,49,7,11568.45
