评论内容,评论时间,评论人等级,评论类型
穿黎族服饰佩高跟鞋怎么了，传统服饰是贯穿古今的，而不是停留在古代原地不动的，那样只会让这些文化变成古装，古物。而我们要延续传统就不能把自己封闭在过去。像服饰文化不仅要继承她的制作技艺，更重要的是其中体现出来的这个民族的精神、审美、文化体系。而这些东西都是随时代发展的，不能固步自封。所以创造有当代特色的传统服饰很有必要。要记住，民族服饰是民族的、传统的，绝不是仅仅存在于过去的，更要活在当下，传到未来。,2020-10-15 17:24:07,5,评论
说得没错，我就喜欢传统跟现代的混搭。比如我今天就穿了明立领对襟短衫+牛仔裤+运动鞋去练车[tv_doge],2020-10-15 18:57:27,5,回复
容易扭伤[口罩],2020-10-16 00:48:41,4,回复
让传统工艺重现生机，现代技术功不可没！[打call],2020-10-15 17:08:31,5,评论
哇！姐姐好优秀！,2020-10-15 17:08:25,5,评论
这衣服也好好看阿！,2020-10-15 17:11:14,5,回复
淘宝、抖音合作确实给贫困地区带来了巨大变化，用纯手艺来创造收益真的很好👍。这样传统手艺才会继续传承下去…,2020-10-15 17:15:31,4,评论
民族服饰真的好好看呀,2020-10-15 17:09:55,5,评论
可以机器加工就好了(ง •̀_•́)ง,2020-10-15 17:15:51,6,评论
能量产的就不值钱了，就不是什么瑰宝~,2020-10-15 17:18:09,5,回复
回复 @Cici-Miumiu :量产可以平民化，高级货肯定还是手工的,2020-10-15 17:25:12,5,回复
这种产品，每一件都独一无二，机器加工出来的差别会很明显，流水线做出来，还有谁会愿意买单？有些东西可以产业化，有些东西产业化就变成了另外一种产品,2020-10-15 17:38:17,6,回复
把特传统色作为现代经济发展的动力并宣传当地文化特色[洛天依_可以][洛天依_可以],2020-10-15 17:22:25,6,评论
我们县的！,2020-10-15 18:41:15,5,评论
第一次见我们县城上央视,2020-10-15 18:41:55,5,回复
回复 @Inuyasha徐 :同😂，白沙人太少了,2020-10-19 09:47:32,5,回复
您看您像35的人吗[大哭],2020-10-15 18:04:04,5,评论
从0开始，总有想不到的困难,2020-10-15 17:14:41,4,评论
有时候去旅游想在当地买又被宰的肉痛，:-(希望以后景点卖货也不要贵的太夸张，你付邮费还多几块钱呢,2020-10-15 19:51:34,5,评论
海南本地人狂喜+大哭[tv_流泪],2020-10-15 18:12:52,6,评论
黎锦好好看啊！为非物质文化遗产点赞[支持],2020-10-15 17:36:44,2,评论
传统工艺，现代元素，我们中华几千年来本来就在不断进行着文化的融合前进，古老而一成不变的东西是放在博物院的   突然觉着带货反而更适合这些传统手艺  其他的带货网红产品真的没感觉,2020-10-15 21:08:20,6,评论
黎锦，筒裙,2020-10-15 18:08:58,5,评论
小姐姐好好看[鼓掌],2020-10-15 17:45:44,4,评论
【释义】伶、俐：聪明、灵俐、乖巧。口齿灵活；说话利落。形容会说会道；灵活乖巧而善于应变。也作“俐齿伶牙。”来自搜狗百科[doge],2020-10-15 17:32:24,5,评论
小康时代张嘴就来?,2020-10-15 17:29:32,6,评论
姐姐既好看又优秀 第一次看见黎锦 感觉挺美的,2020-10-15 20:24:02,5,评论
涨粉密码+1[doge],2020-10-15 18:48:44,5,评论
文化不用淹没历史中，人们还能获得收入，超棒[点赞],2020-10-15 18:34:46,5,评论
其实可以和一些大品牌合作这样子推广度高也能卖得更广,2020-10-15 18:17:55,5,评论
小康时代张嘴就来?,2020-10-15 17:29:32,6,评论
顺便讲下黎锦的特点也挺好的啊，讲故事的同时也传播下知识嘛，要不最后就只记得个有个姑娘通过抖音卖自己民族的服饰还卖的挺好[笑哭],2020-10-15 23:24:47,5,评论
好认真的姐姐[支持],2020-10-15 21:04:05,5,评论
[喜极而泣]等我减肥成功来一套,2020-10-22 16:40:16,6,评论
祖国强大了，文化才有自信[打call],2020-10-16 15:20:26,6,评论
啊啊啊啊啊啊我们自治县上新闻了 哭了,2020-10-16 09:47:38,5,评论
作文素材+1[doge],2020-10-15 23:08:15,5,评论
听听《国际歌》吧,2020-10-15 22:38:25,5,评论
民族的就是世界的。,2020-10-15 22:00:33,5,评论
这黎姐姐的普通话讲得真好，都快没口音了,2020-10-15 20:37:02,5,评论
姐姐好厉害👍,2020-10-15 20:01:29,5,评论
建议转一下B站up🐷有山先生的《讨菜檄文》,2020-10-15 19:03:42,5,评论
七月的时候新闻联播看到过-,2020-10-15 18:10:22,6,评论
话说你们那里木瓜多不多熟不熟哦[doge]  @大漠叔叔,2020-10-15 17:54:07,5,评论
妙[doge],2020-10-15 18:58:40,5,回复
啊啊啊啊，我们黎族的黎锦！,2020-10-15 17:52:48,5,评论
黎族,2020-10-15 17:48:11,5,评论
捏一下。,2020-10-15 17:43:38,6,评论
哈哈，国庆刚去体验了一下黎族的纺织手工艺,2020-10-15 17:31:40,5,评论
好看,2020-10-15 17:32:07,5,评论
南海工匠是什么意思？,2020-10-15 17:16:52,4,评论
厉害！,2020-10-15 17:13:23,6,评论
支持,2020-10-15 17:07:34,5,评论
