评论内容,评论时间,评论人等级,评论类型
落日熔金，暮云合璧，人在何处。这曲《西出阳关》改编得比《风打梨》成功，祝贺[鼓掌][鼓掌]后半部分驰放音乐风格与南音古韵完美融合，三弦浑厚古朴，静音吉他抒情浪漫，若隐若现鼓声点点，此时箫来天霜，仿佛一阵清风吹皱心湖，泛起层层涟漪……碧云日暮无书寄，寥落烟中一雁寒工乂谱岀现在视频中，有心了。谢谢你们为了南音传播所作的努力，愿更多年青朋友通过这首曲子，来认识我们的南音进而喜爱真正的南音！加油[支持],2021-12-28 20:09:06,4,评论
夕阳西下，美人迟暮，多少美好随风逝去；故人远行，英雄末路，壮怀慷慨大漠黄沙；是时代落幕，故国余晖照亮了倾颓垣墙，是江河干涸，碎石嶙峋切割着天边红霞。刺桐港的桅杆林立，待风起后的送行，阳关外的驼铃声声，是折柳的那个征人。起风了，风沙迷眼，幸好夜幕下星河明亮，照亮前路。,2021-12-25 02:03:36,2,评论
没听懂的这层集合[脱单doge],2021-12-24 13:52:41,4,评论
水打梨更适合我[打call][打call][打call],2021-12-24 23:56:46,5,回复
这是不小心开了精选评论吗[笑哭]如果可以的话下次可以更一首有唱词的吗[打call],2021-12-24 15:11:35,5,评论
[大哭]对的 被发现了,2021-12-25 15:38:03,4,回复
感受到了古韵今移，传达到了雅正清美。[OK]反正好听就完事了！[打call][打call][打call],2021-12-25 00:47:43,6,评论
想家啦[委屈]想念夏天晚上骑车逛中山路西街,2022-01-07 12:42:24,5,评论
转发来迟！！[热词系列_三连],2021-12-29 08:07:26,6,评论
来了就好[doge],2021-12-30 11:52:55,4,回复
在qq音乐听就感觉脑子里面已经有走在泉州的画面了 想家了[大哭],2021-12-25 18:15:48,5,评论
这首好好听,2021-12-25 15:35:32,4,评论
很好听,2021-12-25 02:38:00,6,评论
才知道我们古老的曲调改编一下根本不输国外那些世界名曲，优美隽永，情感充沛，古人的生活意趣和审美管中窥豹，我们的文明是有多少的惊喜等着被发掘。,2022-01-07 22:58:08,4,评论
这部分出处在大曲《阳关三叠》第八节第二段[打call][打call][打call]改编得好棒！,2021-12-29 22:15:12,6,评论
好听诶，想家了,2021-12-24 19:00:37,5,评论
坚持住马上过年回家啦[打call],2021-12-31 11:54:30,4,回复
回复 @心水南音 :[热词系列_好耶],2021-12-31 11:57:49,5,回复
继续努力！三连大大的有！[点赞],2022-01-10 12:00:29,5,评论
听起来像喝茶一样舒服  沁人心脾,2022-01-09 16:21:59,4,评论
支持催更hhh，之前在姐姐的爱乐之旅就看到了，那时没有找到UP主，现在b终于有了,2022-01-04 13:13:38,4,评论
我操，这么好听啊！这个必须得收藏。,2022-01-04 11:00:30,5,评论
欢快啊这,2022-01-02 16:35:24,5,评论
好听呀,2021-12-31 13:53:16,6,评论
咱厝的南音太棒了[打call][打call]加油呀,2021-12-31 12:57:42,6,评论
！！好棒！！！,2021-12-31 01:07:59,5,评论
太好了！网上南音资源很少，我又喜欢听，up要多上传哇[委屈],2021-12-30 12:21:22,5,评论
