评论内容,评论时间,评论人等级,评论类型
想起了绒花，一项濒临失传的技术愣是被簪娘们卷成了入门必备技艺[doge],2022-01-15 00:03:39,5,评论
开玩笑，那么漂亮的绒花怎么能不入手一个，有需求就有市场[doge],2022-01-15 11:11:42,5,回复
因为🍑太贵。我打算改天学。。。,2022-01-15 16:05:48,5,回复
回复 @清荼愁草 :[doge][doge]期待姐妹的作品,2022-01-18 13:23:32,5,回复
簪娘:谢谢你，继点翠，缠花，绒花，螺钿，热缩，布绢，纸绢，烫绢，造花液之后我又要学新技能了[脸红],2022-01-18 14:24:20,3,评论
谢谢你让我知道原来还有这么多汪汪汪,2022-01-18 22:34:20,4,回复
这个我记得之前也出来了哈哈，好像跟绒花差不多时候？就是通草花感觉相对绒花缠花不太容易保存,2022-01-20 01:53:47,5,回复
回复 @梧桐果子酱 :比较娇贵[笑哭]我一直在犹豫要不要入手一个,2022-01-20 23:47:53,3,回复
预测B站up迟早会掌握这项技术,2022-01-14 16:58:35,5,评论
之前B站经常给我推通草花。但我不知道是不是都是一个up，因为我只点开过一次。不过真的很漂亮[热词系列_吹爆],2022-01-14 22:27:53,4,回复
马上拼夕夕就有全套制作工具套装了,2022-01-14 22:46:21,6,回复
回复 @牡丹莲-王濠镜 :手艺还是只能练出来，不是工具好用是是师父的手好用[doge],2022-01-14 23:15:27,5,回复
有些簪娘在做的，只不过还没有像缠花和缠花那样普及，还有的簪娘做陶土花……簪圈现在特别卷（没什么门槛，越来越多人做，价压的越低，做的人多，卖家就少了…唉），做出的成品簪都压价压的厉害，我一想到旅游区的十分普通的基础的捷克琉璃簪要买三百元，我就替我（啊不是）簪娘们不值！,2022-01-17 22:31:16,4,评论
苏州留园那里，两片小叶子做的耳环卖299[大哭]我对象要买我不让。还被卖东西的老大妈鄙视了：连个小东西都买不起的男生有什么用[辣眼睛][笑哭]我跟那个老大妈说，没必要这样。就是三百大洋可以让我买好多蚕丝线做十几万片这个叶子了[笑哭][笑哭],2022-01-18 16:57:10,3,回复
回复 @老猫咪的小簪铺 :簪郎？！,2022-01-18 17:10:06,4,回复
做的人越多其实对传承文化本身最好😂,2022-01-20 22:17:37,5,回复
我今天看到冬奥会的花束制作，才突然意识到这样一场盛会真的是很适合推广发扬一些传统技艺。那个是融合了中西方技艺的，但我们还有更多很漂亮很精绝的独属于自己的技艺。,2022-01-14 17:22:47,5,评论
我是真的觉得西方的东西太多了，真的没必要什么都考虑中西结合。,2022-01-14 19:17:47,3,回复
回复 @提灯笼的雾鲢鱼 :这种美丽的东西没必要非搞个中西结合，这种美很难懂吗[笑哭]，又不是水墨画那种抽象的东西,2022-01-14 20:17:51,5,回复
只要真心想买，你就永远可以相信手作娘[脱单doge],2022-01-14 22:12:12,6,评论
多的是:纸做的又不值钱，便宜点，再包个邮咯[无语],2022-01-16 00:07:53,5,回复
回复 @LollipopQvQ :[笑哭]：我，学生，半价包邮，懂？[妙啊],2022-01-16 00:12:44,6,回复
回复 @LollipopQvQ :好像材料蛮贵的[妙啊],2022-01-16 23:30:44,5,回复
簪娘们，懂我意思吧[doge],2022-01-15 12:58:04,6,评论
我有意思，簪娘懂我的意思，但我的钱包不能意思意思，抱歉是我没意思[大哭],2022-01-16 18:52:25,5,回复
回复 @凉白开qaz :好家伙[笑哭],2022-01-16 19:52:45,6,回复
有挺多都在做的[tv_doge],2022-01-19 21:22:31,5,回复
不过我印象里，通草花还挺多人会做呀，18年还是17年误入过一个手工论坛，里面就有很多人会做，我有印象也是因为做的太像真花了，好奇点进看了看。并且大家很多手巧的人还想了很多“偷懒”又便捷的法子。之前对这种工艺认知不深，以为只是材料不同，这个视频看了，没想到这么稀有吗？b站好像就有好几个会做通草的纸艺博主吧,2022-01-14 21:18:49,4,评论
会做的多，手工大佬学学都能做，但是走的完流程给你评上非遗的很少。[doge],2022-01-15 00:03:21,4,回复
评不上就是不会做喽。还有自己琢磨的那些，不出名，不在出完名之后拜个大佬师父教教，你也是评不上的。哪怕你真的照着资料还原了。这，就是…[doge][doge][doge][doge],2022-01-15 00:04:48,4,回复
回复 @骂你还要挑日子吗 :啊，居然是这样子？！这些掌管着评级家伙都是些什么人儿啊！,2022-01-15 01:31:12,6,回复
你别说，刚入坑时我看他们只是用琉璃花瓣做簪子，现在那些成了小白用的，点翠，绒花，缠花什么的都被内卷成簪娘必备了，甚至有些簪娘还会掐丝之类的工艺，甚至能把古代宋明皇后戴的礼冠什么的都做出来了，还跟别人科普很多古代礼制，例如明代皇后礼冠有博鬓而无挑牌，需配翟衣，为最高级别，燕居冠皇后有挑牌博鬓，需配黄色大衫和相应的帔之类的知识，但是我很高兴国内对于这种传统工艺产生疯狂的内卷。,2022-01-19 13:42:12,5,评论
有一个大佬专门做文物复刻，太绝了，各种非遗技术,2022-01-28 12:16:31,5,回复
回复 @君心杳杳似卿月 :哪个哪个 我要关注他,2022-01-30 21:21:29,6,回复
千万别叫韩国偷走了,2022-01-14 12:05:50,4,评论
放心这是技术活，光耍嘴皮子没用,2022-01-14 12:33:21,4,回复
与其说这句话不如加大对通草花这项非遗的保护和宣传[呆],2022-01-14 23:34:43,5,回复
回复 @在朝大法师 :可是没有人注意到啊，必须我觉得必须得出声,2022-01-16 13:53:32,5,回复
最近卖通草花的簪娘挺多的啊，属于挑花了眼那么多，虽然大多不是师从名师，不过民间工艺品嘛，好看就行，没标准答案也不错。视频里的小姐姐应该就是微博账号“做通草的蕴玉”，也是传统爱好者中小有名气的，不知道有没有带徒弟。汉服一火真的是带动了好多工艺，什么绒花缠花烫花料器花，什么苏罗杭罗湖绫云锦，打籽绣盘金绣，草木染绞缬夹缬，印金织金，绦子络子，折扇团扇，仿点翠花丝炸珠辑珠，绛纱灯鱼灯无骨花灯竹丝行灯，虽然有的大火有的小火，至少能多做一点是一点。,2022-01-19 07:30:59,5,评论
