评论内容,评论时间,评论人等级,评论类型
清朝的确是中华历史上最屈辱的一段，但这些历史文物是中华文物的组成部分，不能因为这段屈辱就丢弃它们啊，我们不保护，就被东亚其他国家偷去了,2022-03-05 00:48:45,5,评论
应该是清晚和近代，我知道你们都不喜欢清朝，但真正来看的话，清朝前中期的统治措施在封建制度的环境下来看可算不错的了,2022-03-08 23:44:13,5,回复
这不是非遗的衣服吗 为什么说是僵尸服？什么是僵尸服,2022-03-01 20:36:10,5,评论
僵尸服是吧,2022-02-25 16:01:18,4,评论
啊对对对[翻白眼],2022-03-07 08:49:29,6,回复
僵尸穿清朝的官服，那把这官服放进木箱子里，那不就是衣冠冢吗？[惊讶],2022-02-28 14:57:28,4,评论
啊对对对[翻白眼],2022-03-07 08:53:03,6,回复
谁要带满清的破玩意儿,2022-03-04 01:34:31,5,评论
兄弟你可以鄙视大清，但别鄙视我们的传统文化呀。[辣眼睛],2022-03-04 20:42:50,2,回复
回复 @我似时光 :僵尸服是可不是我们的传统,2022-03-04 21:22:07,5,回复
