评论内容,评论时间,评论人等级,评论类型
（/TДT)/老手艺退环境了啊。早个几年您跟别人讲说:嘿，我送你一对儿“掐丝珐琅瓶”，人多半听不明白，你说，我送你俩“景泰蓝”，那人家知道了，哦，景泰蓝。现在你说掐丝珐琅，依然没几个知道，景泰蓝也估摸着没几个知道。我把这玩意截给室友一看，室友说:嘿！3d打印！,2021-08-28 23:19:48,5,评论
是的，老手艺了，大家对这认知度不高，不过成品的质感好，而且学习门槛低，基本有手就行,2021-08-29 10:34:33,4,回复
真巧，不过我敢肯定我室友都认识就是这么自信，因为这玩意儿上学期是我们的作业[大哭]掐丝掐的手指头疼[大哭],2021-08-29 19:34:02,6,回复
回复 @白勺得_ :哇，辛苦你了，这东西光看着就难做，跟别提亲自上手了。,2021-08-29 22:38:33,5,回复
up要记得放上国旗图案，否则某宇宙国就要拿去申遗了！(ಡωಡ),2021-08-29 11:07:47,4,评论
防火防盗防偷国人,2021-08-29 18:28:18,5,回复
绝了之前做的时候掐金丝就永远弄不好那个弧度，老难了天！！！太好看啦！！！！,2021-08-28 23:33:02,5,评论
是说我永远弄不好[笑哭][笑哭],2021-08-28 23:33:25,5,回复
掐丝其实有技巧，只要掌握怎么掐尖角，圆角和大弧线，基本所有的线都能驾驭[doge],2021-08-29 10:27:57,4,回复
回复 @小占同学 :是不是掌握了这个，ps里边的钢笔工具就用6了[doge],2021-08-29 16:28:24,5,回复
第一次做视频，没有明确标注，九凤这形象是出自衫泽的《观山海》，很不错的一本书哦[呲牙],2021-08-29 20:39:10,4,评论
是杉泽…连名字都打错,2021-09-05 10:46:29,5,回复
观山海真的绝美，期待百鬼,2021-09-14 21:23:21,6,回复
这好像小时候在广场玩的十块一副的卡通填色画，最后得到胶质的美羊羊[妙啊],2021-08-29 18:13:54,5,评论
@画师杉泽,2021-08-29 15:02:55,6,评论
好厉害呀，用的是什么石啊,2021-08-28 23:33:26,3,评论
庭院铺底板的那种石板[狗子],2021-08-29 10:31:07,4,回复
回复 @小占同学 :hhh,2021-08-29 10:39:28,3,回复
好耶！我毕设就做了两幅掐丝珐琅画!中间搞的我一度想放弃，好在也是坚持下来了，老师评价也挺高的，不负有心人啊哈哈哈哈哈[OK],2021-08-29 23:25:07,4,评论
还记得在颐和园买景泰蓝，被坑了好多钱，刚工作赚点钱想着给爸妈买点东西，两个手镯花了我一千多。回来淘宝一搜几十块[捂脸]特喵的，现在想起来都有一股无名之火熊熊燃烧,2021-08-29 18:12:37,6,评论
我妈以前也玩过这个，真的不需要什么美术素养的，细心慢慢就来了，哈哈我的童年回忆了,2021-08-29 17:36:55,5,评论
那么请问这个如何入坑呢！我在这里血书求一个入坑教程，我觉得我可以！,2021-09-01 00:44:30,5,评论
可以的，下个视频介绍下要入坑需要的东西及基础的操作,2021-09-01 12:15:36,4,回复
真厉害,2021-08-29 20:39:20,2,评论
