评论内容,评论时间,评论人等级,评论类型
这才是奢侈品！国外那些简直弱爆了,2022-01-03 12:03:22,5,评论
几千年打百十年，这属于降维打击，但媒体话语权在人家手里就很难受[藏狐],2022-01-04 15:27:25,6,回复
国外的还能买起，这种奢侈的让人望而却步,2022-01-08 15:05:44,5,回复
这是艺术品！[傲娇],2022-01-10 17:33:41,5,回复
建议赶紧趁着这个热度，出一个才浅同款空间站，放到自家博物馆，还有就是，抓紧时间先出个介绍自家产品的视频啊！！！运营不行[微笑],2022-01-04 00:34:24,6,评论
我刚开始以为潮宏基就是个挺传统的那种小型卖工艺制品的金店  一查发现是个市值52亿的上市企业[笑哭],2022-01-05 05:12:17,5,回复
回复 @CaptainSlow_ :哈哈哈哈哈哈哈哈买点股票吧,2022-01-12 02:03:12,4,回复
我还真有[doge],2022-01-17 23:30:34,5,回复
"码了，以后有钱了给女朋友整一个。什么“钻石恒久远,一颗永流传”，破石头哪有金来的实在好看。",2022-01-02 18:17:29,5,评论
[打call],2022-01-02 19:40:16,5,回复
@我想早点睡啊 看看看看,2022-01-12 19:31:17,5,回复
回复 @你是一只粉红猪 :看见了看见了,2022-01-12 20:57:11,5,回复
太强了，这玩意儿绝对适合结婚时装逼啊[哦呼]黄金的空间艺术,2022-01-03 09:32:42,5,评论
买不起啊,2022-01-04 13:19:59,4,回复
你得有一个小目标才行,2022-01-05 15:55:54,5,回复
回复 @直隶丶神话 :所以适合装逼啊[妙啊],2022-01-10 18:16:14,5,回复
买回来我要搁保险柜里[妙啊],2022-01-03 09:57:58,4,评论
笑死，没钱买[doge],2022-01-03 16:05:33,3,回复
笑死，我连保险柜都买不起,2022-01-05 02:43:34,5,回复
笑死，保险柜都买不起,2022-01-05 10:42:52,5,回复
这些老师傅要是做一个天宫的模型，该有多惊艳,2022-01-03 09:56:36,4,评论
是啊，毕竟才浅只学了一周，老师傅们可是大家,2022-01-04 10:42:18,5,回复
回复 @鸢时既望 :这也说明才浅的天赋有多恐怖，一周就能做成这样，怪不得说那些老师傅看他眼神发光,2022-01-06 21:04:30,6,回复
惊呆了，才浅确实差得远啊,2022-01-02 21:07:01,6,评论
毕竟才浅就学了7天,2022-01-02 21:14:12,5,回复
那肯定，人家这些工艺之前都是几辈子传下去的,2022-01-03 01:05:03,6,回复
7天能学成这个水平，也是牛逼啊,2022-01-03 22:20:37,5,回复
这个博物馆到底在哪儿啊？好想去现场看啊[哦呼][哦呼][哦呼],2022-01-02 23:59:28,6,评论
广东汕头[吃瓜],2022-01-03 09:02:40,5,回复
回复 @星辰震天 :这个博物馆搜不到，请问知道是不是对外开放的？想参观的话需要走什么流程？,2022-01-05 00:24:53,5,回复
突然之间，红楼梦里的某些饰品我可以脑补出样子了，这太美了。,2022-01-03 18:40:31,5,评论
看这些以后在看小说什么掐丝，累金，镶嵌，步摇，都有个大概的轮廓,2022-01-05 11:21:11,5,回复
绝了，原来才浅做的那个真的是才浅[笑哭][笑哭]匠人就是牛啊,2022-01-03 21:51:26,5,评论
才浅确实才浅了[脸红],2022-01-02 19:04:24,4,评论
好绝啊，不愧是让才浅都自惭形秽的技艺[tv_点赞],2022-01-02 17:45:40,5,评论
坏了，我成葛朗台了[藏狐],2022-01-02 23:30:29,5,评论
想问有没有小件是用这种工艺做的……大件着实是买不起的[doge],2022-01-04 03:39:02,5,评论
有手镯和吊坠这些，大牌的金店都有卖,2022-01-05 12:15:23,5,回复
花丝糖果啊,2022-01-06 00:33:59,5,回复
发饰，耳环，手镯，项链，戒指，会有这种工艺的,2022-01-06 19:18:14,5,回复
[思考]难怪才浅说自己只学了个皮毛，要是能由老师傅做个空间站高配版那得是多惊艳啊！！[哦呼],2022-01-05 09:58:48,5,评论
才浅视频来的，第一次知道有这种工艺，涨知识了！,2022-01-03 12:03:50,5,评论
怎么卖(我飘了),2022-01-03 00:41:51,5,评论
才浅说的居然是真话，老师傅做的还是完美啊[doge],2022-01-04 13:42:09,4,评论
非遗老师傅还是厉害，希望可以多发一些这种制作过程的视频,2022-01-02 22:51:42,6,评论
果然 才浅果然只学了皮毛[脸红][脸红][脸红],2022-01-04 19:38:00,6,评论
什么是奢侈品，这才是，国外那些都什么辣鸡[吃瓜],2022-01-04 12:56:23,5,评论
