评论内容,评论时间,评论人等级,评论类型
真的逐渐画风清奇，哈哈哈哈，话说屏风这类的家具，我挺喜欢的。但不知道可不可以提个建议，就是风格稍微简约做新国风这种可以吗，感觉实木搭配刺绣好好看，但是up图片这些感觉风格挺传统，感觉除非是家里全是这种风格，不然真的很难搭配，搭配不好会不会有七八十年代的感觉[笑哭][笑哭][笑哭][笑哭]（纯属我自己的个人观点）,2022-01-11 23:25:19,5,评论
我感觉换成现在流行的图案像千里江山会好一点，松鹤延年只适合送长辈吧[笑哭],2022-01-14 19:24:42,5,回复
回复 @H凤凰传说 :可能吧，感觉设计蛮难的,2022-01-15 08:19:57,5,回复
感觉木头颜色浅一点比较好,2022-01-26 12:17:53,5,回复
好家伙，我记得你们不是做汉服的吗？,2022-01-11 12:22:46,5,评论
其实汉服是副业[OK],2022-01-11 12:45:05,5,回复
其实汉服是副业[OK],2022-01-11 18:51:58,5,回复
有没有兴趣做地毯？,2022-01-28 13:24:58,5,回复
这才多久不见，up就干到了家具了，业务面挺广啊[脸红][脸红],2022-01-12 20:51:44,5,评论
汉墨记家具店,2022-01-11 12:22:26,5,评论
汉墨记家具（居）店,2022-01-26 09:35:11,6,回复
懂了，汉墨记婚庆店,2022-01-11 22:51:59,5,评论
中式首饰盒很贵，我之前看一个要300左右，结婚送礼好好看~,2022-01-11 12:58:23,5,评论
听出来了，bgm是《陆小凤传奇》里的曲子[给心心],2022-01-11 14:01:11,4,评论
汉墨记杂货店,2022-01-11 12:25:19,5,评论
开头的那个如果做成比较平的然后选比较清新的颜色图案也是学生党的书签了,2022-01-25 20:25:52,4,评论
反正我啥都有 对吧,2022-01-21 20:57:08,5,评论
黄色的很好看,2022-01-21 16:32:46,6,评论
伴手礼有了，对象在哪里领啊[脸红],2022-01-20 09:30:01,3,评论
什么，你竟然不是老板[哦呼][哦呼],2022-01-20 06:52:40,5,评论
等等，你们不是做汉服的吗,2022-01-17 22:40:01,5,评论
这就太贵了 [藏狐]办完一个婚礼要破产 送就得人人都送,2022-01-17 11:30:18,5,评论
我记得你家一开始是做汉服睡衣来着。。。,2022-01-16 13:10:59,6,评论
我就是从你们做睡衣开始，期待你们的改良日常上班穿的汉服,2022-01-15 20:58:46,5,评论
希望我能在你们还有货之前结婚,2022-01-15 20:57:31,5,评论
你们不是做睡衣的吗,2022-01-15 19:55:42,4,评论
不试着开家婚庆店么？,2022-01-15 19:43:22,5,评论
@千丿灵灬 这个好像可以搞一下,2022-01-15 17:39:16,5,评论
好想买啊 可惜我母胎单身 快奔三了[脸红][脸红][脸红],2022-01-14 19:57:49,5,评论
你们能不能在美国亚马逊上开个店！这太好看了吧！,2022-01-14 15:30:12,6,评论
我想问，你们有没有DIY材料包！就那个书签那种[捂眼][doge],2022-01-13 23:17:01,5,评论
年轻人可以送这个，老年人只会觉得华而不实[笑哭],2022-01-13 22:37:42,5,评论
感觉你家的东西越来越精致了呢,2022-01-13 15:40:25,4,评论
别的不说，刺绣看起来直接让使用者老了六十岁，改改别的图案吧…,2022-01-13 13:30:45,3,评论
你敢不敢婚庆一条龙连司仪家具服装都包圆了！我这就上街抓汉子结婚去[捂眼],2022-01-13 00:18:57,5,评论
快说价格让我死心[doge],2022-01-12 23:51:53,5,评论
双侠,2022-01-12 23:01:49,5,评论
求个bgm,2022-01-12 21:40:37,5,评论
怎么买啊？淘宝上？,2022-01-12 18:41:48,4,评论
做得精致的话可以做收藏,2022-01-11 23:52:32,5,评论
只要我结婚的时候你还卖，我就来买作伴手礼[妙啊]目测至少还要四五年,2022-01-11 22:48:19,6,评论
还是买口罩吧[脱单doge],2022-01-11 20:28:41,5,评论
插个眼，等个漂亮妹妹结婚[doge][doge][doge],2022-01-11 19:15:55,5,评论
汉墨杂货铺，厉害厉害,2022-01-11 12:55:40,5,评论
在淘宝买嘛？,2022-01-11 12:55:31,5,评论
哈哈哈哈哈有点道理嗷,2022-01-11 12:26:16,5,评论
拼夕夕没有上架这些吗,2022-03-08 18:03:22,4,评论
没有,2022-03-08 21:42:17,4,回复
回复 @汉墨记原创汉服 :好的,2022-03-08 23:38:48,4,回复
居然是菏泽老乡！,2022-02-20 14:26:52,3,评论
国风一条龙[doge]话说你们接拍婚纱照吗？,2022-02-19 21:08:25,5,评论
老板啊这照片拍得有点不行啊,2022-02-06 17:16:53,4,评论
好看,2022-02-06 15:38:18,5,评论
你还记得你是汉服店吗？[doge],2022-01-29 12:32:51,4,评论
挂件怎么买呢，淘宝店没有啊,2022-01-28 17:26:16,5,评论
汉墨记国风原创,2022-01-28 18:10:48,4,回复
找到了，汉墨记国风原创,2022-01-28 17:27:11,5,回复
你们业务范围越来越广了,2022-01-27 05:17:48,6,评论
