评论内容,评论时间,评论人等级,评论类型
好耶[星星眼]双厨狂喜（？），中国非遗yyds，希望借助天官赐福这种非常好的国漫作品传播出去[打call][打call],2021-10-14 20:21:37,5,评论
[给心心][给心心][给心心]请了杨老师，23日上午来直播，大家记得来看呀,2021-10-22 00:37:51,4,回复
@天官赐福动画官方 @哔哩哔哩国创 @绘梦动画   合作机会这不就来了，第二季非遗小课堂安排上,2021-10-13 19:35:00,5,评论
我小学搞刻纸的时候就很佩服手剪的而小学刻纸刻花灯给我现在搞手账刻章打下了良好的基础现在总是就是，，，额，双厨（？）狂喜？[天官赐福_彩虹屁][天官赐福_彩虹屁][天官赐福_彩虹屁],2021-10-13 00:11:34,4,评论
[热词系列_好耶],2021-10-23 18:31:13,3,回复
同同同[热词系列_妙啊],2021-10-31 15:26:26,3,回复
好好看啊，中国非遗加天官赐福我疯了,2021-10-16 17:25:22,3,评论
我对剪纸还停留在窗花[嗑瓜子]这个好牛啊[喜极而泣][喜极而泣][喜极而泣],2021-10-14 20:31:55,3,评论
支持传统艺人！期待第二季结尾非遗小课堂看见先生！,2021-10-13 19:33:27,5,评论
支持！,2021-10-23 18:40:00,4,回复
太牛了！！！好好看[给心心]其实小时候蛮喜欢剪纸的，静下心来慢慢剪，很享受那个过程。希望剪纸越来越好！有关非遗的活动越来越多[天官赐福_彩虹屁],2021-10-13 01:51:11,5,评论
我学校里有非遗剪纸大师工作室，还专门开设了剪纸课程，剪的好的话，就会放到墙上展示，于是我在我学校的展示墙上，看到了q版天官赐福，史莱姆，海贼王，千寻……，还看到了钟南山院士，穿着防护服的白衣天使们…，而且国庆，中秋这种节日也会有剪纸比赛。,2021-10-22 16:49:25,4,评论
好棒呀！,2021-11-06 19:33:49,5,回复
是真的第一次知道有这样的刻纸类的剪纸艺术，所以说艺术不应该固步自封，只有不断创新，迎合时代，才会被更多人所了解和喜爱。,2021-10-13 00:15:22,4,评论
以前像葫芦娃这类动画就是以剪纸的方式拍摄的，爱了[星星眼],2021-10-17 20:52:35,2,评论
这种剪纸好像和小时候美术老师教我们的剪纸形式差不多！不去体验一次剪纸，真的不知道自己的手工能残废到什么程度。本以为用刻的方式会简单一点，结果我不是一刀划出去，就是没有刻到位，留下参差不齐的边边。当然啦，虽然我的技术差，但其实最后的成品还是可以挺好看哒，开心。工具也很简单！推荐大家去试试！很好玩！[天官赐福_点赞],2021-10-14 21:22:09,5,评论
大家多多关注非遗呀！我们的文化真的好棒[天官赐福_突然出现],2021-10-14 21:23:13,5,回复
好像学啊,2021-10-19 23:13:24,6,回复
哦哦哦哦哦哦哦哦哦好看！,2021-10-13 00:43:05,6,评论
好厉害！[天官赐福_彩虹屁][天官赐福_喜欢],2021-10-13 00:54:56,5,评论
到哪买？[妙啊],2021-10-13 14:57:47,5,评论
这边需要您自己做呢，亲亲[doge],2021-10-16 21:45:42,4,回复
哇[天官赐福_彩虹屁][天官赐福_彩虹屁][天官赐福_彩虹屁],2021-10-14 01:13:40,6,评论
哇啊啊啊双厨狂喜,2021-10-20 01:39:27,3,回复
[热词系列_吹爆]好厉害呀,2021-10-12 12:09:34,4,评论
天官赐福！！！剪纸真好看！,2021-10-12 23:58:00,5,评论
好棒,2021-10-13 00:47:09,5,评论
[支持][支持],2021-10-13 01:12:58,5,评论
太漂亮啦[给心心],2021-10-13 01:09:00,5,评论
哇～好好看[星星眼],2021-10-12 23:11:49,6,评论
支持传统手艺人,2021-10-12 14:21:16,5,评论
谢谢！年轻人很喜欢！[滑稽][滑稽][滑稽],2021-10-19 20:10:13,3,评论
@天官赐福动画官方 你看看！多好的素材!！快安排上呜呜呜[阴阳师缘结神_我磕到了],2021-10-18 20:57:07,3,评论
好看不火系列，应该让更多人了解一下剪纸,2021-10-17 21:41:53,3,评论
传统文化+天官赐福[鼓掌],2021-10-21 20:53:15,6,评论
这怎么打印下来啊，我是学剪纸的，想刻,2021-10-15 23:07:55,3,评论
我也想刻,2021-10-16 11:34:34,2,回复
这看着是自己画的hhh[doge],2021-10-17 13:13:17,5,回复
太美了！,2021-10-14 20:02:02,5,评论
