评论内容,评论时间,评论人等级,评论类型
kè sī 缂丝俺是在大学博物馆带讲解的，馆里有国大师一件缂丝作品，画面很简朴，一开始我觉得很不起眼，但你细看就能看出缂丝工艺与其他织绣作品的不同。透过光线看，有刻纸的感觉，又像是雕刻后镂空了一样，因此也叫做雕刻的丝绸“刻丝”，能有这样的呈现方式是因为，这个工艺是“通经断纬”，即画面需要换色纬线就随时更换丝线颜色，缂丝可观赏性强，制作工艺也复杂，一件作品耗时少则上月多则几年，因其制作工艺反复早在宋元时期时期是皇室御用的布料。Up介白嫩的小手可见年纪不大，经纬相互交织在编织非物质文化遗产新的活力，能看到这样的缂丝作品真的超级感动！辛苦了[拥抱],2021-04-07 01:18:30,5,评论
感谢科普[给心心]码字辛苦了！,2021-04-07 07:47:44,6,回复
回复 @渝川Patty :Up主觉得很淦 就值得了 哈哈哈嗝,2021-04-07 10:10:11,5,回复
白嫩的小手[OK],2021-04-25 07:56:37,4,回复
我终于知道安陵容她娘是咋瞎的了，线太细了[辣眼睛][辣眼睛],2021-04-05 21:43:44,4,评论
缂丝线算好的啦，劈线操作比较少，我学刺绣的时候，2丝劈得我头昏[捂脸],2021-04-05 21:54:52,6,回复
绝绝子你好,2021-04-13 00:02:15,5,回复
看到这条评论我就安心了,2021-04-08 11:09:21,4,回复
发现南通缂丝比苏州缂丝面临的情况更危险。南通缂丝为本缂丝（致密挺括稍耐磨），苏州是明缂丝（轻软薄透较脆弱），论技术和难度本缂丝会更高一些，常被用于复制古画。如果想学本缂丝可以联系宣和缂丝研制所，微博上有官博。(转),2021-04-05 13:47:56,5,评论
我天我本地人都不懂这个文化，太濒危了。。。,2021-04-06 17:33:22,6,回复
回复 @棒子给爷爪巴 :宣和缂丝，直接百度,2021-04-08 21:00:31,5,回复
南通本地人不懂加一[大哭],2021-04-07 00:18:05,5,回复
这个超难！宋朝的时候就是顶尖艺术了…太厉害了。看来看去有点悲哀，大家想普及这个只能靠日漫，多希望我国也能出优秀的二次元作品啊…,2021-04-07 23:15:27,5,评论
我也有喜欢的国漫[tv_doge]下一幅已经选好了,2021-04-07 23:26:59,6,回复
回复 @渝川Patty :如果up感兴趣推荐一下一篇种田文《大宋小吏》主角妈妈就是缂丝大手。虽然是耽美但是感情部分太少了可以当作无感情来看…提起来只是突然意识到如果没有你们发出的这些文娱作品，可能我这辈子都不会意识到这个手艺和失传的风险。我们看过了一次就在脑中留了个文化的印，up视频和那本小说真的是异曲同工之妙，都是文娱结合热门题材进行文化输出如果可以的话希望up能一直坚持这个手艺！我也要思考怎么用个人的力量去宣传我们的文化了，谢谢up听我叨叨这么多哈哈哈哈哈,2021-04-11 21:01:05,5,回复
是的[笑哭]糖兔老师真的是中国文化传播人。倒流香，花茶，道教细节，上古神话…,2021-04-13 18:47:28,5,回复
喔～我是从首页过来的！,2021-04-04 22:55:28,5,评论
真的吗[星星眼],2021-04-04 22:57:43,6,回复
俺也一样,2021-04-05 10:50:13,5,回复
回复 @渝川Patty :真的真的！我也是,2021-04-05 07:53:32,6,回复
在首页刷到这个视频的时候就有些感兴趣，一开始看到的是一团乱乱的线，但后来看到正面的时候就被惊艳到了，而且需要这么多的线，up却还能这么耐心的编织，真的很佩服。还有配色，不得不说，up真的好细心呀，没有弥豆子发色的线，就自己劈丝，而不是找一些相似颜色的线代替，真的非常敬佩up。(平常不怎么会表达，还是不很夸，望见谅）,2021-04-05 13:49:08,4,评论
感谢码字[拥抱]能得到大家的认可就不算白费功夫,2021-04-05 13:51:32,6,回复
好家伙，上次月考地理刚好有个大题是关于缂丝的，最后的关于它今后的传承和发展我就提到了朝向流行文化方向。[笑哭],2021-04-05 10:57:25,5,评论
给你加两分[大笑],2021-04-05 11:06:56,6,回复
我感觉可以往高定品牌走？就像LV的制革师傅，还有那些钉珠师傅一样。感觉也只有这样才能时间成本和回报是正增长了,2021-04-06 21:19:11,6,回复
回复 @镜像生命序列 :可是中国的时尚品牌少，中国高定设计师更少。,2021-04-08 12:53:21,5,回复
怎么说这个制作工艺用文字蛮难解释的，推个视频把BV13s411m7J3 拉到八分四十秒看 有很直接的视频 一看就懂，讲通经断纬解释的很清楚，好奇的可以看看。 我还是想看up主抽时间再给大家做一个清晰点的，能更了解这门手艺。,2021-04-07 01:33:31,5,评论
大家快来看看啊[打call],2021-04-07 07:48:24,6,回复
av2659918 加个方便记忆的av号 av  2659918,2021-04-08 15:15:57,6,回复
去看了，我靠，光看着就觉得颈椎疼（不是）up牛批！！,2021-04-10 21:02:58,6,回复
已经是世界文化遗产了，嗯嗯不怕韩国🇰🇷棒子偷过去视频剪切变成自己的了[妙啊],2021-04-06 13:47:20,6,评论
我也这么想，但缂丝连我们自己人知道的都很少，所以还是打个物理码以防万一[tv_doge],2021-04-06 13:52:31,6,回复
那可不一定中国已经早就申遗的榫卯技术，后来韩国换个名字还不是照样申遗了，非遗组织本来就是个有问题的组织。,2021-04-08 14:31:30,5,回复
回复 @渝川Patty :这样的物理码也会被偷国的人放大画面切割了去[酸了],2021-04-06 18:35:41,6,回复
刚开始，就这？我也可以，后来……这这这，这啥？？？？就离谱,2021-04-05 06:57:02,5,评论
我学这门手艺之前，也是这么个心路历程[tv_流泪],2021-04-05 08:12:28,6,回复
回复 @渝川Patty :哈哈哈哈哈哈哈哈,2021-04-05 20:35:32,5,回复
偷国：下一个就是你了！缫丝[阴险],2021-04-04 23:05:32,5,评论
这次可能不是偷国，是霓虹国👀,2021-04-05 13:11:17,4,回复
xdm原谅我看错字了[doge],2021-04-28 20:02:19,5,回复
这个……蚕茧抽丝？,2021-04-28 18:10:53,6,回复
对不起，打扰一下，UP打上🇨🇳水印吧，别被韩国人消音配韩语盗传外网。不想大大在外网变成韩国人。最近几个月韩国在大批盗我国的传统文化视频、图片，抹掉水印和背景音后重新配上韩语当成自己国家传统文化的视频发到网上。如果大大也传油管的话更要注意。而且这些人背后有财阀支持，专门有人去水印，可能加动态水印会比较好一点，最好用带🇨🇳实物的水印。,2021-04-05 14:29:47,5,评论
有个小国旗镇场子[吃瓜],2021-04-05 15:02:59,6,回复
00：38 左下角开始有 中國01：00 有一个心形的 🇨🇳,2021-04-05 17:26:40,5,回复
回复 @江月儿弯 :它们会截掉,2021-04-05 18:18:01,5,回复
凭什么说喜欢二次元的孩子没有能力传承和发扬传统文化呢？up真的棒！,2021-04-05 15:50:47,6,评论
三连了，加油！小国旗是防偷国人吗[脱单doge]i了,2021-04-04 15:26:12,5,评论
哎，我觉得还是挺影响观感的[无语]没办法,2021-04-04 15:47:31,6,回复
回复 @渝川Patty :还好 有水印更安心点哈哈哈哈哈哈,2021-04-05 10:22:08,6,回复
回复 @渝川Patty :没有影响观感啦，现在我一看到和咱们传统工艺有关的视频就心肌梗塞，生怕没放水印，还有up太强了！[鼓掌],2021-04-05 11:51:38,5,回复
我也学过缂丝（很初步的学习），当时社团所有人都静心完成自己的作品时真的很有梦回古时的感觉，可惜就是家里放不下机器，所以之后再也没有练过了,2021-04-07 17:40:55,4,评论
我也打不好边[大哭]老师说没办法，该会的你都会了，剩下的只能慢慢练,2021-04-07 20:20:07,6,回复
一但弄错一根线要改就挺麻烦的，而且我总是太用力，把边那边弄得很皱,2021-04-07 17:42:30,4,回复
缂 ke四声,2021-04-04 21:51:48,4,评论
感谢科普[给心心],2021-04-04 22:58:20,6,回复
？？感觉看了五分钟施法[笑哭]，太奇妙了,2021-04-05 14:53:12,5,评论
魔法少女川川子[tv_可爱]（懂原理就很简单，只是繁琐）,2021-04-05 15:37:10,6,回复
希望以后能稍微科普介绍一下这项工艺,2021-04-05 03:42:30,5,评论
以后会慢慢介绍的[给心心]不过缂丝制作非常难，出视频会很慢，可以先关注上,2021-04-05 08:08:54,6,回复
回复 @子书丶小墨 :因为会的人很少了[给心心]我会努力让更多人知道它的,2021-04-05 12:50:08,6,回复
回复 @渝川Patty :[笑哭]我只在博物馆看到过这项工艺的作品,2021-04-05 12:46:20,5,回复
😄传统文化需要注入一些新鲜血液。,2021-04-05 14:55:28,5,评论
看完视频究竟是什么做的我都没搞懂。。。羞愧,2021-04-06 15:03:35,5,评论
完全没看懂吗[大哭],2021-04-06 15:23:06,6,回复
好棒哦，平时注意保养眼睛哦，我之前刺绣还有做缠花，，第三天眼睛巨痛，再也不敢做很久了，感谢up给我们展示如此精妙的技艺[鼓掌][热词系列_神仙UP],2021-04-23 00:05:40,5,评论
好强哦，能学缂丝真的很不错[打call]希望up能坚持下去,2021-04-05 16:50:07,5,评论
来晚了！还有加油啦,2021-04-06 10:42:30,5,评论
[给心心],2021-04-06 11:00:31,6,回复
三联了 朋友圈过来的[doge][OK][打call],2021-04-05 17:42:18,4,评论
还是首页大框，很难不支持[呲牙],2021-04-05 14:20:46,6,评论
本子也没整一西阵织的，让他们[酸了]去吧,2021-04-05 08:56:56,5,评论
啥意思，西阵织和缂丝工艺有什么渊源关系吗,2021-04-27 18:57:36,4,回复
[脱单doge]这也算中日文化交流了吧,2021-04-05 09:02:07,6,回复
乖乖 虽然对鬼灭没什么情感，但这非遗技术这耐心这手工这国旗。绝！好活！,2021-04-12 06:32:26,6,评论
我感觉我来弄的话需要耗时150年。[无语],2021-04-06 04:26:41,5,评论
我的妈，总之就是我的妈,2021-04-06 03:21:29,6,评论
虽然看不懂  但是好厉害的样子[热词系列_知识增加],2021-04-05 23:23:51,5,评论
太牛了，有个问题希望能为我解惑，就是背面线头直接剪掉不会散吗？超好奇的,2021-04-05 10:12:10,6,评论
不会呀，经线和纬线相互交叉绞在一起的，你想想编织袋和我们衣服的布料[吃瓜]真的会散我也不敢剪咯,2021-04-05 10:25:39,6,回复
回复 @渝川Patty :[OK],2021-04-05 11:43:35,6,回复
刚开始，就这？我也可以，后来……这这这，这啥？？？？就离谱,2021-04-05 06:57:02,5,评论
我学这门手艺之前，也是这么个心路历程[tv_流泪],2021-04-05 08:12:28,6,回复
回复 @渝川Patty :哈哈哈哈哈哈哈哈,2021-04-05 20:35:32,5,回复
up真的太棒啦！首页通知书给你[给心心][给心心][给心心],2021-04-05 04:21:47,5,评论
感谢～[给心心],2021-04-05 08:09:11,6,回复
偷国：下一个就是你了！缫丝[阴险],2021-04-04 23:05:32,5,评论
这次可能不是偷国，是霓虹国👀,2021-04-05 13:11:17,4,回复
xdm原谅我看错字了[doge],2021-04-28 20:02:19,5,回复
这个……蚕茧抽丝？,2021-04-28 18:10:53,6,回复
真的挺好的，历史文化遗产就该亲近生活（即使是一种兴趣也好），如果一个文化离日常生活太远了早晚变成书里的一句话。,2021-04-28 19:16:48,6,评论
原本6个银币要改名字的，但是up太厉害了，把我硬币抢走了。。。！！！,2021-04-05 11:41:00,5,评论
再等两天改名字[给心心],2021-04-05 12:11:52,6,回复
看看我发现了什么，缂丝欸，还是活的up主，激动[打call][打call] ，毕竟我是只是从书上听过，听说我的故乡是缂丝的发源地，还有点小骄傲，坐标定州[嗑瓜子][嗑瓜子],2021-04-26 10:21:47,5,评论
up辛苦啦,2021-04-06 11:29:34,5,评论
首页来的[牛年][牛年][牛年],2021-04-05 23:34:00,5,评论
首页通知书[打call],2021-04-05 23:22:25,6,评论
来给妹妹素质三连了~[doge][锦鲤],2021-04-05 22:32:05,4,评论
[给心心],2021-04-05 22:34:06,6,回复
首页通知书[doge],2021-04-05 22:30:15,5,评论
我来扎起！,2021-04-05 22:19:56,5,评论
头像苏苏鬼畜好评[脱单doge],2021-04-05 22:34:31,6,回复
缂丝绝了,2021-04-05 21:22:32,5,评论
首页通知书啊啊啊啊啊啊,2021-04-05 21:21:14,5,评论
哎呀不行了，好激动好开心，川川子是最吼的[打call],2021-04-05 15:47:33,5,评论
首页先看成造螺丝螺栓……,2021-04-05 14:50:13,5,评论
三连了,2021-04-05 14:31:27,5,评论
up太强了！爱心的徽章好有心！,2021-09-25 18:47:11,5,评论
[笑哭]好奢侈,2021-06-12 20:22:16,5,评论
我还是很痛心的，优秀的传统文化继承者太少了，自己又没有这个实力[难过],2021-04-25 01:03:43,5,评论
如果本国动漫也能发展起来就好了，就不用靠别国动漫传播了唉,2021-05-01 11:49:02,5,回复
每个人都是民族文化的小载体，只是功能不一样而已：）,2021-04-25 07:43:40,6,回复
好绝的手艺，我也想要回复！,2021-04-19 21:57:36,3,评论
[给心心]满足你,2021-04-19 22:40:56,6,回复
我喜欢上了，感觉会很有意思[给心心],2021-04-19 02:08:56,5,评论
其实可以试试开个淘宝店，弘扬文化的同时也可以增加收入。虽然我可能买不起[歪嘴],2021-04-12 17:20:29,5,评论
up主衣服有链接没,2021-04-11 22:35:55,3,评论
大哥那件？是gu出的联名款，现在大概没有了,2021-04-11 23:10:39,6,回复
好好厉害[星星眼][星星眼][打call][打call],2021-04-11 02:02:43,4,评论
我只看到了大佬在施魔法，就很佩服这种有耐心的人,2021-04-10 14:52:41,5,评论
我用笔画也画不好，到现在还把不准型,2021-04-10 13:10:27,5,评论
传统手艺必须要支持下[OK],2021-04-10 08:56:10,5,评论
来送首页通知书！！！！[脱单doge]up太强了！[打call],2021-04-09 00:21:11,5,评论
Up好帮，超级想学的[鼓掌],2021-04-08 17:52:40,5,评论
我没文化，我直接说：牛逼！！！！,2021-04-08 12:56:24,6,评论
鬼灭里面的花纹都是非常经典的，我都截下来了[doge],2021-04-08 00:12:05,4,评论
霓虹印刷厂：还好鳄鱼用的都是经典纹，不然版权费老高了[doge],2021-04-08 00:18:43,6,回复
第一次见投币比收藏多系列！up厉害！,2021-04-07 23:46:18,4,评论
首页过来的，刚开始点进来之前以为是刺绣，没想到是看了评论才知道居然是缂丝，不得不说up主真的特别有耐心！！！[热词系列_三连]表示支持,2021-04-07 23:38:34,5,评论
[妙啊][妙啊][妙啊]建议投去油管，让外国人看看我们的非遗有多厉害,2021-04-07 18:55:58,6,评论
这个工艺我知道，延禧攻略里面每个妃子的扇子都是照着清朝的画像，用这个工艺定做的，据说拍戏用完之后扇子都送去博物馆了,2021-04-07 17:33:09,5,评论
快抽奖，不然我跪下来求[doge],2021-04-07 12:09:14,4,评论
我读大学的时候上过这类似课程，不过我们是不剪线的，线藏后面那种,2021-04-06 15:28:38,3,评论
嘶，我妈昨天刷到了相关的视频今天我就被首页推了，点进来一看好。好。好牛逼（震惊），up好厉害好细心（泪目）三连了，加油哇,2021-04-06 13:32:32,5,评论
感谢支持[给心心],2021-04-06 13:41:08,6,回复
小小三连，不成敬意[打call][打call],2021-04-05 11:56:58,5,评论
感谢[打call],2021-04-05 12:10:49,6,回复
up好厉害嗷嗷嗷嗷嗷嗷！！！快给我火！！！！！,2021-04-05 11:35:23,5,评论
[给心心],2021-04-05 12:12:27,6,回复
首页通知书！！,2021-04-05 11:03:40,5,评论
不错不错,2021-04-05 08:40:55,3,评论
[给心心],2021-04-05 08:56:04,6,回复
太厉害了！！！！[打call][热词系列_妙啊][热词系列_吹爆][热词系列_三连],2021-04-05 07:55:27,5,评论
谢谢[给心心],2021-04-05 08:09:22,6,回复
Up有淘宝店吗？[星星眼],2021-04-05 07:06:37,6,评论
暂时没有呢[给心心]可以先关注上我，微博 渝川今天也要开开心心,2021-04-05 08:11:17,6,回复
UP好棒，继续加油！,2021-04-03 22:14:04,4,评论
感谢支持～[给心心],2021-04-04 00:18:08,6,回复
牛逼,2021-12-05 20:06:44,4,评论
卧槽，up加油,2021-12-05 19:58:54,4,评论
炭治郎的头发是戗色的么?,2021-11-27 05:43:22,5,评论
不是哦，是两种不同颜色的线拼在一起做的，可以看看我最近发的一个总结缂丝常见技法的视频（努力卖安利[脱单doge],2021-11-27 09:37:45,6,回复
缂丝这辈子我估计都学不会了欣赏下还是可以的[星星眼][给心心][给心心],2021-10-24 13:51:13,4,评论
普普通通，粗粗糙糙的缂丝工艺，有手就行，[酸了]可惜我没有手，我四只脚[酸了],2021-07-22 23:52:58,5,评论
这？,2021-07-22 20:28:51,6,评论
就是人能做出来的东西。,2021-07-22 11:18:40,3,评论
本人刚看完剧场版，为什么看到兄妹两和炼狱杏寿郎放在一起的瞬间就很想哭？,2021-07-05 21:42:31,5,评论
我本来都快忘了[tv_流泪]你又来提醒我,2021-07-06 09:55:20,6,回复
脚下调整的是什么？不太明白,2021-06-01 13:12:46,5,评论
经面,2021-06-01 13:25:27,6,回复
UP，可以问一下材料和工具的购买链接吗？这个我想学[星星眼],2021-05-31 15:52:53,5,评论
回复 @テツちゃん :嗯，是去苏州求的学，出师用了两年,2021-06-01 16:02:14,6,回复
回复 @渝川Patty :up是去线下学的吗,2021-06-01 15:56:04,5,回复
回复 @渝川Patty :好哒！,2021-06-01 15:55:43,5,回复
三连支持,2021-05-30 17:19:03,6,评论
呜呜姐姐太棒了！！！！,2021-05-28 18:35:25,3,评论
[热词系列_妙啊],2021-05-17 19:08:53,6,评论
好厉害,2021-05-09 16:00:33,4,评论
