评论内容,评论时间,评论人等级,评论类型
这个手也太稳了叭！！！！！！太厉害了！！！！！,2020-04-14 12:56:50,5,评论
🙏🙏🙏🙏,2020-04-14 14:24:51,4,回复
首页通知,2020-04-15 14:47:33,4,回复
手哪里买？,2020-04-22 15:14:39,5,回复
没想到当年看妈妈做的东西，居然是非物质文化遗产，我惊了[星星眼],2020-04-15 22:26:55,6,评论
[笑][笑],2020-04-15 22:30:46,4,回复
我上大学的时候干兼职就做过这个。,2020-04-16 20:20:04,5,回复
回复 @掐丝珐琅唐卡 :哈哈哈 up发出了和善的眼神,2020-04-17 22:37:03,5,回复
眼：看着可真简单，不就照着来吗。脑子：附议，有材料就行。手：你们两个消停会行不[翻白眼],2020-04-17 16:05:39,5,评论
哈哈  手:你俩行你俩来,2020-04-17 16:17:21,4,回复
手：你俩会个p[微笑],2020-04-22 09:05:22,5,回复
脑子:我觉得不难，还行，能做手:不要你觉得我要我觉得，我觉得不行，下一个,2020-05-07 02:54:21,5,回复
这么丝滑的嘛,2020-04-14 19:20:00,5,评论
必须的,2020-04-14 19:20:48,4,回复
我小时候想赚钱，我妈就找来这个东西让我做[笑哭],2020-04-16 13:47:41,5,评论
[喜极而泣][喜极而泣][喜极而泣],2020-04-16 14:01:02,4,回复
那个丝，很容易被手压扁[囧]。。。因为我以前做过，还挣了点零花钱，当时做的唐卡，简直要崩溃[囧],2020-04-24 22:40:46,5,评论
[鸡腿][鸡腿],2020-04-24 22:46:41,4,回复
加油[打call],2020-04-12 20:32:32,5,评论
[鸡腿][鸡腿][鸡腿],2020-04-12 20:47:53,4,回复
好厉害!想看成品[热词系列_吹爆],2020-04-15 11:31:29,5,评论
[爱心][爱心][爱心],2020-04-15 11:41:00,4,回复
问题来了：古代用什么胶水,2020-04-15 22:44:31,5,评论
白芨,2020-04-15 22:57:09,4,回复
古人真厉害,2020-04-15 23:04:43,5,回复
回复 @掐丝珐琅唐卡 :是一种草草，绿色的叶子，细长细长的，我们那里有好多,2020-05-22 16:44:19,5,回复
才知道还有掐丝这种手艺，坚持下去吧,2020-04-17 00:24:18,5,评论
[抱拳][抱拳],2020-04-17 00:33:28,4,回复
好像真的有手工兼职会让做，但不是这么复杂的图案，我之前看家里人做过。,2020-04-24 21:50:06,4,评论
那个兼职百分之九十五以上都是骗人的,2020-04-24 22:15:52,4,回复
回复 @掐丝珐琅唐卡 :骗人倒是没有，我家里人那个是一个手工店给的单子，他们做好一个给手工费20块钱起步，买的时候一百多起卖。,2020-04-25 11:30:56,4,回复
这个丝很软吗，怎么这么丝滑，弯起来这么顺溜,2020-04-18 23:13:50,5,评论
时间是最好的老师,2020-04-18 23:51:05,4,回复
这个是镀了金色的铝丝，比较软，手工不好的人绝对不要去碰这东西，拿这个坑钱的也挺多的,2020-05-17 15:44:22,5,回复
回复 @逍遥魂R :[吓][OK],2020-05-17 17:25:04,5,回复
[鼓掌]我觉得可以跟进时代发展做现代流行的图案，不必全部变通传统的样式还留着但是多些现代的。再加一句我想学[妙啊],2020-04-20 00:44:28,5,评论
可以啊  教学员,2020-04-20 08:01:21,4,回复
请问在哪学呢？我也好想学,2020-05-12 01:30:35,4,回复
我做不了，眼睛不好加上没有耐心[笑哭],2020-04-18 22:46:42,6,评论
[喜极而泣][喜极而泣],2020-04-18 22:50:03,4,回复
[妙啊]居然能看到这个，厉害,2020-04-16 01:06:00,6,评论
[抱拳][抱拳][抱拳],2020-04-16 08:45:22,4,回复
可以用手机直播制作，边做边介绍点什么，怕工作分心的话，可以不用理会弹幕。,2020-04-16 11:40:46,6,评论
抽时间直播和大家聊天,2020-04-16 12:22:28,4,回复
太厉害了 这太需要耐心了,2020-04-15 22:04:18,5,评论
[抱拳][抱拳][抱拳],2020-04-15 22:04:40,4,回复
我之前在兴趣班做过掐丝珐琅沙画，做了近8个小时，成品出来的时候真的超级好看。就是原料太贵，不然真的想当成爱好[热词系列_害],2020-04-30 22:34:49,5,评论
可以买便宜的,2020-04-30 22:37:57,4,回复
这是什么胶水怎么好用？,2020-04-26 13:29:01,6,评论
掐丝胶,2020-04-26 13:37:02,4,回复
到底为什么！！！我把头沾板子上后想弯线线头就跑了！！为什么！！我整不明白,2021-11-11 01:17:25,6,回复
关注店铺了期待工具包！！！,2020-04-19 18:53:31,5,评论
这几天就给大家配,2020-04-19 21:33:25,4,回复
首页通知！！！非遗支持！！！,2020-04-19 17:43:16,4,评论
[爱心][爱心][爱心],2020-04-19 17:43:35,4,回复
为什么别人的铜丝都这么听话，为什么我的铜丝都有自己的想法……,2020-04-17 22:35:47,5,评论
时间是最好的老师,2020-04-17 22:41:47,4,回复
上学的时候傻，听了同学的去学这个，150块学费，基本没教什么东西，然后一幅回收200左右的画你材料费大概要支出50左右吧（x宝25能包邮），但是99%以上的人根本做不到他要求的程度，所以么……奉劝想拿这个赚钱的省省吧,2020-05-17 15:47:45,5,评论
没错   眼见不一定为实  达到要求就更难了   不过你说的那种25包邮的材料  拿到手  你可能会哭  颜色放水里水都变色,2020-05-17 18:56:38,4,回复
想问一下，这个胶一开始就全部挤出来，到后面它不会变干吗？还是说最后那里是需要有个灯照一下，然后才会完全凝固的？,2020-04-25 00:39:40,5,评论
回复 @芒种Margriet :[喜极而泣][喜极而泣][喜极而泣],2020-04-25 21:49:14,4,回复
回复 @掐丝珐琅唐卡 :我说的就是这个意思啦  算了 我已经懂了,2020-04-25 21:44:15,5,回复
回复 @芒种Margriet :我说的是我视频里没出现全部涂上胶再掐丝情况  我是涂一部分做一部分,2020-04-25 21:41:05,4,回复
首页通知书[鸡腿][鸡腿][热词系列_知识增加],2020-04-15 23:17:38,5,评论
[鸡腿][鸡腿][鸡腿][鸡腿],2020-04-15 23:19:12,4,回复
我们美术考试就是这个[OK]，学期头一个月就开始考试，考到期末，最后还要倒彩砂,2020-05-18 00:19:58,5,评论
那是因为没有早遇见我,2020-05-18 00:29:50,4,回复
剪线的那个东西是哪个钳呀？剪刀真不好用，想买个顺手的钳子。,2020-10-04 09:04:23,4,评论
求bgm,2020-05-25 01:29:32,5,评论
彩云之南,2021-10-16 21:40:08,4,回复
哈哈哈哈小学综合实践有弄过这个(°∀°)ﾉ,2020-05-23 11:50:18,5,评论
学不会学不会（我的眼睛和手对不到一块去/实名羡慕）,2020-05-17 19:00:50,4,评论
回复 @毕柠泽 :哈哈   可能笔有自己的思想,2020-05-17 19:28:47,4,回复
回复 @掐丝珐琅唐卡 :真的就是手按着，眼睛看着图，对着调节，最后就描歪了/碎碎念,2020-05-17 19:27:21,4,回复
[喜极而泣][喜极而泣][喜极而泣],2020-05-17 19:07:59,4,回复
最近正在做这个作业，要瞎掉了[大哭],2020-05-17 14:49:56,5,评论
加油,2020-05-17 18:56:42,4,回复
真的有这么丝滑吗,2020-05-17 13:23:31,5,评论
我做过，先交200，然后给东西让你反复跑，做好了也不收，不是这里有问题就是那里有问题，最后自己耐心耗尽，不做了,2020-05-16 22:32:39,4,评论
有可能是骗人  也有可能做的真的不达标  只有两个解释[喜极而泣][喜极而泣],2020-05-16 23:20:13,4,回复
这丝也太听话了吧,2020-05-15 11:45:27,6,评论
[害羞][害羞][害羞],2020-05-15 11:59:15,4,回复
这是金的吗？,2020-05-13 21:56:50,5,评论
镀金,2020-05-14 00:02:48,4,回复
BGM是谭维维的声音？,2020-05-10 09:21:34,6,评论
我们应该拥有格物致知的精神[tv_doge][tv_doge][tv_doge],2020-05-09 23:39:50,4,评论
[喜极而泣][喜极而泣][喜极而泣],2020-05-10 06:32:47,4,回复
我还记得当时社会实践的时候我掐那个丝没累死我，很考验耐心。,2020-05-05 21:32:43,4,评论
是的  新手接触起来会感觉比较困难,2020-05-05 22:48:21,4,回复
好眼熟！上学时，我做过一个兼职就是做这个艺术品，天天粘[笑哭],2020-05-05 10:31:10,5,评论
好像粘完还要添颜料，哈哈。都忘了,2020-05-05 10:36:55,5,回复
我的关注点跑偏了，觉得最后小锤子轻轻敲的声音好好听呀[吃瓜],2020-05-02 09:17:07,5,评论
[喜极而泣][喜极而泣][喜极而泣],2020-05-02 09:30:53,4,回复
不是，为什么不直接弄好了再涂胶一下粘上去。。,2020-05-01 23:43:43,4,评论
因为那都是傻子干的活,2020-05-02 08:02:19,4,回复
[星星眼][星星眼][星星眼],2020-05-01 23:44:51,4,评论
[鸡腿][鸡腿][鸡腿],2020-05-02 08:02:25,4,回复
好想学啊，希望以后能学好多中国的非物质文化遗产，一代一代传承下去，先人的智慧结晶真的不能丢啊啊啊,2020-04-29 23:46:07,5,评论
可以先尝试体验一下diy材料包  感兴趣或者以后想要从事这个行业再考虑学手艺  搜淘宝店铺  玩艺手作  有材料包,2020-04-29 23:48:01,4,回复
我亿会就能做出来了[doge],2020-04-29 12:41:43,5,评论
我们学校去年有做过(/ω＼)我稍微搭把手，不过我们没有那么好的工具以及都是第一次做所以做起来有点费劲，（而且老师教的也不行）最后还不错拿了省比赛二等奖（我只是帮忙所以没有什么奖励）,2020-04-29 11:44:36,5,评论
我妈妈以前做过这个兼职，挺费眼睛的不好做，钱还不多，可以拿家里做，按难易程度定价,2020-04-27 14:15:28,5,评论
感觉好棒！！感谢你们守住这些非遗！,2020-04-25 22:24:15,5,评论
[鸡腿][鸡腿][鸡腿],2020-04-25 22:27:50,4,回复
求问这是什么胶啊,2021-10-31 20:47:04,4,评论
哪里可以学,2021-10-16 21:39:51,4,评论
我教学员,2021-10-17 12:42:51,4,回复
以前用彩色的线，粘过画,2021-10-16 21:36:45,4,评论
啊，我掐怎么就掐不住,2021-09-04 21:40:02,4,评论
话说这个胶水那么粘的吗？丝放上去就粘住了，还能扭形状？,2021-07-17 13:17:51,6,评论
