评论内容,评论时间,评论人等级,评论类型
[辣眼睛]你们这样让苏苏很慌……现在的手工区都太恐怖了……B站要不要考虑出一个手工分区，把这些宝藏up主都揪在一起（？）[藏狐],2021-08-20 15:12:32,4,评论
传下去，苏州博物馆要抓人,2021-08-29 03:36:05,6,回复
传下去，苏州博物馆要把手工宝藏up们都揪一起一口吃了,2021-09-03 18:35:10,5,回复
传下去，苏州博物馆一口吃了好几个up主,2021-09-03 22:06:53,4,回复
想雁鸿和才浅来次文物复刻/修复的联动,2021-08-19 22:07:54,5,评论
一起来做个青铜树[doge][doge][doge],2021-08-20 01:56:29,5,回复
回复 @安脚拉的男胖友 :真的b站还有很多有才华的up应该多多联动不要被埋没了。,2021-08-19 22:16:45,5,回复
来个青铜树,2021-08-20 22:12:27,4,回复
可怕，现在手工艺区已经进化成文物制造区了吗[藏狐],2021-08-19 22:04:09,5,评论
文物复刻和周边生产[doge],2021-08-20 01:27:32,5,回复
我买不起啊，假的都买不起,2021-08-21 00:08:58,4,回复
这种进化不是好事嘛[嘟嘟]古时的文物就是当时的手工艺人造的嘛,2021-12-31 10:00:03,4,回复
云鬓花颜金步摇，芙蓉帐暖度春宵,2021-08-20 23:08:09,6,评论
可算找到了[OK],2021-08-21 22:01:46,5,回复
刚想发就看见你这个了[藏狐][藏狐],2021-08-21 23:49:13,5,回复
你们是在背书吧[脱单doge],2021-09-04 12:59:02,5,回复
花丝镶嵌，简称：花嵌，又叫细金工艺，是一门传承久远的中国传统手工技艺，主要用于皇家饰品的制作。为“花丝”和“镶嵌”两种制作技艺的结合。花丝选用金、银、铜为原料，采用掐、填、攒、焊、编织、堆垒等传统技法。镶嵌以挫、锼、捶、闷、打、崩、挤 、镶等技法，将金属片做成托和瓜子型凹槽，再镶以珍珠、宝石。花丝镶嵌工艺起源于春秋战国金银错工艺，在明代中晚期达到高超的艺术水平，尤以编织、堆垒技法见长，而且还常用点翠工艺，取得金碧辉煌的效果。,2021-08-19 22:06:58,5,评论
你是早有准备了？,2021-08-19 22:08:35,6,回复
有bear来？[藏狐],2021-08-19 22:13:55,4,回复
UP可以考虑一下李静训的闹蛾扑花冠吗？,2021-08-19 22:24:30,4,评论
+1 虽然tb已经有很好看的闹蛾配件了 但还是想看up有没有其他的制作方式 [脱单doge],2021-08-19 22:38:35,5,回复
up觉得很赞,2021-08-22 11:03:42,5,回复
我在群里一个小姐姐前两天就做了这个[doge],2021-09-03 22:21:46,5,回复
我本来以为这个树枝状的造型很空荡，但是梳上发髻居然这么好看！三联了！up主加油呀！[热词系列_三连],2021-08-19 22:07:37,4,评论
