评论内容,评论时间,评论人等级,评论类型
我虽然不是潮汕人，但是真心觉得潮汕的文化真的传承的很好！希望一直流传下去。  是为中华传统文化传承之表率！ “物华天宝生紫气，人杰地灵凝祥云。”愿我中华千秋万代常青永茂，盛世昌兴国泰民安[抱拳][抱拳],2022-02-04 08:38:06,5,评论
可惜到了知乎某些人口中就成了封建迷信,2022-02-05 18:32:08,5,回复
回复 @小麦啊w :[辣眼睛]把名字改成是日本的，肯定能被那群东西吹爆，它们会这是说文化传承,2022-02-06 18:35:41,4,回复
迎老爷真的很能增添新春气氛,2022-02-04 19:01:18,3,评论
因为疫情我们这边两年没迎了，不过戏剧还会做,2022-02-05 00:01:46,5,回复
回复 @这名真好取 :我们也是 今年又没有 三年了,2022-02-05 01:08:31,5,回复
回复 @这名真好取 :今年算 三年了啊啊啊啊,2022-02-05 13:38:19,6,回复
因为疫情好几年没看到了[大哭][大哭],2022-02-03 11:24:39,5,评论
[笑哭]我从小到大在深圳长大，只听过没见过,2022-02-03 22:29:56,6,回复
除夕还没元宵热闹呢,2022-02-07 20:11:17,2,回复
好可惜，我以前因为小，就参加了一次，现在大了，又被疫情影响了，真的可惜，很多需要聚集的活动都没了，我真的:病毒，哇扑领姨个臭老鸡,2022-02-19 12:19:13,5,回复
新年没了这个感觉都好无聊啊没有过节的感觉了[呆],2022-02-04 13:12:48,4,评论
真实,2022-02-09 15:34:56,4,回复
我们依然有哈哈哈哈,2022-02-18 09:27:29,2,回复
好可惜，我以前因为小，就参加了一次，现在大了，又被疫情影响了，真的可惜，很多需要聚集的活动都没了，我真的:病毒，哇扑领姨个臭老鸡,2022-02-19 12:19:24,5,回复
潮汕人路过，一键三连支持下，感觉就是镜头太快了，还没怎么看清楚就换下个部分了。,2022-02-02 09:31:47,5,评论
下次导出一条时间长了的介绍一下非遗,2022-02-02 12:15:21,3,回复
我们这边刚刚恢复拜公，以前都不稀罕去，今年第一次跟着奶奶去，拜了好几个公，看到好多阿婆挤在寺里，上祭品点烛烧香下跪求平安和来年风调雨顺，好虔诚，我不觉得愚蠢却觉得好感动，潮汕人民最朴素的情感,2022-02-06 19:03:29,4,评论
为什么要强调“不觉得愚蠢”？,2022-02-13 03:38:45,5,回复
真的，以前觉得是封建但是现在长大了，觉得是一种文化信仰我们那年前是要拜神的，大早上被我妈拉着过去。那种景象就跟你描述的一样，真正的被触动到了。我听到一个阿姨说，要带儿子和儿媳妇来，说到老了之后不至于没有人来教他们。,2022-02-18 23:55:46,5,回复
回复 @小葵晴天磕瓜子 :可以看看一个潮汕短视频《番客》，或许更能明白是为了什么,2022-02-19 12:34:48,5,回复
我刚刚看到一句弹幕“封建迷信，我这样认为的”，我是潮汕人，我想说，每个地区的风俗不一样，你不能一张嘴就否认别人的风俗习性，难道你家不拜神，不祭祀吗。。。别老是你认为你认为的就是你认为的，小屁毛孩一个，尊重一下别人的风俗，可？,2022-02-19 21:45:45,5,评论
大部分外省人还真的不拜神不祭祖噢[doge]在深圳清明节没见过外省人回去祭祖。中秋我们拜月娘还会被围观（店门口）。,2022-03-01 23:05:53,6,回复
如果能配迎老爷的潮汕大锣鼓就好了，不过up做的很棒了，赞👍！,2022-02-03 16:42:29,5,评论
[热词系列_DNA],2022-02-20 15:34:35,4,回复
希望2022年风调雨顺国泰民安 然后再见风俗传统 个个顺顺妮,2022-02-03 01:04:02,6,评论
可恶的疫情，还我营老爷[难过],2022-02-03 22:57:05,4,评论
好可惜，我以前因为小，就参加了一次，现在大了，又被疫情影响了，真的可惜，很多需要聚集的活动都没了，我真的:病毒，哇扑领姨个臭老鸡,2022-02-19 12:20:16,5,回复
回复 @老羊吃老萝卜 :我们村本来就小，劳热都得去亲戚家，现在连没营老爷也没了[难过],2022-02-19 12:35:35,4,回复
"潮汕的这些民俗都是古时候传下来的，都是古礼古乐，特别是潮汕的古乐，都是古代宫廷音乐（潮剧里面的插曲），推荐大家去听，还有欢迎大家没疫情的时候来潮汕看""营老爷""。[给心心]",2022-02-22 20:49:03,5,评论
建议后续可以画潮州大锣鼓队的，需要我可以提供图片之类的,2022-02-10 11:30:38,4,评论
本人是濠江区潮州大锣鼓协会的,2022-02-10 11:31:03,4,回复
好啊，加个好友吧,2022-02-10 11:39:01,3,回复
哈哈哈，以前同学去举旗我就跟着，老热闹了,2022-02-03 14:12:44,4,评论
我在后面跟队，因为太小了[喜极而泣]现在因为疫情3年没有了，3年，你知道这3年我是怎么过来的吗[大哭],2022-02-19 12:24:04,5,回复
回复 @老羊吃老萝卜 :加一！,2022-02-19 13:43:09,4,回复
配乐来点大锣鼓住如去,2022-02-03 02:10:42,5,评论
感觉锣鼓配乐更好点吧。小小意见。专场快了一点点。。。,2022-02-02 22:55:19,5,评论
有个细节可以注意一下，不是每个神明都是四个人抬的。,2022-02-03 15:39:43,5,评论
确实，我们这里新婚就可以去抬老爷，很多人,2022-02-17 20:16:38,4,回复
回复 @咕噜的包包子 :为了生男孩[doge][doge][doge],2022-02-17 21:11:01,5,回复
底座重的需要八个人抬,2022-02-18 13:24:57,2,回复
普宁热心市民在此！[doge],2022-02-05 04:03:42,4,评论
个人感觉是是迎老爷，不是营老爷，感觉是汕头台搞错了，大家都将错就错了,2022-02-04 17:19:18,5,评论
借楼科普，平时我们所说的胶己人实际上应该写作家己人(家是多音字)，鲁好/吕好实际上应该是汝好，我们平时所写的潮汕话其实混入了很多错别字而不是正字_(:з」∠)_,2022-02-07 07:10:30,5,回复
要寫正字阿，我在國外學文學，伊儂攏道要保存家己亓文化，重要亓就是正確其語言寫法，要寫正字，如果無，都寫唔正確亓，恁其文化就會邊緣化,2022-02-07 18:09:04,6,回复
回复 @鸣蜩梦 :潮汕话很多都是文言文吧。如“粥”会用“糜”，“吃饭了吗？”会用“用未？”等等。所以潮汕人初高中学习文言文有着天然的优势[笑哭],2022-02-09 22:26:47,5,回复
居然是自己画的，太牛了[热词系列_吹爆]这种画风真的让我以为是什么古画上的，很还原!,2022-02-20 12:27:41,5,评论
[藏狐]乡里不给办迎老爷，市区却可以搞花灯节，小时候还想着大学了就能在家过劳热了结果大学就闹疫情不给办了,2022-02-19 20:58:29,6,评论
乡里人自己迎老爷，不行🙅花灯外地人聚集，行！🤣,2022-02-19 23:46:36,5,回复
请问这个视频的出处是哪里啊？,2022-02-06 23:16:45,2,评论
我自己画出来做成动画呀,2022-02-08 00:13:00,3,回复
回复 @洪英财 :自己画的？好强[支持][支持],2022-02-18 12:16:19,5,回复
自从出去工作就没机会看了[难过],2022-02-04 12:51:24,6,评论
游神队伍少了一员猛将[doge],2022-02-04 12:54:34,3,回复
回复 @洪英财 :村里在老社会时期，因为游神经常打架。正月十五的游神直接改成了看新娘[笑哭]哪家近3年娶了媳妇，十五夜要准备好零食和茶，新新娘要一整晚在那冲茶陪客人。好处就是让村民更好的了解村里的新人口，而且坏处就是村里比领村冷清,2022-02-09 22:32:13,5,回复
疫情什么时候结束[大哭]好久没看到营老爷了，大侄子长大了可以担花篮了,2022-02-04 12:28:27,5,评论
汕头人路过，期待后续，每个部分有独立讲解更有科普性[呲牙]新年好！,2022-02-02 09:08:33,5,评论
这个好，改一下,2022-02-02 12:15:47,3,回复
最近几年没有迎老爷真的一点年味都没有,2022-02-04 23:34:03,3,评论
确实,2022-02-19 12:24:14,5,回复
加油,2022-02-02 23:48:02,4,评论
呜呜呜现在过年没营跟没过年一样,2022-02-21 18:33:56,4,评论
牙老牙，靠别诶挂泥莫咩嗷[大哭],2022-02-04 22:26:14,5,评论
自疫情以来就停了,2022-02-04 19:56:36,6,评论
凌晨两点多发的？,2022-02-04 13:42:50,3,评论
我家这边也有营老爷不过有点不一样,2022-02-03 16:58:02,5,评论
好漂亮,2022-02-03 00:57:04,4,评论
当年我奶奶还特意定作了一面非常华丽的标旗,2022-02-21 14:24:07,3,评论
我们这里迎老爷他们经过这里我们就可以开始打鞭炮，以前我们这里也好多人带摄像机来拍，还挺热闹的[doge]，现在疫情已经两三年没搞了,2022-02-18 11:29:39,5,评论
无变啊，这疫情在这，营无路来啊[笑哭],2022-02-18 09:31:56,5,评论
好绝！up棒棒！[打call][打call][给心心][给心心]三年了！三年了！三年了，三年没有营老爺了[跪了][跪了][大哭][大哭],2022-02-17 15:28:41,5,评论
