评论内容,评论时间,评论人等级,评论类型
我还以为大师站在鱼缸边上看鱼呢，心想这水挺干净，一点都不浑,2021-10-11 13:59:51,4,评论
心想这鱼都不动[橘猫_大橘为重],2021-10-11 14:39:27,5,回复
哈哈哈你们太可爱了,2021-10-11 19:17:49,6,回复
回复 @让我变小猫吧 :这鱼一动不动的时候就感觉不对劲了[跪了],2021-10-11 23:07:23,4,回复
皆若空游无所依[脱单doge],2021-10-11 17:12:28,6,评论
老小石潭记了[脱单doge],2021-10-11 22:04:15,5,回复
语文课代表,2021-10-12 08:39:44,4,回复
回复 @卡布叻_阿九 :老石潭记[doge],2021-10-19 14:51:56,5,回复
苏绣就是讲究观赏性，要逼真，拟态。蜀绣由于应用的关系，更讲装饰性，多用于被盖和服装，后来做艺术化的时候也还是带有装饰性。苏绣本身应用于服装不太方便，不可以分丝太细，因为毕竟服装穿着有损。。。我个人还是觉得苏绣适合做屏风，放屋里观赏哈哈哈哈做衣服好舍不得,2021-10-12 10:11:53,5,评论
礼服可以有，常服就真的舍不得了,2021-10-12 22:16:42,5,回复
回复 @爱吃猪排的贩 :常服穿苏秀那得啥家庭啊[笑哭],2021-10-13 14:57:38,6,回复
太想知道老师是怎么劈丝的了，1／64，啊我人傻了，劈一丝是我的极限[捂脸],2021-10-11 14:18:01,5,评论
[呲牙]一根线最细可以劈到352分之一，等之后我们可以考虑专门录制劈丝视频为大家展示讲解,2021-10-11 19:10:15,6,回复
回复 @不偷懒的姚建萍 :期待期待[打call][打call],2021-10-11 20:47:01,5,回复
回复 @不偷懒的姚建萍 :老师，记得加水印哟，最好再加个国旗啥的,2021-10-11 21:01:09,6,回复
加水印吧 防偷国,2021-10-11 21:41:39,5,评论
@不偷懒的姚建萍  老师，您下次录视频要不要在虎口上贴个小国旗？韩国人现在特别猖狂，经常偷这类视频，换个背景音就说这门手艺是韩国的[大哭],2021-10-13 11:23:08,5,回复
回复 @璘璘璘璘lin :对 它们可不是人了,2021-10-13 14:16:37,5,回复
怕啥，偷国这把真的偷不了，这种东西是有传承的,2021-10-18 14:47:24,5,回复
老师你们收外国人当学徒吗？有韩国人在中国苦学刺绣，然后回国后申请专利，成了韩国原创文化了。,2021-10-11 22:28:05,5,评论
苏绣已经是非遗了[doge],2021-10-12 19:04:00,5,回复
唉，不妨碍它们换个名字，绣出个低配版接着申,2021-10-12 22:00:37,3,回复
回复 @即将养猫 :这个换名字出低配版或改良版接着申日本很有经验[doge],2021-10-12 23:05:22,5,回复
非遗文化表率，老师当之无愧[热词系列_不愧是你],2021-10-11 13:31:52,5,评论
一起努力弘扬中华民族优秀文化,2021-10-11 19:11:47,6,回复
回复 @不偷懒的姚建萍 :被老师回复了，开心[热词系列_好耶],2021-10-11 23:58:34,5,回复
真是的，我现在敏感到，第一时间看到这类视频就找放没放中国🇨🇳，会不会被韩国偷走[捂脸],2021-10-14 16:49:04,6,评论
越南也是文化小偷大户，直接把中国视频（中剧、汉服换装、刺绣等）换上越南文字甚至音频发布出去，获得大量关注和点赞。,2021-10-15 21:16:41,5,回复
栩栩如生[脱单doge],2021-10-11 12:59:05,5,评论
金鱼小猫都是苏绣最传统经典代表的题材,2021-10-11 19:11:36,6,回复
[哈哈][哈哈][羞羞]在苏绣中经常见到哩,2021-10-11 20:07:22,5,回复
一人血书求加一个无法随便抹除的水印！！防止小偷国人把我们的文化偷走[大哭],2021-10-12 01:22:56,5,评论
加一！！,2021-10-12 21:17:20,5,回复
你不是一个人,2021-10-18 09:50:56,4,回复
+1！,2021-10-27 10:08:24,4,回复
安陵容说她娘把眼熬瞎了，苏秀有多难不用说了吧。,2021-10-16 20:25:06,6,评论
自己养家男人还三妻四妾。女人过度完美奉献消耗自己身体是瞎眼只是小事。搞不好命都没有。,2021-11-01 15:06:46,5,回复
回复 @灯火火在 :？,2022-02-20 18:30:46,5,回复
传播弘扬传统文化是我们新一代年轻人的共同目标，这是抵抗偷国🇰🇷和小日本儿🇯🇵窃取文化的最好办法！大家要行动起来保护好这些美丽的传统文化不要被去中国化，变成那种讨厌的日韩人嘴里所谓的东洋风亚洲风因为根本就没有这种东洋风亚洲风，这就是独属于我们的中国风！最美的中国文化！,2021-10-11 16:12:05,5,评论
我们一起努力传承，保护，弘扬所有优秀民族文化艺术,2021-10-11 19:18:32,6,回复
回复 @不偷懒的姚建萍 :太美了，老师要注意被🇯🇵和🇰🇷搬到外网上，偷成它们的东西，可以绣个国旗的手绢放旁边，也可以戴个国旗的顶针之类的,2021-10-11 21:02:55,5,回复
超真实[打call]仿佛摸到金鱼脑袋了,2021-10-11 13:01:45,5,评论
欢迎来我们艺术馆看实物，苏绣实物比视频照片更好看,2021-10-11 19:12:24,6,回复
回复 @不偷懒的姚建萍 :你好UP主，艺术馆在哪儿呀？有时间想去看看。,2021-10-12 20:18:08,5,回复
皆若空游无所依。日光下澈，影布石上。佁然不动。,2021-10-11 17:07:58,5,评论
苏绣好神奇啊！好像立体真实又有半透明的虚幻,2021-10-11 19:52:56,5,评论
是呀！半透明的状态真美,2021-10-12 20:19:09,5,回复
这才是真正的奢品，还是手工孤品。现在的年轻人根本不懂投资。去买那些工业品箱包服装，乃至月薪三四千的穷鬼去买苹果手机。这种东西无一都是短期被炒出来的。,2021-10-18 22:27:19,4,评论
啊这，年轻人突然就被代表了，突然就被有了苹果手机，被买了工业品箱包服装。像我爸妈那个年纪的人比起你所谓的苏绣奢品也更愿意买个好手机（不一定是苹果），再者人家绣这种东西也不是为了你我这种普通人，说得好像你有钱买一堆绣品放家里似的,2021-10-26 11:27:49,6,回复
您月薪3千多4千块钱去买这种奢品试试    [doge]   看看你老痘痘老麻麻看你会是什么眼神,2021-11-03 15:18:38,6,回复
？你这话好附庸风雅啊,2022-02-20 18:33:23,5,回复
太牛了！05后看的震惊！[打call]给老师一个三连！简直太漂亮了！,2021-10-11 19:07:16,5,评论
欢迎更多年轻朋友一起弘扬中华文化[给心心],2021-10-11 19:15:16,6,回复
回复 @不偷懒的姚建萍 :！捉[打call],2021-10-11 19:54:02,5,回复
一定要加个中国国旗的标志在视频中，老师，防偷国[请吃红小豆吧！_哭唧唧],2021-10-18 09:52:20,4,评论
像真的一样，活灵活现，太好看了！老师您能多发点发长一点吗？,2021-10-11 13:33:56,4,评论
比如多一些讲解，或者再放一点展示细节的视频，太短看不够[喜欢],2021-10-11 13:35:04,4,回复
好的，之后我们会吸取大家的意见努力做更好的视频展示民族艺术,2021-10-11 19:11:02,6,回复
