评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
手艺非常好非常喜欢，就是小剧场太尬了，如果能改进视频手法肯定能让这个技艺得到更大的传播[OK],2022-02-13 10:22:45,5,评论,手艺非常好非常喜欢，就是小剧场太尬了，如果能改进视频手法肯定能让这个技艺得到更大的传播,0.9998
是的，每次女孩爸爸都会跟女生说“没有人会给你点赞的”，然后女孩回答“不会的”，然后对着镜头问一遍“会有人给我点赞吗”太尬了太尬了,2022-02-27 12:11:06,5,回复,是的，每次女孩爸都会跟女生说“没有人会给你点赞的”，然后女孩回答“不会的”，然后对着镜头问一遍“会有人给我点赞吗”太尬了,0.9999
女孩子不比男孩差，她一样可以承担传统文化技艺传承，希望我们老祖宗留下的所有艺术和生活物质制作技艺都可以不论男女得到传承和发展！,2022-03-01 12:35:08,5,评论,女孩子不比男孩差，她一样可以承担传统文化技艺传承，希望我们老祖宗留下的所有艺术和生活物质制作技艺都可以不论男女得到传承和发展！,0.9997
还真是非遗，一直以为这是那种在广场上卖铁丝自行车的手艺人。,2022-02-13 11:05:05,5,评论,还真是非遗，一直以为这是那种在广场上卖铁丝自行车的手艺人。,0.9826
为什么很多非遗传承不下去，因为不赚钱，不然也不会沦落成街头手艺人,2022-02-14 23:10:59,4,回复,为什么很多非遗传承不下去，因为不赚钱，不然也不会沦落成街头手艺人,0.0026
回复 @不行啊太草了 :有些文化还是别传承的好，比如耍牙这种东西，又伤害人的身体又没有什么看头,2022-03-05 10:13:05,4,回复,回复 @不行啊太草了 :有些文化还是别传承的好，比如耍牙这种东西，又伤害人的身体又没有什么看头,0.0012
只可惜前面的剧情挺尴尬的，技术没得说👍,2022-02-19 16:27:14,3,评论,只可惜前面的剧情挺尴尬的，技术没得说👍,0.9931
韩国人：赶紧偷！！！,2022-02-13 17:56:24,4,评论,韩国人：赶紧偷！,0.2862
在申了思密达,2022-02-14 14:14:15,3,回复,在申了思密达,0.1264
韩国：在申遗了思密达~,2022-02-18 11:39:13,4,评论,韩国：在申遗了思密达~,0.9891
"人和人的八岁是不可以比较的,人和人的18岁也不可以比较的 [委屈][委屈]",2022-02-23 19:32:04,3,评论,"人和人的八岁是不可以比较的,人和人的18岁也不可以比较的 ",0.9997
小朋友很棒哦，加油哦，要一直坚持下去哦[给心心][给心心],2022-02-13 10:34:07,4,评论,小朋友很棒哦，加油哦，要一直坚持下去哦,0.9999
看过几次，希望把那个小剧场改改，感觉有点尬，但是技术真的没的说,2022-02-25 13:22:34,3,评论,看过几次，希望把那个小剧场改，感觉有点尬，但是技术真的没的说,0.8894
天冷了，注意防韩！[doge],2022-03-11 01:08:23,3,评论,天冷了，注意防韩！,0.182
这是天才啊。[笑哭],2022-03-08 09:57:49,4,评论,这是天才啊。,0.7741
水印！！！,2022-03-04 19:44:17,3,评论,水印！,0.8086
一定要好好培养,2022-03-03 21:04:37,2,评论,一定要好培养,0.9992
好牛啊,2022-03-02 17:00:18,3,评论,好牛啊,0.9988
太厉害了,2022-02-12 23:23:47,4,评论,太厉害了,0.1668
不是，视频做法:中国某视频火了（推荐突然刷到）制作视频:今日某某火了，交代事情，交代粉丝数量，说一下人物背景，说一下起因。为某某点赞。感觉好像是某个app的视频感觉（没有杠的意思）改一下视频做法和音乐,2022-02-23 21:29:50,4,评论,不是，视频做法:中国某视频火了（推荐突然刷到）制作视频:今日某火了，交代事情，交代粉丝数量，说一下人物背景，说一下起因。为某点赞。感觉好像是某个ap的视频感觉（没有杠的意思）改一下视频做法和音乐,0.0018
彩色漆包线吧。,2022-02-13 19:07:34,4,评论,彩色漆包线吧。,0.9669
费手啊,2022-02-13 23:01:28,5,评论,费手啊,0.0361
读书了么，孩子别忘记读书,2022-02-20 09:23:31,3,评论,读书了么，孩子别忘记读书,0.0481
[吃瓜][辣眼睛],2022-02-18 16:39:00,4,评论,,0.5708
这个老祖宗可能就是她爹这一辈   [doge],2022-02-13 10:47:48,4,评论,这个老祖宗可能就是她爹这一辈 ,0.0067
开始她父亲已经是第六代了[藏狐],2022-02-14 23:53:39,4,回复,开始她父亲已经是第六代了,0.9997
可能她爹开始编铁丝了。柳少了,2022-02-18 22:36:07,5,回复,可能她爹开始编铁丝了。柳少了,0.0031
回复 @起名纠结困难户 :[点赞]有可能,2022-02-21 12:53:52,4,回复,回复 @起名纠结困难户 :有可能,0.0047
有的人手是手，而有的人手却又不是手，我的就是那种是手而又不是手的那种,2022-02-16 17:01:11,4,评论,有的人手是手，而有的人手却又不是手，我的就是那种是手而又不是手的那种,0.9998
打个码吧！请时刻防韩[OK],2022-02-15 02:31:34,4,评论,打个码吧！请时刻防韩,0.0027
最早在华农的兄弟那儿见过,2022-02-14 01:20:09,5,评论,最早在华农的兄弟那儿见过,0.9999
魏文帝是吧,2022-02-13 14:29:14,5,评论,魏文帝是吧,0.4245
这个真是吃瓜到自己家[冰墩墩][冰墩墩],2022-02-13 10:01:31,3,评论,这个真是吃瓜到自己家,0.0046
巧了，聊城老乡啊。,2022-02-13 23:05:03,4,回复,巧了，聊城老乡啊。,0.9999
这tm八岁？,2022-02-13 10:21:37,5,评论,这tm八岁？,0.0099
不清楚,2022-03-04 19:44:07,3,回复,不清楚,0.1413
是不是忘喝孟婆汤了。,2022-02-22 19:33:53,4,评论,是不是忘喝孟婆汤了。,0.3917
