评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
纵一苇之所如，凌万顷之茫然,2022-02-25 02:16:08,5,评论,纵一苇之所如，凌万顷之茫然,0.5321
谁谓河广？一苇杭之[嗑瓜子],2022-02-26 20:08:14,4,回复,谁谓河广？一苇杭之,0.0362
轻功:一苇渡江？[妙啊],2022-02-27 08:51:32,4,回复,轻功:一苇渡江？,0.1418
回复 @战忽局驻日秘书处 :航[妙啊],2022-02-27 15:58:02,5,回复,回复 @战忽局驻日秘书处 :航,0.1629
天冷注意防韩[doge],2022-02-26 14:55:46,3,评论,天冷注意防韩,0.3557
他们连可以漂的河都没有[doge],2022-02-27 11:57:10,3,回复,他们连可以漂的河都没有,0.3146
难度太大它们学不来,2022-02-27 13:07:24,5,回复,难度太大它们学不来,0.2062
回复 @吾于花期与君别 :“伟哥江”,2022-02-27 16:04:47,5,回复,回复 @吾于花期与君别 :“伟哥江”,0.2183
这个视频很少见的拍出了失败镜头但和bgm孤勇者谁说站在光里的才算英雄完美契合，是今年目前为止最有感触的视频。,2022-02-26 21:52:56,5,评论,这个视频很少见的拍出了失败镜头但和bgm孤勇者谁说站在光里的才算英雄完美契合，是今年目前为止最有感触的视频。,0.9594
我甚至没看出失败点，我以为这也是一部分，我还在感叹平衡保持的真好[笑哭],2022-03-03 23:26:06,4,回复,我甚至没看出失败点，我以为这也是一部分，我还在感叹平衡保持的真好,0.9721
[笑哭]视频不错，但是孤勇者我真是在B站听的要吐了,2022-03-04 15:26:34,5,回复,视频不错，但是孤勇者我真是在B站听的要吐了,0.7385
应该是下雨影响不平衡,2022-03-07 09:53:39,5,回复,应该是下雨影响不平衡,0.0901
中国的一切文化、艺术、传承，才是真正的奢侈品。,2022-02-24 16:37:08,5,评论,中国的一切文化、艺术、传承，才是真正的奢侈品。,0.9525
韩国:现在是我们的了，思密达马上申遗！好像他们也学不会[doge],2022-02-24 19:43:56,5,回复,韩国:现在是我们的了，思密达马上申遗！好像他们也学不会,0.7216
回复 @低头de温柔 :韩国：在申了，思密达[脱单doge],2022-02-25 22:42:08,5,回复,回复 @低头de温柔 :韩国：在申了，思密达,0.3717
回复 @低头de温柔 :有一说一他们的白色春联真的把我整不会了,2022-02-26 02:21:12,5,回复,回复 @低头de温柔 :有一说一他们的白色春联真的把我整不会了,0.3077
我一直等待一个镜头，就是天晴了，阳光洒在水面上，up主状态调整在最佳，完美的展示出了一段足以让外行人觉得优美的姿态，遗世而独立。结果到最后也是阴雨绵绵的泡在水里，视频整体节奏以一个比较低的情绪收尾。,2022-02-26 11:53:19,6,评论,我一直等待一个镜头，就是天晴了，阳光洒在水面上，up主状态调整在最佳，完美的展示出了一段足以让外行人觉得优美的姿态，遗世而独立。结果到最后也是阴雨绵的泡在水里，视频整体节奏以一个比较低的情绪收尾。,0.8906
很多人的人生就是如此,2022-02-26 13:43:45,4,回复,很多人的人生就是如此,0.7529
不是任何事情都有好的结果，不是任何努力都会有相应回报[加油],2022-02-26 20:49:47,5,回复,不是任何事情都有好的结果，不是任何努力都会有相应回报,0.185
因为现实人生，并非最后都是HE所以当你学会接受过程＞结果时，你才算是真正面对人生了,2022-02-27 06:25:53,4,回复,因为现实人生，并非最后都是HE所以当你学会接受过程＞结果时，你才算是真正面对人生了,0.8044
我爷爷当林业工人的时候，有一种工作叫做流木，听我父亲说，我爷爷能单根木头金鸡独立站在上面延河面顺流而下。,2022-02-24 22:06:42,5,评论,我爷当林业工人的时候，有一种工作叫做流木，听我父亲说，我爷能单根木头金鸡独立站在上面延河面顺流而下。,0.2291
有传承就好了,2022-02-25 16:49:23,4,回复,有传承就好了,0.6756
回复 @邑雨青尘 :这不随着生产力的进步嘛，都用拖拉机了，流木这种行业已经淡出了人们的视野，现在已经不进行这种高危作业了。,2022-02-26 09:47:49,5,回复,回复 @邑雨青尘 :这不随着生产力的进步嘛，都用拖拉机了，流木这种行业已经淡出了人们的视野，现在已经不进行这种高危作业了。,0.0137
注意别感冒[打call][打call][打call][打call]💐💐💐💐💐💐,2022-02-24 16:11:55,5,评论,注意别感冒💐,0.3955
V5！！！,2022-02-25 02:10:55,6,回复,V5！,0.8835
回复 @影陌yf :你是v6,2022-02-26 02:13:29,3,回复,回复 @影陌yf :你是v6,0.6312
那个，，，顶你个肺[害羞],2022-02-27 20:27:00,3,回复,那个，顶你个肺,0.6218
记得做好除湿保护，各种家用理疗安排，别落下病根了[加油],2022-02-24 16:29:40,6,评论,记得做好除湿保护，各种家用理疗安排，别落下病根了,0.9264
可以说任何工作都会落下病根，只是做点防护要好一点点,2022-02-24 21:23:26,4,回复,可以说任何工作都会落下病根，只是做点防护要好一点,0.9267
回复 @半城枯骨终无情 :没办法~好在现在很多仪器可以做到在家里理疗，比如烤灯筋膜枪等等,2022-02-24 21:38:20,6,回复,回复 @半城枯骨终无情 :没办法~好在现在很多仪器可以做到在家里理疗，比如烤灯筋膜枪等,0.1917
风湿病人深表赞同,2022-02-25 22:51:22,6,回复,风湿病人深表赞同,0.7047
中国的奢侈品不是我咬咬牙就能买的物品，中国的艺术不是简简单单就会的技术，中国的爱情不只是为了那一眼的回昴而是为了以后的一生能一直在一起互相陪伴。,2022-02-26 17:55:14,5,评论,中国的奢侈品不是我咬牙就能买的物品，中国的艺术不是简单就会的技术，中国的爱情不只是为了那一眼的回昴而是为了以后的一生能一直在一起互相陪伴。,0.9884
外国艺术品咬咬牙可以搞一下  纯手工中国艺术品尤其陶瓷  我咬咬牙可以看一眼还得一米线外[OK],2022-02-28 22:45:03,3,回复,外国艺术品咬牙可以搞一下 纯手工中国艺术品尤其陶瓷 我咬牙可以看一眼还得一米线外,0.9622
回复 @天大的盒子 :咬咬牙买张博物馆门票[doge],2022-03-05 10:45:11,4,回复,回复 @天大的盒子 :咬牙买张博物馆门票,0.7664
回复 @天大的盒子 :主要是传承人太少了，量少而贵,2022-03-05 13:13:55,5,回复,回复 @天大的盒子 :主要是传承人太少了，量少而贵,0.3867
雨舞竹一闵苇粉渡江竹，蜜蜜细雨黏江湖。尔持永进非进海，跌跌绊绊舞江竹。,2022-02-25 11:08:51,5,评论,雨舞竹一闵苇粉渡江竹，蜜细雨黏江湖。尔持永进非进海，跌绊舞江竹。,0.1035
江竹重了，进字重在同一句，平仄也是不对的，其实还是不太好的（主要是看下面清一色的吹捧不太好，盲目吹捧对于诗词写作爱好者是毒药）,2022-02-26 22:48:23,4,回复,江竹重了，进字重在同一句，平仄也是不对的，其实还是不太好的（主要是看下面清一色的吹捧不太好，盲目吹捧对于诗词写作爱好者是毒药）,0.0228
回复 @闻磬先生 :哈哈，看这层楼好有趣，看大佬们斗法[脱单doge][热词系列_知识增加],2022-03-04 22:17:23,4,回复,回复 @闻磬先生 :哈，看这层楼好有趣，看大佬们斗法,0.9306
我没有理由不去练琴了呜呜呜,2022-02-24 18:08:59,3,评论,我没有理由不去练琴了呜,0.0917
我也没有理由不写小说继续拖更了[傲娇][傲娇][傲娇],2022-02-25 01:23:43,4,回复,我也没有理由不写小说继续拖更了,0.0982
回复 @TigAtlaSuperman :虽然不清楚你是哪位大佬，但你快去！！！[打call],2022-02-25 04:13:08,5,回复,回复 @TigAtlaSuperman :虽然不清楚你是哪位大佬，但你快去！,0.6021
我也要好好练琴，也是传承非遗,2022-02-25 10:59:11,4,回复,我也要好练琴，也是传承非遗,0.925
up主，以前也看了你挺多期视频，感觉这期就挺好的，既表现了独竹飘的美，又让我们看到了这背后的心酸和不易，平凡人的不平凡是因为那份能感动自己的执着付出,2022-02-24 19:41:09,4,评论,up主，以前也看了你挺多期视频，感觉这期就挺好的，既表现了独竹飘的美，又让我们看到了这背后的心酸和不易，平凡人的不平凡是因为那份能感动自己的执着付出,0.9977
看着你在大雨里练习，无法说别的，希望你在休息的时候养养身体，寒气湿气啥的都要注意啊[拥抱],2022-02-24 19:15:41,5,评论,看着你在大雨里练习，无法说别的，希望你在休息的时候养身体，寒气湿气啥的都要注意啊,0.6175
芙蓉出水后，粉黛舞素衣。袅袅雨连针，翩翩幻似梦。,2022-02-26 16:43:46,4,评论,芙蓉出水后，粉黛舞素衣。袅雨连针，翩幻似梦。,0.2858
救命，武侠小说没骗我,2022-03-06 10:35:31,5,回复,救命，武侠小说没骗我,0.143
注意身体，别感冒了,2022-02-24 16:20:39,3,评论,注意身体，别感冒了,0.8954
那是在下大雨吧，太牛了,2022-02-24 16:08:43,5,评论,那是在下大雨吧，太牛了,0.526
都说李沁是被国家秘密培育的文化传承人，希望国家也能看到杨柳，把这项技艺传承下去[委屈][委屈]看哭了，希望能有更多的人能看到这么奋斗永不言弃的人,2022-02-24 21:03:36,6,评论,都说李沁是被国家秘密培育的文化传承人，希望国家也能看到杨柳，把这项技艺传承下去看哭了，希望能有更多的人能看到这么奋斗永不言弃的人,0.9909
粉丝脑补太多了吧[笑哭]，闺门旦哪需要秘密培养?戏校就能学的。昆曲根本不是什么机密啊？,2022-02-25 17:25:18,5,回复,粉丝脑补太多了吧，闺门旦哪需要秘密培养?戏校就能学的。昆曲根本不是什么机密啊？,0.0124
回复 @人间遥作白虹看 :哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死我了[哈哈],2022-02-25 17:41:52,5,回复,回复 @人间遥作白虹看 :哈笑死我了,0.7562
大家都被那段视频的字幕误导了，视频里那位导演说的是“孕育培养”，字幕配成了“秘密培养”，就这样大家都传成了是秘密培养李沁的了[脸红][脸红],2022-02-25 22:39:23,4,回复,大家都被那段视频的字幕误导了，视频里那位导演说的是“孕育培养”，字幕配成了“秘密培养”，就这样大家都传成了是秘密培养李沁的了,0.0414
注意安全啊小姐姐！！！！支持非遗传承！！！,2022-02-26 22:09:30,5,评论,注意安全啊小姐！支持非遗传承！,0.989
加油，支持,2022-02-24 16:03:35,5,评论,加油，支持,0.9972
在申遗了思密达[doge],2022-02-24 21:30:56,5,回复,在申遗了思密达,0.3413
回复 @锅姨的塑料袋 :没有思密达，还是好朋友[doge],2022-02-24 21:55:09,6,回复,回复 @锅姨的塑料袋 :没有思密达，还是好朋友,0.1986
回复 @锅姨的塑料袋 :联合国取消申遗资格警告[doge],2022-02-28 19:21:18,6,回复,回复 @锅姨的塑料袋 :联合国取消申遗资格警告,0.0523
看着就冷死了,2022-02-26 13:08:40,3,评论,看着就冷死了,0.0886
