评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
月华今夜黑，全见梨花白。我看着像是梨花，对吗？,2021-07-24 00:24:32,5,评论,月华今夜黑，全见梨花白。我看着像是梨花，对吗？,0.0921
是的，是的,2021-07-24 05:23:42,5,回复,是的，是的,0.5659
回复 @子木染物 :好棒[热词系列_知识增加]特别漂亮！,2021-07-25 11:50:33,5,回复,回复 @子木染物 :好棒特别漂亮！,0.998
回复 @子木染物 :这两声 是的 ，回答的认真又温柔的感觉,2021-07-25 15:13:49,5,回复,回复 @子木染物 :这两声 是的 ，回答的认真又温柔的感觉,0.7695
有幸尝试过，这是真的难。看着简单，就是普通的涂一涂，但其实啊，那个蜡就特别难在布上抹匀，就是画不了一条整齐点的线[笑哭]，不论弯直，它的蜡很容易干，就得一点一点的蘸，然后描，搞出来也是忽粗忽细的。还记得那次学校举行这个活动，刚开始还说要评选的，结果……被学生们的画技折服，临时又取消掉。,2021-07-25 15:17:45,3,评论,有幸尝试过，这是真的难。看着简单，就是普通的涂一涂，但其实啊，那个蜡就特别难在布上抹匀，就是画不了一条整齐点的线，不论弯直，它的蜡很容易干，就得一点的蘸，然后描，搞出来也是忽粗忽细的。还记得那次学校举行这个活动，刚开始还说要评选的，结果…被学生们的画技折服，临时又取消掉。,0.096
真的真的太难了，我们学校也弄过，不过我们学院还是有大佬的弄的真的特别好看，然后还被别人买走了。,2021-07-26 18:21:26,5,回复,真的太难了，我们学校也弄过，不过我们学院还是有大佬的弄的真的特别好看，然后还被别人买走了。,0.709
回复 @夏树秋枯 :我们的工具很宰渣，就是那种买颜料都会送的画笔，（小刷子更贴切），放在蜡烛边感觉烧糊了都，而且那个时候是小学，年龄太小了，搞不出什么东西ヽ(≧Д≦)ノ,2021-07-26 23:13:00,3,回复,回复 @夏树秋枯 :我们的工具很宰渣，就是那种买颜料都会送的画笔，（小刷子更贴切），放在蜡烛边感觉烧糊了都，而且那个时候是小学，年龄太小了，搞不出什么东西ヽ(≧Д≦)ノ,0.0477
那你真幸运，我作为一个美术生，也是头一次听这种技艺,2021-07-26 20:36:49,6,回复,那你真幸运，我作为一个美术生，也是头一次听这种技艺,0.8323
最开始滴蜡上去还以为是蜡烛最后要保留的…确实是孤陋寡闻了完全没见过…感谢up能让我知道还有这种艺术，最后的画面很惊艳，要流传下去啊[给心心],2021-07-25 10:09:37,6,评论,最开始滴蜡上去还以为是蜡烛最后要保留的…确实是孤陋寡闻了完全没见过…感谢up能让我知道还有这种艺术，最后的画面很惊艳，要流传下去啊,0.9898
蜡滴上去可以防止染色嘛，不过不得不说，真的惊艳到爆[打call][打call],2021-07-25 12:00:13,4,回复,蜡滴上去可以防止染色嘛，不过不得不说，真的惊艳到爆,0.9901
蜡加热会化掉，然后图案就出来了,2021-08-02 13:45:55,3,回复,蜡加热会化掉，然后图案就出来了,0.4185
高中俺们有蜡染扎染课的，还挺好,2021-07-25 12:42:55,5,回复,高中俺们有蜡染扎染课的，还挺好,0.9557
