评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
我现在一看到中国特有的非遗，我脑海里第一个想的就是怕韩国人偷，真的已经阴影了。。。,2022-02-12 00:35:07,5,评论,我现在一看到中国特有的非遗，我脑海里第一个想的就是怕韩国人偷，真的已经阴影了。,0.6227
自贡灯会也是细活，结果韩国人打着交流的借口把自贡师傅请过去，之后宣传那是他们韩国的[笑哭],2022-02-12 09:59:13,5,回复,自贡灯会也是细活，结果韩国人打着交流的借口把自贡师傅请过去，之后宣传那是他们韩国的,0.1011
刺绣咋不偷呢[滑稽]  学不会  哈哈哈,2022-02-12 11:12:58,5,回复,刺绣咋不偷呢 学不会 哈,0.3456
回复 @上善若水蓝眼泪 :差点偷走了呢。好像是把苏绣的师傅请了过去。,2022-02-12 11:30:43,4,回复,回复 @上善若水蓝眼泪 :差点偷走了呢。好像是把苏绣的师傅请了过去。,0.5054
没宣传真的拉大垮，国内可能也有很多人不知道这个花束的特殊意义,2022-02-12 17:12:42,3,评论,没宣传真的拉大垮，国内可能也有很多人不知道这个花束的特殊意义,0.6051
我觉得让残疾人编制的花花作为给冠军的礼物这个想法太棒了,2022-02-13 19:57:10,3,回复,我觉得让残疾人编制的花作为给冠军的礼物这个想法太棒了,0.938
这个宣传挺多的吧？热搜都上两次了，我是冬奥之前就知道了[笑哭],2022-02-15 22:43:44,6,回复,这个宣传挺多的吧？热搜都上两次了，我是冬奥之前就知道了,0.487
回复 @我是小久桑 :我之前只知道用了非遗工艺编织的，但不知道是残疾人动手的，这还是有必要宣传的，也没见过上热搜……,2022-02-16 11:25:17,3,回复,回复 @我是小久桑 :我之前只知道用了非遗工艺编织的，但不知道是残疾人动手的，这还是有必要宣传的，也没见过上热搜…,0.1918
有没有一种可能，运动员们并不知道发给他们的这些假花是非遗[笑哭],2022-02-12 13:07:01,6,评论,有没有一种可能，运动员们并不知道发给他们的这些假花是非遗,0.2412
要是UP不说我还以为是普通的花！[笑哭]底蕴这东西不宣传别人怎么知道啊！,2022-02-12 15:58:34,5,回复,要是UP不说我还以为是普通的花！底蕴这东西不宣传别人怎么知道啊！,0.132
