评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
琉璃卟对儿，只吹一会儿，听见咔嚓，瓶底稀碎！,2021-02-20 17:30:16,5,评论,琉璃卟对儿，只吹一会儿，听见咔嚓，瓶底稀碎！,0.0198
俺这叫琉璃gi呗儿,2021-02-20 18:13:43,5,回复,俺这叫琉璃gi呗儿,0.4861
哈哈哈 山西也有这口诀[喜极而泣]琉璃疙蹦儿 只耍一阵儿 啥啥啥啥 气哭小孩儿[喜极而泣][喜极而泣][喜极而泣],2021-02-20 22:55:05,5,回复,哈 山西也有这口诀,0.768
回复 @-素质青年- :哈哈哈看评论区好多人说好久没见了，晋城这边到处都有卖的,2021-02-21 10:02:01,5,回复,回复 @-素质青年- :哈看评论区好多人说好久没见了，晋城这边到处都有卖的,0.523
小时候很害怕这东西，总是担心会吹碎，又害怕吸到嘴里，又危险，又不安全。但是很喜欢红红的样子，后来买了个供起来 当摆设，结果忽然有一天自己碎了。？？？！！！我都不碰你了，你都碎？！,2021-02-21 10:07:24,4,评论,小时候很害怕这东西，总是担心会吹碎，又害怕吸到嘴里，又危险，又不安全。但是很喜欢红的样子，后来买了个供起来 当摆设，结果忽然有一天自己碎了。？！我都不碰你了，你都碎？！,0.0043
你吹不吹不吹我自己睡碎了[歪嘴],2021-02-21 14:15:04,5,回复,你吹不吹我自己睡碎了,0.0912
我先碎了你随意,2021-02-21 16:16:33,6,回复,我先碎了你随意,0.184
回复 @牧无王法a :你吹或者不吹我都会碎！[doge][滑稽],2021-02-26 19:53:42,5,回复,回复 @牧无王法a :你吹或者不吹我都会碎！,0.0832
我们叫琉璃个蹦儿 30岁路过 搞对象的时候我老公知道我爱玩儿这个 不知道从哪给我买了一个 当时都十几年没见过这玩意儿了[笑哭],2021-02-21 00:03:25,6,评论,我们叫琉璃个蹦儿 30岁路过 搞对象的时候我老公知道我爱玩儿这个 不知道从哪给我买了一个 当时都十几年没见过这玩意儿了,0.0631
过年我才见到买，不知道叫啥，在贵州景点,2021-02-21 09:57:19,5,回复,过年我才见到买，不知道叫啥，在贵州景点,0.4185
真实好老公[笑哭]你老公可真宠你,2021-02-21 12:25:11,5,回复,真实好老公你老公可真宠你,0.9661
高平也这么叫,2021-02-25 15:42:46,5,回复,高平也这么叫,0.2736
瓶底很薄，呼吸带动瓶底振动出声，好多好多年没看见了，以前过年才看到卖的,2021-02-20 21:33:39,5,评论,瓶底很薄，呼吸带动瓶底振动出声，好多年没看见了，以前过年才看到卖的,0.0846
家里大人不让给买,2021-02-20 21:35:40,5,回复,家里大人不让给买,0.5414
3:53时吹的声音才是买到手时吹出的声音，做的时候还是热玻璃时的声音像打鼓，我也是看到这个视频才知道,2021-02-20 21:38:36,5,回复,3:53时吹的声音才是买到手时吹出的声音，做的时候还是热玻璃时的声音像打鼓，我也是看到这个视频才知道,0.0837
我们这现在到处都有卖的，坐标山西晋城哈哈哈,2021-02-21 10:00:50,5,回复,我们这现在到处都有卖的，坐标山西晋城哈,0.8808
快藏起来，别被隔壁转基因玉米棒子发现了[囧],2021-02-22 17:11:44,5,评论,快藏起来，别被隔壁转基因玉米棒子发现了,0.1234
转基因还行。[妙啊],2021-02-23 00:20:36,4,回复,转基因还行。,0.6105
快上去[囧],2021-02-23 00:52:07,5,回复,快上去,0.8204
那叫整容棒！,2021-02-25 12:51:37,5,回复,那叫整容棒！,0.4554
琉璃嘎嘣儿，小时候说是底儿容易破然后吸到嗓子里，恐怖[阴险],2021-02-20 18:29:21,4,评论,琉璃嘎嘣儿，小时候说是底儿容易破然后吸到嗓子里，恐怖,0.2139
小时候不敢吹啊，就是害怕玻璃渣子吸到嗓子眼，都用手掌挤压着玩[笑哭],2021-02-20 22:03:00,6,回复,小时候不敢吹啊，就是害怕玻璃渣子吸到嗓子眼，都用手掌挤压着玩,0.1739
我天，这么严重，我都是吹着玩儿吹累了动手砸了它,2021-02-20 22:23:15,5,回复,我天，这么严重，我都是吹着玩儿吹累了动手砸了它,0.0139
小时候大人都往瓶口里塞一点棉花再让玩,2021-02-20 22:36:19,5,回复,小时候大人都往瓶口里塞一点棉花再让玩,0.7292
我家周口的，小时候见过，我以为是是个花瓶，我奶奶说能吹响，我一直以为我奶奶是逗我玩的。,2021-02-20 15:37:09,4,评论,我家周口的，小时候见过，我以为是个花瓶，我奶说能吹响，我一直以为我奶是逗我玩的。,0.7328
你来自河南周口。我来自云南元谋。,2021-02-21 19:06:32,5,回复,你来自河南周口。我来自云南元谋。,0.4853
回复 @李秃子 :搁这玩进化呢？？,2021-02-22 20:15:17,4,回复,回复 @李秃子 :搁这玩进化呢？,0.1436
回复 @李秃子 :爱情让你们直立行走？,2021-02-25 20:56:16,5,回复,回复 @李秃子 :爱情让你们直立行走？,0.0438
长得有点像容量瓶[doge],2021-02-20 21:55:31,5,评论,长得有点像容量瓶,0.5761
不愧是你[doge]（捕捉）,2021-02-21 13:15:41,5,回复,不愧是你（捕捉）,0.8394
容量瓶使用步骤警告[脱单doge],2021-02-22 18:18:15,5,回复,容量瓶使用步骤警告,0.512
老化学课代表来[doge],2021-02-24 19:10:26,5,回复,老化学课代表来,0.2709
琉璃卟der，小时候庙会上见过，一个大叔一肩扛着稻草扎冰糖葫芦，一只胳膊挎一筐琉璃卟der。一声嘹亮的吆喝“糖葫芦儿～”，然后吹琉璃:卟der卟der卟der...[热词系列_爷青回]好多年没见过了[大笑],2021-02-21 12:56:20,5,评论,琉璃卟der，小时候庙会上见过，一个大叔一肩扛着稻草扎冰糖葫芦，一只胳膊挎一筐琉璃卟der。一声嘹亮的吆喝“糖葫芦儿～”，然后吹琉璃:卟der,0.8069
啥叫危险玩具？这才是危险玩具，和这比危险水弹就是个弟弟,2021-02-21 22:37:12,6,评论,啥叫危险玩具？这才是危险玩具，和这比危险水弹就是个弟,0.0444
懂了，吹气窒息[脱单doge],2021-03-02 22:32:48,4,回复,懂了，吹气窒息,0.8282
回复 @切尔格里尔斯 :这东西很容易碎的，割到都算好的，运气差玻璃碎片吸嗓子里问题就大了,2021-03-09 20:40:59,5,回复,回复 @切尔格里尔斯 :这东西很容易碎的，割到都算好的，运气差玻璃碎片吸嗓子里问题就大了,0.0467
90后，我小时候琉璃嘣嘣还很多，现在确实很少见了，这东西可比那些专家定义的危险玩具更危险，因为它受伤的娃娃不要太多,2021-02-21 00:20:37,5,评论,90后，我小时候琉璃嘣还很多，现在确实很少见了，这东西可比那些专家定义的危险玩具更危险，因为它受伤的娃不要太多,0.5626
小时候家里不让玩，怕把琉璃碎片吸喉咙里，后来用手绢包着吸口才让玩。,2021-02-21 21:02:27,5,评论,小时候家里不让玩，怕把琉璃碎片吸喉咙里，后来用手绢包着吸口才让玩。,0.8703
长这么大第一次见，我25,2021-03-12 20:15:42,5,回复,长这么大第一次见，我25,0.5987
这个有危险，不小心把底下吹破了就会把玻璃碴子吸到嘴里,2021-02-20 17:29:22,5,评论,这个有危险，不小心把底下吹破了就会把玻璃碴子吸到嘴里,0.1834
回复 @是不少 :按照这玩意的耐久和成本装滤嘴不现实，但是可以在玩之前手动往里塞个棉花团[吃瓜],2021-02-21 23:00:30,5,回复,回复 @是不少 :按照这玩意的耐久和成本装滤嘴不现实，但是可以在玩之前手动往里塞个棉花团,0.716
在瓶口加一个塑料护嘴。里面加上过滤网。或者别的方式。,2021-02-20 20:38:29,5,回复,在瓶口加一个塑料护嘴。里面加上过滤网。或者别的方式。,0.1462
回复 @源-樱刀S :不要光考虑成本啊，这种稀奇玩意完全可以卖贵点，配个滤嘴的钱是可以有的。,2021-02-22 17:56:48,5,回复,回复 @源-樱刀S :不要光考虑成本啊，这种稀奇玩意完全可以卖贵点，配个滤嘴的钱是可以有的。,0.1431
玻璃制品，还几百年，还不赶紧申遗！,2021-02-20 19:05:21,4,评论,玻璃制品，还几百年，还不赶紧申遗！,0.5845
琉璃至少汉代以前就有了，玻璃西方千年前也有了，琉璃与玻璃的区别在于透明度。,2021-02-20 20:33:15,5,回复,琉璃至少汉代以前就有了，玻璃西方千年前也有了，琉璃与玻璃的区别在于透明度。,0.8004
[笑哭]没文化真可怕啊，琉璃是古代贵族人家才用的起的东西。并不是玻璃,2021-02-20 20:45:47,6,回复,没文化真可怕啊，琉璃是古代贵族人家才用的起的东西。并不是玻璃,0.0281
回复 @白瞟万岁 :头像好评[doge],2021-02-20 23:27:49,5,回复,回复 @白瞟万岁 :头像好评,0.8526
不，我三十，小时候经常玩,2021-02-20 21:40:12,5,评论,不，我三十，小时候经常玩,0.4526
我也三十…我从来没见过这个[捂眼],2021-02-20 21:59:22,5,回复,我也三十…我从来没见过这个,0.2949
回复 @安童1024 :可能跟地域有关，我小时候坐标河南许昌,2021-02-20 22:06:21,5,回复,回复 @安童1024 :可能跟地域有关，我小时候坐标河南许昌,0.5422
不要教给韩国人，教会他们学会了转头反咬一口说我们抄他的,2021-02-20 19:13:35,5,评论,不要教给韩国人，教会他们学会了转头反咬一口说我们抄他的,0.0524
