评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
想起了绒花，一项濒临失传的技术愣是被簪娘们卷成了入门必备技艺[doge],2022-01-15 00:03:39,5,评论,想起了绒花，一项濒临失传的技术愣是被簪娘们卷成了入门必备技艺,0.7955
开玩笑，那么漂亮的绒花怎么能不入手一个，有需求就有市场[doge],2022-01-15 11:11:42,5,回复,开玩笑，那么漂亮的绒花怎么能不入手一个，有需求就有市场,0.7051
因为🍑太贵。我打算改天学。。。,2022-01-15 16:05:48,5,回复,因为🍑太贵。我打算改天学。,0.49
回复 @清荼愁草 :[doge][doge]期待姐妹的作品,2022-01-18 13:23:32,5,回复,回复 @清荼愁草 :期待姐妹的作品,0.7573
簪娘:谢谢你，继点翠，缠花，绒花，螺钿，热缩，布绢，纸绢，烫绢，造花液之后我又要学新技能了[脸红],2022-01-18 14:24:20,3,评论,簪娘:谢你，继点翠，缠花，绒花，螺钿，热缩，布绢，纸绢，烫绢，造花液之后我又要学新技能了,0.532
谢谢你让我知道原来还有这么多汪汪汪,2022-01-18 22:34:20,4,回复,谢你让我知道原来还有这么多汪,0.7452
这个我记得之前也出来了哈哈，好像跟绒花差不多时候？就是通草花感觉相对绒花缠花不太容易保存,2022-01-20 01:53:47,5,回复,这个我记得之前也出来了哈，好像跟绒花差不多时候？就是通草花感觉相对绒花缠花不太容易保存,0.8825
回复 @梧桐果子酱 :比较娇贵[笑哭]我一直在犹豫要不要入手一个,2022-01-20 23:47:53,3,回复,回复 @梧桐果子酱 :比较娇贵我一直在犹豫要不要入手一个,0.9068
预测B站up迟早会掌握这项技术,2022-01-14 16:58:35,5,评论,预测B站up迟早会掌握这项技术,0.0644
之前B站经常给我推通草花。但我不知道是不是都是一个up，因为我只点开过一次。不过真的很漂亮[热词系列_吹爆],2022-01-14 22:27:53,4,回复,之前B站经常给我推通草花。但我不知道是不是都是一个up，因为我只点开过一次。不过真的很漂亮,0.943
马上拼夕夕就有全套制作工具套装了,2022-01-14 22:46:21,6,回复,马上拼夕就有全套制作工具套装了,0.9655
回复 @牡丹莲-王濠镜 :手艺还是只能练出来，不是工具好用是是师父的手好用[doge],2022-01-14 23:15:27,5,回复,回复 @牡丹莲-王濠镜 :手艺还是只能练出来，不是工具好用是师父的手好用,0.0631
有些簪娘在做的，只不过还没有像缠花和缠花那样普及，还有的簪娘做陶土花……簪圈现在特别卷（没什么门槛，越来越多人做，价压的越低，做的人多，卖家就少了…唉），做出的成品簪都压价压的厉害，我一想到旅游区的十分普通的基础的捷克琉璃簪要买三百元，我就替我（啊不是）簪娘们不值！,2022-01-17 22:31:16,4,评论,有些簪娘在做的，只不过还没有像缠花和缠花那样普及，还有的簪娘做陶土花…簪圈现在特别卷（没什么门槛，越来越多人做，价压的越低，做的人多，卖家就少了…唉），做出的成品簪都压价压的厉害，我一想到旅游区的十分普通的基础的捷克琉璃簪要买三百元，我就替我（啊不是）簪娘们不值！,0.0369
苏州留园那里，两片小叶子做的耳环卖299[大哭]我对象要买我不让。还被卖东西的老大妈鄙视了：连个小东西都买不起的男生有什么用[辣眼睛][笑哭]我跟那个老大妈说，没必要这样。就是三百大洋可以让我买好多蚕丝线做十几万片这个叶子了[笑哭][笑哭],2022-01-18 16:57:10,3,回复,苏州留园那里，两片小叶子做的耳环卖29,0.2402
回复 @老猫咪的小簪铺 :簪郎？！,2022-01-18 17:10:06,4,回复,回复 @老猫咪的小簪铺 :簪郎？！,0.0578
做的人越多其实对传承文化本身最好😂,2022-01-20 22:17:37,5,回复,做的人越多其实对传承文化本身最好😂,0.9046
我今天看到冬奥会的花束制作，才突然意识到这样一场盛会真的是很适合推广发扬一些传统技艺。那个是融合了中西方技艺的，但我们还有更多很漂亮很精绝的独属于自己的技艺。,2022-01-14 17:22:47,5,评论,我今天看到冬奥会的花束制作，才突然意识到这样一场盛会真的是很适合推广发扬一些传统技艺。那个是融合了中西方技艺的，但我们还有更多很漂亮很精绝的独属于自己的技艺。,0.9865
我是真的觉得西方的东西太多了，真的没必要什么都考虑中西结合。,2022-01-14 19:17:47,3,回复,我是真的觉得西方的东西太多了，真的没必要什么都考虑中西结合。,0.2152
回复 @提灯笼的雾鲢鱼 :这种美丽的东西没必要非搞个中西结合，这种美很难懂吗[笑哭]，又不是水墨画那种抽象的东西,2022-01-14 20:17:51,5,回复,回复 @提灯笼的雾鲢鱼 :这种美丽的东西没必要非搞个中西结合，这种美很难懂吗，又不是水墨画那种抽象的东西,0.4304
只要真心想买，你就永远可以相信手作娘[脱单doge],2022-01-14 22:12:12,6,评论,只要真心想买，你就永远可以相信手作娘,0.3459
多的是:纸做的又不值钱，便宜点，再包个邮咯[无语],2022-01-16 00:07:53,5,回复,多的是:纸做的又不值钱，便宜点，再包个邮咯,0.2358
回复 @LollipopQvQ :[笑哭]：我，学生，半价包邮，懂？[妙啊],2022-01-16 00:12:44,6,回复,回复 @LolipopQvQ :,0.6815
回复 @LollipopQvQ :好像材料蛮贵的[妙啊],2022-01-16 23:30:44,5,回复,回复 @LolipopQvQ :好像材料蛮贵的,0.5376
簪娘们，懂我意思吧[doge],2022-01-15 12:58:04,6,评论,簪娘们，懂我意思吧,0.0586
我有意思，簪娘懂我的意思，但我的钱包不能意思意思，抱歉是我没意思[大哭],2022-01-16 18:52:25,5,回复,我有意思，簪娘懂我的意思，但我的钱包不能意思，抱歉是我没意思,0.0142
回复 @凉白开qaz :好家伙[笑哭],2022-01-16 19:52:45,6,回复,回复 @凉白开qaz :好家伙,0.6184
有挺多都在做的[tv_doge],2022-01-19 21:22:31,5,回复,有挺多都在做的,0.7629
不过我印象里，通草花还挺多人会做呀，18年还是17年误入过一个手工论坛，里面就有很多人会做，我有印象也是因为做的太像真花了，好奇点进看了看。并且大家很多手巧的人还想了很多“偷懒”又便捷的法子。之前对这种工艺认知不深，以为只是材料不同，这个视频看了，没想到这么稀有吗？b站好像就有好几个会做通草的纸艺博主吧,2022-01-14 21:18:49,4,评论,不过我印象里，通草花还挺多人会做呀，18年还是17年误入过一个手工论坛，里面就有很多人会做，我有印象也是因为做的太像真花了，好奇点进看了看。并且大家很多手巧的人还想了很多“偷懒”又便捷的法子。之前对这种工艺认知不深，以为只是材料不同，这个视频看了，没想到这么稀有吗？b站好像就有好几个会做通草的纸艺博主吧,0.6529
会做的多，手工大佬学学都能做，但是走的完流程给你评上非遗的很少。[doge],2022-01-15 00:03:21,4,回复,会做的多，手工大佬学都能做，但是走的完流程给你评上非遗的很少。,0.5697
评不上就是不会做喽。还有自己琢磨的那些，不出名，不在出完名之后拜个大佬师父教教，你也是评不上的。哪怕你真的照着资料还原了。这，就是…[doge][doge][doge][doge],2022-01-15 00:04:48,4,回复,评不上就是不会做喽。还有自己琢磨的那些，不出名，不在出完名之后拜个大佬师父教，你也是评不上的。哪怕你真的照着资料还原了。这，就是…,0.3709
回复 @骂你还要挑日子吗 :啊，居然是这样子？！这些掌管着评级家伙都是些什么人儿啊！,2022-01-15 01:31:12,6,回复,回复 @骂你还要挑日子吗 :啊，居然是这样子？！这些掌管着评级家伙都是些什么人儿啊！,0.0074
