评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
视频做的真棒，要不说是课代表呢，回手一个三连加关注[喜欢],2022-02-23 12:08:25,4,评论,视频做的真棒，要不说是课代表呢，回手一个三连加关注,0.9999
课代表也觉得很赞！三连关注起来！,2022-02-23 16:47:15,3,回复,课代表也觉得很赞！三连关注起来！,0.9999
回复 @农业课代表 :课代表课代表，这些数据哪里找，咱要写小作文啦[委屈],2022-02-23 18:37:54,4,回复,回复 @农业课代表 :课代表，这些数据哪里找，咱要写小作文啦,0.0016
回复 @农业课代表 :数据来源- 《2021非遗电商发展报告》- 《2019年非遗新经济消费报告》- 《2021 B站创作者生态报告》- 《2020快手非遗生态报告》- 《荣昌区加快夏布产业发展的指导意见》- 广西银保监局- 柯桥日报- 重庆日报- 中国文化报- 江苏卫视- 中国新闻网,2022-02-23 19:22:35,3,回复,回复 @农业课代表 :数据来源- 《2021非遗电商发展报告》- 《2019年非遗新经济消费报告》- 《2021 B站创作者生态报告》- 《20快手非遗生态报告》- 《荣昌区加快夏布产业发展的指导意见》- 广西银保监局- 柯桥日报- 重庆日报- 中国文化报- 江苏卫视- 中国新闻网,0.002
螺蛳粉都非遗了？？[嗑瓜子][嗑瓜子][嗑瓜子],2022-02-22 17:55:49,3,评论,螺蛳粉都非遗了？,0.0213
要不说呢，人均非遗了！[抠鼻],2022-02-22 17:57:22,3,回复,要不说呢，人均非遗了！,0.9153
觉得很美，也很喜欢,2022-02-22 22:40:16,5,评论,觉得很美，也很喜欢,0.9999
课代表也很喜欢“非遗”文化,2022-02-23 11:59:26,3,回复,课代表也很喜欢“非遗”文化,0.9999
30年前的公园里能看到好多捏面人儿的，还有吹糖人的，那时候要是买一个回家能把小孩儿乐得屁颠屁颠，现在是看不到这种景象喽,2022-02-23 00:17:07,5,评论,30年前的公园里能看到好多捏面人儿的，还有吹糖人的，那时候要是买一个回家能把小孩儿乐得屁颠，现在是看不到这种景象喽,0.9999
现在，哪还看得到啊[大哭],2022-02-23 11:59:56,3,回复,现在，哪还看得到啊,0.986
可能有损市容市貌吧[无语],2022-02-23 12:11:58,2,回复,可能有损市容市貌吧,0.0051
0播放刷到，非我莫属[微笑],2022-02-22 17:13:05,5,评论,0播放刷到，非我莫属,0.9872
课代表，给你点赞[喜欢],2022-02-22 17:56:52,3,回复,课代表，给你点赞,0.9999
看一眼，点个赞，随个币，缘分呐,2022-02-23 00:09:51,5,回复,看一眼，点个赞，随个币，缘分呐,0.9999
某些打着非遗名号的商业产品学形不学神，到头来误人子弟，还很容易让某些人钻了空子,2022-02-22 22:43:51,5,评论,某些打着非遗名号的商业产品学形不学神，到头来误人子弟，还很容易让某些人钻了空子,0.0027
