评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
他最后的那副笑脸，我总觉得他在期待什么？左右看了一下，却没有掌声。笑就有点儿僵直了,2022-02-20 22:56:44,4,评论,他最后的那副笑脸，我总觉得他在期待什么？左右看了一下，却没有掌声。笑就有点儿僵直了,0.4599
看起来撕的很紧张，估计是周围有很多人吧，你看他撕完后到处看。,2022-02-20 23:45:20,4,回复,看起来撕的很紧张，估计是周围有很多人吧，你看他撕完后到处看。,0.1419
回复 @有志青年李某人 :你可以看桌子的反光，桌子反光可以可以映出人影,2022-02-22 21:52:42,3,回复,回复 @有志青年李某人 :你可以看桌子的反光，桌子反光可以映出人影,0.5498
咋又有刷卷的，这有啥卷的……卷是很多人互相无用竞争，非遗好多都找不到传承人哪儿卷了，都快凉了,2022-02-20 20:29:33,6,评论,咋又有刷卷的，这有啥卷的…卷是很多人互相无用竞争，非遗好多都找不到传承人哪儿卷了，都快凉了,0.1366
那我学会个新流行词不得让我到处用用啊[doge],2022-02-20 23:10:17,6,回复,那我学会个新流行词不得让我到处用啊,0.4595
回复 @枝江落日月向晚 :好反，我直接跟了,2022-02-20 23:30:16,5,回复,回复 @枝江落日月向晚 :好反，我直接跟了,0.1973
他已经懒得试图教会了我吗[doge],2022-02-19 23:49:06,3,评论,他已经懒得试图教会了我吗,0.047
这亿点点细节你是学不会的[OK],2022-02-20 12:55:26,5,回复,这亿点细节你是学不会的,0.0646
这是一张纸，撕一下就有一道裂痕，好了新手教程结束[doge],2022-02-20 23:34:15,5,回复,这是一张纸，撕一下就有一道裂痕，好了新手教程结束,0.6956
回复 @白夜Mir :这是一张纸，呲啦，目瞪口呆JPG,2022-02-21 01:10:00,5,回复,回复 @白夜Mir :这是一张纸，呲啦，目瞪口呆JPG,0.5145
注意韩国🇰🇷,2022-02-19 09:18:40,5,评论,注意韩国🇰🇷,0.35
它们学不会的，就抢不走[doge],2022-02-20 10:36:06,5,回复,它们学不会的，就抢不走,0.1947
回复 @粑粑叽啦 :不不不他们可以p图[doge],2022-02-20 12:48:04,3,回复,回复 @粑叽啦 :不他们可以p图,0.0652
？看视频的我[给心心]：爷爷很棒，撕的比我剪的还要好看十倍，不，一百倍看评论的我👴：什么八百里追风都出来了是吧,2022-02-21 00:50:56,5,评论,？看视频的我：爷很棒，撕的比我剪的还要好看十倍，不，一百倍看评论的我👴：什么八百里追风都出来了是吧,0.9232
哈哈哈哈哈你这文化人万一人家看不懂怎么办[珈乐Carol_决明子],2022-02-21 03:31:36,5,回复,哈你这文化人万一人家看不懂怎么办,0.04
哈哈哈哈牛马,2022-02-22 12:56:23,5,回复,哈牛马,0.6055
回复 @达拉崩吧斑得贝比 :你还给解释一下，好心人啊,2022-02-22 16:16:21,4,回复,回复 @达拉崩吧斑得贝比 :你还给解释一下，好心人啊,0.7737
鱼本来在指尖游梭，宛然间跃到了纸上，蹦进了眼里，泛起波澜阵阵，惊起心潮涛涛。[羞羞][羞羞][羞羞],2022-02-21 00:03:31,3,评论,鱼本来在指尖游梭，宛然间跃到了纸上，蹦进了眼里，泛起波澜阵，惊起心潮涛。,0.8703
丘老师在哪文坛就在哪[打call],2022-02-21 12:35:11,3,回复,丘老师在哪文坛就在哪,0.3127
回复 @就米粥吃馒头 :好！,2022-02-21 14:54:56,5,回复,回复 @就米粥吃馒头 :好！,0.6317
哇哦！爷爷撕完纸笑嘻嘻的看镜头，有种等夸的可爱感[打call][打call],2022-02-20 23:18:33,5,评论,哇哦！爷撕完纸笑嘻的看镜头，有种等夸的可爱感,0.9489
爷爷撕的挺厉害的呀，撕完纸笑嘻嘻的看镜头很可爱啊，那些说有手就行的，请你们自个撕一个试试，还有问为什么不用剪刀的，撕纸不是剪纸，用了剪刀那就是剪纸了，用手撕才是撕纸啊,2022-02-22 12:32:53,4,评论,爷撕的挺厉害的呀，撕完纸笑嘻的看镜头很可爱啊，那些说有手就行的，请你们自个撕一个试，还有问为什么不用剪刀的，撕纸不是剪纸，用了剪刀那就是剪纸了，用手撕才是撕纸啊,0.713
同样是撕纸，他的[点赞]，我的[辣眼睛],2022-02-19 10:59:32,4,评论,同样是撕纸，他的,0.3801
？淘汰？非物质文化遗产！你给我说要淘汰,2022-02-20 14:33:36,4,评论,？淘汰？非物质文化遗产！你给我说要淘汰,0.0072
老人家开心得像个孩子,2022-02-20 13:48:26,3,评论,老人家开心得像个孩子,0.5648
评论区让我有一种在刷微博的错觉[藏狐],2022-02-21 05:38:57,5,评论,评论区让我有一种在刷微博的错觉,0.6593
有区别吗，都是各大网名聚集地，B站广告也打得到微博，无非是前脚进微博 后脚来B站,2022-02-21 11:15:14,5,回复,有区别吗，都是各大网名聚集地，B站广告也打得到微博，无非是前脚进微博 后脚来B站,0.0297
回复 @EulenSpiegeI :有一些视频晚点刷到的话，就看不到那些奇奇怪怪的评论。因为我很少遇到那种奇奇怪怪的人，所以觉得b站会比较好[笑哭],2022-02-22 20:28:27,4,回复,回复 @EulenSpiegeI :有一些视频晚点刷到的话，就看不到那些奇怪的评论。因为我很少遇到那种奇怪的人，所以觉得b站会比较好,0.8845
手撕和手撕是不一样的[笑哭],2022-02-20 11:04:00,4,评论,手撕和手撕是不一样的,0.5808
我的纸可能有自己的想法[tv_笑哭],2022-02-19 13:08:01,4,评论,我的纸可能有自己的想法,0.3651
因为手可以随身携带，剪刀不行。,2022-02-20 03:30:46,5,回复,因为手可以随身携带，剪刀不行。,0.3193
有没有想过，可能不是纸的问题[原神_嗯],2022-02-20 23:38:25,3,回复,有没有想过，可能不是纸的问题,0.1708
回复 @星轨God :对，是空气的问题，可能当初我撕纸时pm值不稳定，导致我心绪不宁，所以虽然纸撕了，但是鱼没有出现,2022-02-21 13:51:43,5,回复,回复 @星轨God :对，是空气的问题，可能当初我撕纸时pm值不稳定，导致我心绪不宁，所以虽然纸撕了，但是鱼没有出现,0.2023
看似随意，实则精准拿捏,2022-02-19 23:24:06,3,评论,看似随意，实则精准拿捏,0.802
我感觉吃饭很没必要，毕竟打营养液就可以维持生命的需求，何必还多此一举呢，反正原理也一样，而且打了营养液还不用刷牙，直接就从根本上解决了蛀牙的问题，更何况现在已经有营养液了，又不是原始时代。吃饭就应该逐渐被淘汰掉，繁琐又没有实际用处，我还是觉得打营养液更好。[呲牙][呲牙]对吧，评论区的大佬们[给心心][给心心],2022-02-21 01:08:19,5,评论,我感觉吃饭很没必要，毕竟打营养液就可以维持生命的需求，何必还多此一举呢，反正原理也一样，而且打了营养液还不用刷牙，直接就从根本上解决了蛀牙的问题，更何况现在已经有营养液了，又不是原始时代。吃饭就应该逐渐被淘汰掉，繁琐又没有实际用处，我还是觉得打营养液更好。,0.0083
求不要表现的那么轻而易举，这会让我产生“我也会”的错觉。[笑哭],2022-02-20 23:11:28,4,评论,求不要表现的那么轻而易举，这会让我产生“我也会”的错觉。,0.3562
同样都是撕纸，人家能撕出来年年有余，我只会把它撕成一堆碎纸,2022-02-20 15:31:52,4,评论,同样都是撕纸，人家能撕出来年有余，我只会把它撕成一堆碎纸,0.0246
碎碎平安了可不是,2022-02-20 18:27:52,4,回复,碎平安了可不是,0.1542
回复 @哈噗hup :传说中的简单拓扑学[doge],2022-02-22 03:29:49,4,回复,回复 @哈噗hup :传说中的简单拓扑学,0.6034
回复 @Limbo水芸 :书无店砸[doge],2022-02-20 23:15:33,5,回复,回复 @Limbo水芸 :书无店砸,0.0779
怎么说呢，这个东西确实挺有意思，是留下的非物质文化遗产。但是它没有足够的观赏性，成品的展示不像其他非遗那样震撼，当成摆件还不如剪纸，制作过程呢又不像茶艺之类能让人欣赏或是感受到精神之类的。再从传承方面，它学起来费事，而且没有多大的展示空间，学这个绝对连温饱都解决不了，根本不会有人去花很长时间学习。我个人觉得，撕纸这个东西是以前没有剪刀之类的，过年要贴窗花，然后慢慢衍生出来的，可以顶替剪纸（只是猜测），它也没有寄托什么感情和文化，所以我觉得这个真的没必要去大肆宣传学习……,2022-02-20 23:31:35,5,评论,怎么说呢，这个东西确实挺有意思，是留下的非物质文化遗产。但是它没有足够的观赏性，成品的展示不像其他非遗那样震撼，当成摆件还不如剪纸，制作过程呢又不像茶艺之类能让人欣赏或是感受到精神之类的。再从传承方面，它学起来费事，而且没有多大的展示空间，学这个绝对连温饱都解决不了，根本不会有人去花很长时间学习。我个人觉得，撕纸这个东西是以前没有剪刀之类的，过年要贴窗花，然后慢衍生出来的，可以顶替剪纸（只是猜测），它也没有寄托什么感情和文化，所以我觉得这个真的没必要去大肆宣传学习…,0.1801
远离网络小丑，我先润了😥,2022-02-20 23:35:51,4,回复,远离网络小丑，我先润了😥,0.2575
说实话，感觉这个就只能是变成非遗了。它不像耍牙什么的有不可替代性，机器和工具能做的更好。。。,2022-02-21 00:18:47,6,回复,说实话，感觉这个就只能是变成非遗了。它不像耍牙什么的有不可替代性，机器和工具能做的更好。,0.1649
回复 @SAS_Z :这个是非遗，但它不能代表所有的非遗。他说这个无用，并没有说所有的非遗无用。甚至他还举了些例子:有些非遗（原话有些不符合现实）或成品给人以震撼，或在欣赏之中能感受传递的精神力量。这些都是弥足珍贵的。,2022-02-22 07:26:37,4,回复,回复 @SAS_Z :这个是非遗，但它不能代表所有的非遗。他说这个无用，并没有说所有的非遗无用。甚至他还举了些例子:有些非遗（原话有些不符合现实）或成品给人以震撼，或在欣赏之中能感受传递的精神力量。这些都是弥足珍贵的。,0.6748
问有什么意义的那些人，我问你你有什么意义[给心心],2022-02-20 23:20:49,5,评论,问有什么意义的那些人，我问你有什么意义,0.3129
其实这就是他们最初的想法[吃瓜]一般来说，经常质疑别人有没有用的人，往往都是被别人这样说过来的[吃瓜]因为他们一直生活在这种被人质疑+自己确实没有什么价值的环境里，时间长了就会把当初他人强加在他们身上的伤害投射到别人身上去[吃瓜],2022-02-22 12:03:21,5,回复,其实这就是他们最初的想法,0.4715
浪费氧气资源，找个好点的地方睡了吧,2022-02-22 20:17:36,4,回复,浪费氧气资源，找个好点的地方睡了吧,0.082
无,2022-02-22 11:10:17,4,回复,无,0.2327
如果说这个就是他的兴趣爱好，能撕成这样，我佩服他，但他如果靠这个手艺吃饭，靠卖这些艺术品谋生，我觉得就很普通，因为他就是吃这个饭的，他不得吃这个苦吗，,2022-02-20 23:18:50,4,评论,如果说这个就是他的兴趣爱好，能撕成这样，我佩服他，但他如果靠这个手艺吃饭，靠卖这些艺术品谋生，我觉得就很普通，因为他就是吃这个饭的，他不得吃这个苦吗，,0.0334
没必要用视频中的作品否定他吧，搜搜老爷子，他的很多作品复杂且精美。,2022-02-22 21:23:52,5,回复,没必要用视频中的作品否定他吧，搜老爷子，他的很多作品复杂且精美。,0.7749
这可是国家保护起来的，也不用担心,2022-02-20 23:23:28,5,回复,这可是国家保护起来的，也不用担心,0.7355
多好的寒假作业素材[狗子]我支持了解传统文化，传承非遗文化[打call],2022-02-20 23:31:51,3,评论,多好的寒假作业素材,0.6433
这撕纸艺术感觉就是，别人用弓射箭，他非要练习用手投箭一样。难度的确是更难了，但精确度也更低了。我国早在两千多年前的西汉墓葬中就发掘出了剪刀，而纸张要等到东汉时期的蔡伦才被发明出来。也就是说，在纸出现时，剪刀早就流行了上百年了。这种纸张裁剪艺术一出现就是剪纸艺术，根本就没有从撕纸开始过渡的必要性。发明撕纸的人就是故意不用剪刀改用手撕罢了。,2022-02-21 13:05:05,6,评论,这撕纸艺术感觉就是，别人用弓射箭，他非要练习用手投箭一样。难度的确是更难了，但精确度也更低了。我国早在两千多年前的西汉墓葬中就发掘出了剪刀，而纸张要等到东汉时期的蔡伦才被发明出来。也就是说，在纸出现时，剪刀早就流行了上百年了。这种纸张裁剪艺术一出现就是剪纸艺术，根本就没有从撕纸开始过渡的必要性。发明撕纸的人就是故意不用剪刀改用手撕罢了。,0.0076
看了你的评论我在网上检索了一下有关这位老师的资料，根据这位老师的自述，他是从退休以后才开始接触这门艺术的，而我查到他的师傅胡立德先生则是作为美术老师的业余爱好，在剪纸之余学的，而且也有很多关于青少年撕纸有利于小脑发育的说法，所以我觉得撕纸这门艺术可能它的价值就更多的在于这个过程的自由，而不是像剪纸一样从画稿子开始产出精细的作品（而且在查询的过程中也确实看到了一些惊艳我的撕纸），所以对于真正发明撕纸的人或许就是一时手痒还没带剪刀[doge]，而这门艺术的价值更多的可能也是在于安全性和趣味性吧（毕竟也看到了很多关于撕纸锻炼小脑的说法）[坎公骑冠剑_吃鸡],2022-02-22 16:12:21,5,回复,看了你的评论我在网上检索了一下有关这位老师的资料，根据这位老师的自述，他是从退休以后才开始接触这门艺术的，而我查到他的师傅胡立德先生则是作为美术老师的业余爱好，在剪纸之余学的，而且也有很多关于青少年撕纸有利于小脑发育的说法，所以我觉得撕纸这门艺术可能它的价值就更多的在于这个过程的自由，而不是像剪纸一样从画稿子开始产出精细的作品（而且在查询的过程中也确实看到了一些惊艳我的撕纸），所以对于真正发明撕纸的人或许就是一时手痒还没带剪刀,0.8816
那你这样理解是不是很多非遗都没有什么用了,2022-02-22 16:39:23,5,回复,那你这样理解是不是很多非遗都没有什么用了,0.0304
那你要不直接说你不理解的，就都没意义,2022-02-22 20:26:53,4,回复,那你要不直接说你不理解的，就都没意义,0.127
我有个小小的疑问，剪纸和撕纸表现手法自己技术等等有什么本质上的不同吗？,2022-02-20 13:30:36,5,评论,我有个小的疑问，剪纸和撕纸表现手法自己技术等有什么本质上的不同吗？,0.0347
撕纸，是一种以手代刀，以撕代剪的古老非遗技艺。2015年，“撕纸”列入上海市非物质文化遗产。,2022-02-20 15:30:34,5,回复,撕纸，是一种以手代刀，以撕代剪的古老非遗技艺。2015年，“撕纸”列入上海市非物质文化遗产。,0.9388
一个靠工具一个靠手（？）一个整整齐齐一个有明显的手作痕迹（？）,2022-02-20 14:59:04,6,回复,一个靠工具一个靠手（？）一个整齐一个有明显的手作痕迹（？）,0.1272
古代剪刀不多，菜刀也不多，反映生产力落后，是时代的缩影,2022-02-20 23:05:14,5,回复,古代剪刀不多，菜刀也不多，反映生产力落后，是时代的缩影,0.0367
有些文化看个乐呵就行了又没逼你去继承，哪里来那么多“没必要”，“没意义”，“我不明白”，特别是说没有剪刀的，没看到标题是撕纸吗就得手撕才叫撕纸啊，还问古时候没有剪刀吗，有是有啊，但家家户户都有吗？啥问题这是。为什么撕纸能传下来不就是古时大部分有需求啰，到近代不需要了不就成非遗了,2022-02-21 01:08:32,6,评论,有些文化看个乐呵就行了又没逼你去继承，哪里来那么多“没必要”，“没意义”，“我不明白”，特别是说没有剪刀的，没看到标题是撕纸吗就得手撕才叫撕纸啊，还问古时候没有剪刀吗，有是有啊，但家户都有吗？啥问题这是。为什么撕纸能传下来不就是古时大部分有需求啰，到近代不需要了不就成非遗了,0.0128
