评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
确实很精彩不过买回去的话，估计就跟我看了火力少年王之后买了个近一百的悠悠球之后一样的感觉,2021-12-23 17:45:48,6,评论,确实很精彩不过买回去的话，估计就跟我看了火力少年王之后买了个近一百的悠球之后一样的感觉,0.9794
火力少年王，当时学校里好多小男生还是会很多厉害的招式的，完全不知道他们怎么看个电视就会了[笑哭],2021-12-25 20:50:38,5,回复,火力少年王，当时学校里好多小男生还是会很多厉害的招式的，完全不知道他们怎么看个电视就会了,0.5284
回复 @茶盏祎祎 :我学会了一个荡秋千的，其他的都没学会,2021-12-26 00:15:09,5,回复,回复 @茶盏祎 :我学会了一个荡秋千的，其他的都没学会,0.6838
回复 @茶盏祎祎 :因为他们都不是看电视学的，火力少年王前两部都是尬吹一些普通招式和特效。,2021-12-26 17:09:24,6,回复,回复 @茶盏祎 :因为他们都不是看电视学的，火力少年王前两部都是尬吹一些普通招式和特效。,0.1595
那个匮乏的年代这个算是3D大片了,2021-12-24 15:52:31,6,评论,那个匮乏的年代这个算是3D大片了,0.5504
现在也是啊,2021-12-24 21:04:41,5,回复,现在也是啊,0.514
这个和万花筒[羞羞],2021-12-25 15:11:26,4,回复,这个和万花筒,0.8946
回复 @天外有天喵外有喵 :[羞羞],2021-12-25 20:21:58,6,回复,回复 @天外有天喵外有喵 :,0.8486
买一个能附赠台词吗,2021-12-24 12:57:45,6,评论,买一个能附赠台词吗,0.135
你把这个收藏了，直接视频教学,2021-12-26 00:18:19,4,回复,你把这个收藏了，直接视频教学,0.6018
送个嘴巴[doge],2021-12-28 22:54:59,5,回复,送个嘴巴,0.5937
回复 @谁是硬币不好赚 :说清楚是嘴巴还是嘴巴子？,2022-01-09 22:00:06,3,回复,回复 @谁是硬币不好赚 :说清楚是嘴巴还是嘴巴子？,0.008
我小时候只会拉开，合上，拉开，转一转，合上[辣眼睛]他怎么会这么多,2021-12-24 19:27:21,5,评论,我小时候只会拉开，合上，拉开，转一转，合上他怎么会这么多,0.8944
人家三辈做这个的,2021-12-27 10:21:20,5,回复,人家三辈做这个的,0.1881
啊啊啊～[喜极而泣]我跟你一样，我小时候买过，可是就会拉开合上，左边翻一下，右边翻一下，程咬金三板斧，现在想起来感觉错失了一个亿！[大哭][大哭],2022-01-09 01:26:39,5,回复,啊～,0.654
小时候玩过，被我奶奶骂玩花圈[无语],2021-12-24 17:35:42,5,评论,小时候玩过，被我奶骂玩花圈,0.2339
哈哈哈哈哈哈哈我奶奶也是，主要是那个颜色那个材料真的很像花圈[笑哭],2021-12-25 10:41:57,5,回复,哈我奶也是，主要是那个颜色那个材料真的很像花圈,0.8131
回复 @国家一级白日梦大师 :我们那不是像不像的问题了，就是这个了可以说！颜色，包括好多翻出来的造型，一模一样[笑哭][笑哭],2021-12-28 10:02:04,5,回复,回复 @国家一级白日梦大师 :我们那不是像不像的问题了，就是这个了可以说！颜色，包括好多翻出来的造型，一模一样,0.9786
小时候我老家的花圈上的确都是这种花，每次有人葬礼，我都会去抢花圈上的花，然后还会拿到家里当作装饰。[喜极而泣][喜极而泣][喜极而泣],2022-01-02 01:54:38,5,回复,小时候我老家的花圈上的确都是这种花，每次有人葬礼，我都会去抢花圈上的花，然后还会拿到家里当作装饰。,0.8562
我怀疑他是隔壁宣传快板的，这边没人帮忙看下摊位而已[doge],2021-12-28 11:12:30,5,评论,我怀疑他是隔壁宣传快板的，这边没人帮忙看下摊位而已,0.0606
他真是这个的传人[藏狐]还在抖音开号了,2022-01-01 20:47:58,5,回复,他真是这个的传人还在抖音开号了,0.3218
哈哈哈哈，这口才真绝,2022-01-09 10:55:49,5,回复,哈，这口才真绝,0.8802
坦克炮没忍住[笑哭]与时俱进，挺好,2021-12-25 20:32:31,5,评论,坦克炮没忍住与时俱进，挺好,0.7935
小时候小卖部小摊贩上有卖的，但是实在不知道怎么玩，而且纸翻花很容易被玩坏，所以从来没买过，后来逐渐的就消失了。,2021-12-25 14:14:18,5,评论,小时候小卖部小摊贩上有卖的，但是实在不知道怎么玩，而且纸翻花很容易被玩坏，所以从来没买过，后来逐渐的就消失了。,0.1113
小时候白玩了[大哭],2021-12-22 23:24:57,6,评论,小时候白玩了,0.7555
小时候经常玩这个，现在好像看不到也买不到了[给心心],2021-12-24 21:47:17,5,评论,小时候经常玩这个，现在好像看不到也买不到了,0.7148
旧活新整了属于是[藏狐]BV15E41147qv,2021-12-23 07:09:06,6,评论,旧活新整了属于是BV15E4147qv,0.6322
感觉他的这个纸比我的买的那个纸结实点。,2021-12-24 06:49:26,5,回复,感觉他的这个纸比我的买的那个纸结实点。,0.7942
怪不得我以前在这个视频下方的评论这两天又有一些人点赞,2021-12-26 11:12:36,5,回复,怪不得我以前在这个视频下方的评论这两天又有一些人点赞,0.8983
虽然不贵，但是拿到我手里就不是那么个玩意了[笑哭][笑哭]参考UU球和彩虹管,2022-01-09 12:52:16,6,评论,虽然不贵，但是拿到我手里就不是那么个玩意了参考U球和彩虹管,0.134
我买的是假的吗？,2021-12-24 20:08:15,4,评论,我买的是假的吗？,0.0292
可以的话在。视频里写上是中国的，现在韩国那边什么都偷，小心被偷过去。,2022-01-11 22:45:07,5,评论,可以的话在。视频里写上是中国的，现在韩国那边什么都偷，小心被偷过去。,0.2743
说实话与其阻止它们去偷还不如让更多的国人知道这些艺术品，毕竟水印可以去掉但人们的记忆是不能去掉的,2022-01-13 01:42:28,5,回复,说实话与其阻止它们去偷还不如让更多的国人知道这些艺术品，毕竟水印可以去掉但人们的记忆是不能去掉的,0.0337
回复 @饻囖赈篝貔龠镵 :你是没有看那些阿婆主做的那种韩国偷东西的视频，你看到的话就不会说这个话的。现在还不阻止，真的什么都不是你的了。我也是希望啊，感觉国家的话，在这方面好像也不是太注重。,2022-01-13 10:34:54,5,回复,回复 @饻囖赈篝貔龠镵 :你是没有看那些阿婆主做的那种韩国偷东西的视频，你看到的话就不会说这个话的。现在还不阻止，真的什么都不是你的了。我也是希望啊，感觉国家的话，在这方面好像也不是太注重。,0.2003
我之前还在一个别的阿婆主那里看到一个视频，韩国人把张三丰都偷过去了，还有舞狮,2022-01-14 03:33:56,5,回复,我之前还在一个别的阿婆主那里看到一个视频，韩国人把张三丰都偷过去了，还有舞狮,0.5678
买买买！！！！教我玩儿！！！在教我这个顺口溜！！！！,2021-12-29 20:57:47,5,评论,买！教我玩儿！在教我这个顺口溜！,0.7934
有点上头,2021-12-23 11:27:37,6,评论,有点上头,0.1461
原来这个叫翻花,2021-12-29 16:01:56,5,评论,原来这个叫翻花,0.5563
嚯，现在都是非遗了吗？小时候很喜欢玩,2022-01-07 00:35:20,5,评论,嚯，现在都是非遗了吗？小时候很喜欢玩,0.714
这嘴是非遗的吧？。。,2021-12-26 16:14:54,4,评论,这嘴是非遗的吧？。,0.1285
和卖编发器的一样，他手里玩出花，我拿着干瞪眼,2021-12-25 00:44:16,5,评论,和卖编发器的一样，他手里玩出花，我拿着干瞪眼,0.2028
编发器慢慢琢磨起码还能使，这玩意大概率就看他表演有意思就算能学会了自己玩也一样[思考][吃瓜],2021-12-25 11:33:46,6,回复,编发器慢琢磨起码还能使，这玩意大概率就看他表演有意思就算能学会了自己玩也一样,0.0187
我小时候在庙会买过这个，确实不会玩，只能翻出几种花[囧],2022-01-05 01:54:59,5,回复,我小时候在庙会买过这个，确实不会玩，只能翻出几种花,0.5909
非遗的应该是这张嘴吧[喜极而泣],2021-12-26 20:39:00,5,评论,非遗的应该是这张嘴吧,0.2035
