,word,count
0,冠军,3726
1,EDG,3687
2,恭喜,3540
3,edg,972
4,夺冠,871
5,世界冠军,720
6,真的,641
7,终于,407
8,中国,386
9,不破不立,341
10,皮肤,309
11,激动,289
12,太棒了,238
13,厉害,234
14,加油,215
15,比赛,194
16,LPL,192
17,粉丝,184
18,电宝,183
19,牛批,177
20,厂长,166
21,开心,159
22,电子竞技,157
23,含金量,154
24,世界,151
25,淀粉,151
26,祝贺,151
27,flag,149
28,庆祝,147
29,青春,143
30,骑士,142
31,俱乐部,140
32,永远,137
33,游戏,126
34,英雄,120
35,喜欢,119
36,希望,118
37,太牛,118
38,归来,116
39,值得,106
40,七年,103
41,感谢,101
42,重铸,99
43,昨晚,99
44,理性,94
45,多年,93
46,第一,93
47,联盟,90
48,全球,88
49,裸奔,88
50,骄傲,87
51,感觉,85
52,韩国,85
53,辛苦,84
54,一句,84
55,昨天,82
56,lpl,81
57,总冠军,79
58,六年,79
59,总决赛,78
60,玩游戏,78
61,朋友圈,78
62,战队,76
63,眼镜,75
64,明凯,74
65,RNG,73
66,jie,71
67,睡不着,70
68,戴眼镜,69
69,队伍,68
70,银龙,68
71,电竞,67
72,关注,66
73,圆梦,65
74,太不容易,64
75,赛区,64
76,明年,64
77,泪目,63
78,皇子,63
79,决赛,61
80,nb,59
81,直播,59
82,真棒,59
83,遗憾,58
84,评论,58
85,EDGNB,58
86,夺得,57
87,S1,57
88,奇迹,57
89,回来,56
90,圣枪哥,56
91,很棒,56
92,拿下,56
93,最棒,56
94,晚上,55
95,视频,55
96,意志,55
97,确实,55
98,2021,54
99,热血,54
100,努力,53
101,一年,53
102,DK,53
103,见证,52
104,感动,52
105,有人,52
106,一点,52
107,yds,52
108,兄弟,51
109,拿到,51
110,睡觉,51
111,meiko,50
112,支持,50
113,EDGyds,50
114,为国争光,50
115,许秀,50
116,太棒,49
117,八强,49
118,Edg,49
119,亚军,48
120,做梦,48
121,厂子,48
122,选手,47
123,半夜,47
124,热度,47
125,今晚,45
126,冰岛,45
127,看好,45
128,中国队,45
129,超级,44
130,一人,43
131,失望,43
132,微博,43
133,扰民,43
134,奖杯,42
135,好棒,42
136,学校,42
137,卧槽,41
138,第一次,41
139,男枪,41
140,朋友,41
141,15,40
142,一刻,39
143,梦想,39
144,兑现,39
145,打游戏,39
146,理智,39
147,大满贯,38
