,word,number
0,xinjiang,60960
1,china,26128
2,cotton,15779
3,chinese,11496
4,de,7965
5,people,6627
6,forced,6194
7,genocide,5684
8,western,5554
9,nike,5131
10,replying,5051
11,brands,4715
12,media,4378
13,rights,4146
14,human,4127
15,la,4119
16,labor,4088
17,sanctions,4064
18,uyghur,3852
19,chinas,3582
20,uyghurs,3198
21,boycott,3181
22,region,3141
23,en,3046
24,labour,2665
25,news,2630
26,support,2368
27,government,2303
28,foreign,2291
29,youtube.com,2229
30,companies,2198
31,propaganda,2121
32,beijing,2063
33,youtube,1869
34,camps,1866
35,countries,1851
36,backlash,1796
37,social,1795
38,uighur,1778
39,muslims,1756
40,lies,1755
41,officials,1732
42,statement,1671
43,nan,1618
44,abuses,1594
45,truth,1564
46,ccp,1546
47,global,1542
48,le,1539
49,adidas,1494
50,u.s,1458
51,panel,1429
52,united,1425
53,muslim,1407
54,reuters,1404
55,camp,1380
56,visit,1343
57,spokespersonchn,1322
58,el,1263
59,west,1261
60,issue,1258
61,uighurs,1255
62,uygur,1253
63,fake,1247
64,evidence,1243
65,ethnic,1234
66,du,1230
67,les,1224
68,por,1224
69,report,1201
70,real,1182
71,bbc,1179
72,clothing,1175
73,des,1132
74,reports,1128
75,including,1127
76,hong,1125
77,canada,1121
78,claims,1117
79,country,1109
80,concerns,1104
81,kong,1099
82,fashion,1086
83,time,1078
84,international,1069
85,free,1060
86,video,1057
87,uk,1031
88,live,993
89,company,990
90,concentration,983
91,terrorism,982
92,eu,981
93,american,976
94,times,956
95,cnn,950
96,excerpt,930
97,autonomous,925
98,watch,917
99,us,905
100,mar,905
101,hm,901
102,canadian,888
103,province,882
104,war,880
105,brand,874
106,se,863
107,children,863
108,life,843
109,it,841
110,allegations,836
111,tibet,834
112,di,820
113,au,813
114,population,801
115,business,796
116,chine,795
117,usa,791
118,concern,787
119,campaign,781
120,row,775
121,las,769
122,industry,763
123,communist,751
124,products,743
125,attacks,735
126,los,734
127,political,732
128,lie,729
129,taiwan,721
130,call,719
131,official,718
132,amid,717
133,ties,710
134,boycotts,705
135,called,704
136,party,701
137,happening,692
138,world,689
139,hard,673
140,situation,673
141,minority,662
142,story,660
143,care,658
144,attack,656
145,statements,649
146,rumors,644
147,read,642
148,pressure,640
149,issues,638
150,tweet,637
151,celebrities,634
152,bci,628
153,minorities,627
154,crackdown,626
155,beautiful,625
156,xinjiangs,624
157,han,618
158,local,608
159,criticism,607
160,boss,605
161,living,604
162,con,603
163,access,602
164,major,601
165,alleged,597
166,based,596
167,treatment,595
168,true,591
169,netizens,591
170,hugo,589
171,accusations,587
172,stance,583
173,march,579
174,online,574
175,internet,570
176,del,569
177,supply,564
178,detention,561
179,mass,557
180,policy,555
181,speaking,552
182,european,552
183,market,543
184,parents,542
185,there,542
186,picking,540
187,al,539
188,facing,538
189,east,536
190,comments,534
191,bbcworld,533
192,you,532
193,false,531
194,british,520
195,dans,518
196,buy,516
197,violations,515
198,die,515
199,policies,514
