,Unnamed: 0,word,count,情感分值
509,509,不好,785,0.061
912,912,不高,475,0.0916
1084,1084,不行,395,0.0583
1148,1148,不太,375,0.0841
1296,1296,失望,336,0.0296
1627,1627,缺点,272,0.0249
1697,1697,远离,263,0.0711
1722,1722,无奈,260,0.0923
1788,1788,真是太,250,0.0817
1824,1824,小心,243,0.0625
1945,1945,无聊,227,0.0255
2004,2004,油费,220,0.0848
2074,2074,不去,212,0.0937
2094,2094,垃圾,209,0.0163
2309,2309,咸蛋,189,0.0559
2571,2571,怀疑,169,0.0499
2581,2581,黑猪,168,0.0798
2620,2620,关门,164,0.0873
2642,2642,没法,162,0.057
2846,2846,小编,150,0.0277
2870,2870,危险,148,0.0989
3163,3163,价值观,134,0.05
3523,3523,缺少,119,0.0504
3547,3547,老旧,118,0.0617
3768,3768,简陋,110,0.0472
3796,3796,缝隙,109,0.0505
3842,3842,破旧,108,0.0423
3845,3845,难受,108,0.0624
3892,3892,吐槽,106,0.027
3935,3935,懒得,105,0.0877
4105,4105,难吃,99,0.0535
4142,4142,不好玩,99,0.0888
4178,4178,没多久,97,0.0724
4275,4275,遭遇,95,0.0547
4464,4464,陈旧,90,0.0671
4555,4555,缓慢,88,0.0442
4619,4619,派出所,87,0.0442
4698,4698,可怕,85,0.0953
4755,4755,不该,84,0.0525
4814,4814,粗糙,82,0.0197
4876,4876,没用,81,0.0588
4901,4901,浑浊,80,0.0831
4997,4997,千万别,78,0.0916
5096,5096,底线,77,0.0235
5131,5131,不及,76,0.0536
5281,5281,失败,73,0.0262
5293,5293,扎堆,73,0.052
5382,5382,啥意思,71,0.0823
5588,5588,吓人,68,0.0734
5606,5606,不准,68,0.0673
5654,5654,谨慎,67,0.0538
5858,5858,缺乏,64,0.0201
5868,5868,教训,64,0.0283
5982,5982,曝光,63,0.0899
6009,6009,差距,62,0.0486
6044,6044,太少,62,0.076
6065,6065,单调,61,0.0855
6071,6071,新闻,61,0.0837
6125,6125,亏了,61,0.0917
6153,6153,套路,60,0.0388
6171,6171,对不起,60,0.0477
6178,6178,混乱,60,0.0262
6360,6360,理论,58,0.0792
6392,6392,生气,57,0.055
6395,6395,忽悠,57,0.054
6397,6397,单一,57,0.0983
6547,6547,发抖,56,0.0396
6616,6616,非常少,55,0.0994
6622,6622,不缺,55,0.0627
6641,6641,声响,55,0.089
6693,6693,伤害,54,0.0411
6726,6726,睁不开,54,0.0615
6785,6785,我妈,53,0.0601
6869,6869,搞不懂,53,0.0488
6870,6870,退款,53,0.0362
6898,6898,模糊,52,0.0328
6990,6990,不太高,51,0.0974
6994,6994,平淡,51,0.0802
7042,7042,崩溃,51,0.0486
7108,7108,泡面,50,0.056
7110,7110,干嘛,50,0.0305
7409,7409,满怀,48,0.0584
7410,7410,太短,48,0.0753
7489,7489,可怜,47,0.0824
7544,7544,不忍,47,0.0913
7547,7547,凌乱,47,0.0817
7641,7641,落后,46,0.0396
7652,7652,烦躁,46,0.0868
7696,7696,看不清,46,0.0701
7748,7748,很差,45,0.0532
7777,7777,不值,45,0.0295
7849,7849,售价,45,0.0869
7891,7891,差评,44,0.0059
7947,7947,升高,44,0.0806
7987,7987,整顿,44,0.0862
8036,8036,廉价,43,0.0463
8070,8070,破败,43,0.0922
8101,8101,讨厌,43,0.0701
8142,8142,拉肚子,42,0.0192
8170,8170,苍蝇,42,0.0484
8188,8188,比不上,42,0.0672
8261,8261,没意思,42,0.0648
8327,8327,相差,41,0.068
8331,8331,不规则,41,0.0763
8346,8346,拜拜,41,0.056
8422,8422,狗子,41,0.068
8543,8543,无感,40,0.0386
8598,8598,绕道,39,0.0717
8714,8714,转头,39,0.0849
8760,8760,迟钝,39,0.0452
8850,8850,不买,38,0.0643
8882,8882,两颗,38,0.0812
8888,8888,赔偿,38,0.0607
8918,8918,软烂,38,0.0135
8990,8990,过分,37,0.0841
9127,9127,奇葩,36,0.0219
9147,9147,抖音,36,0.0698
9209,9209,无趣,36,0.0125
9307,9307,恶心,36,0.0158
9399,9399,错误,35,0.099
9512,9512,不佳,34,0.0235
9523,9523,繁琐,34,0.0842
9552,9552,标题,34,0.0452
9562,9562,避坑,34,0.0242
9572,9572,小强,34,0.0443
9704,9704,坑人,33,0.0228
9751,9751,草草,33,0.0378
9752,9752,划痕,33,0.0769
9840,9840,打脸,33,0.0978
9843,9843,糟糕,33,0.0145
9991,9991,很慢,32,0.0894
10015,10015,太低,32,0.0689
10078,10078,上当,32,0.0127
10112,10112,bb,32,0.0965
10248,10248,解决不了,31,0.0981
10301,10301,太重,31,0.0514
10403,10403,差强人意,30,0.0454
