Word1,Word2,Weight
住宿,风格,13
住宿,元素,1
住宿,古色古香,1
住宿,口味,4
住宿,酒店,21
住宿,地理位置,11
住宿,购物,1
住宿,景点,9
住宿,热情,18
住宿,地方,9
住宿,热门,1
住宿,时间,11
住宿,行李,4
住宿,房间,44
住宿,房间内,2
住宿,布置,5
住宿,用品,6
住宿,瓶装,1
住宿,,106
住宿,民宿,27
住宿,床,3
住宿,阳台,4
住宿,山景,1
住宿,很漂亮,3
住宿,管家,4
住宿,行程,4
住宿,美食,1
住宿,心,3
住宿,车,3
住宿,行李箱,1
住宿,甲,1
住宿,风景,7
住宿,房子,9
住宿,房东,12
住宿,投影,1
住宿,设施,22
住宿,浴巾,1
住宿,梳子,1
住宿,衣服,1
住宿,一家人,2
住宿,朋友,10
住宿,交通,9
住宿,厨房,2
住宿,烘干机,3
住宿,投影仪,1
住宿,姐姐,1
住宿,价格,6
住宿,店,5
住宿,感觉,15
住宿,服务员,3
住宿,空调,2
住宿,前台,5
住宿,服务态度,2
住宿,热心,2
住宿,专业,3
住宿,大堂,1
住宿,隔音,2
住宿,环境,30
住宿,性价比,7
住宿,公园,1
住宿,中心,1
住宿,电话,2
住宿,停车场,2
住宿,理想,1
住宿,小哥,1
住宿,特地,1
住宿,地点,1
住宿,图片,4
住宿,机会,8
住宿,小伙伴,1
住宿,饭店,2
住宿,被子,1
住宿,网红,2
住宿,团队,1
住宿,印象,1
住宿,食材,1
住宿,鸡,1
住宿,用心,7
住宿,散步,3
住宿,客厅,1
住宿,布局,1
住宿,异味,3
住宿,厨具,1
住宿,规划,1
住宿,节省,1
住宿,游玩,6
住宿,情,3
住宿,门票,3
住宿,现场,3
住宿,美女,2
住宿,景区,5
住宿,孩子,4
住宿,床品,4
住宿,院子,4
住宿,客人,2
住宿,路线,1
住宿,环境优美,1
住宿,店家,10
住宿,步行,3
住宿,老板,20
住宿,照片,1
住宿,大床,2
住宿,走路,2
住宿,票,1
住宿,体验,32
住宿,味道,4
住宿,图,1
住宿,时尚,1
住宿,特色,1
住宿,天气,4
住宿,电影,2
住宿,卫生间,1
住宿,山,3
住宿,水,1
住宿,啤酒,1
住宿,鱼,2
住宿,省,1
住宿,计划,1
住宿,空间,1
住宿,装饰,3
住宿,服务到位,1
住宿,司机,4
住宿,全程,1
住宿,床单,1
住宿,工作人员,1
住宿,小区,3
住宿,态度,2
住宿,距离,4
住宿,个性,2
住宿,格调,3
住宿,气息,1
住宿,时期,1
住宿,评价,1
住宿,关键,1
住宿,餐饮,3
住宿,卫生死角,1
住宿,老人,1
住宿,水果,2
住宿,棒棒,2
住宿,卫生条件,1
住宿,爸妈,2
住宿,线路,1
住宿,手表,1
住宿,钱包,1
住宿,文艺,1
住宿,视频,1
住宿,床上,3
住宿,细心,1
住宿,夫妇,1
住宿,客房,1
住宿,物品,1
住宿,空气,2
住宿,细节,2
住宿,离店,1
住宿,硬件,2
住宿,洗手间,2
住宿,窗户,2
住宿,旧楼,1
住宿,对面,2
住宿,智能,3
住宿,品质,3
住宿,名宿,3
住宿,食物,2
住宿,整体,5
住宿,经历,1
住宿,马桶,5
住宿,单位,2
